xi_0,xi_1,ui_0,xf_0,xf_1,uf_0
0.053366091,-2.81892302,-14.45367302,2.681859325,-0.161194363,11.52414707
2.681859325,-0.161194363,11.52414707,11.44528951,-3.12288101,-12.69393815
11.44528951,-3.12288101,-12.69393815,-17,87,-8.451672113
-17,87,-8.451672113,-0.857818295,-14.94854419,-0.585400896
-0.857818295,-14.94854419,-0.585400896,-0.769334417,-0.092027809,-1.59350437
-0.769334417,-0.092027809,-1.59350437,-2.050172007,-0.038079089,-2.531677403
-2.050172007,-0.038079089,-2.531677403,1.709555562,-0.010206665,2.354640372
1.709555562,-0.010206665,2.354640372,2.120857865,0.015267433,2.275079284
2.120857865,0.015267433,2.275079284,61,63,29.33426094
61,63,29.33426094,-1.412815669,-2.078029343,-0.390010979
-1.412815669,-2.078029343,-0.390010979,-0.415486831,-0.205079218,-0.99720788
-0.415486831,-0.205079218,-0.99720788,0.515976037,-0.041546345,0.717978743
0.515976037,-0.041546345,0.717978743,0.712555651,-0.009218824,0.460607065
0.712555651,-0.009218824,0.460607065,0.062555244,-0.001329399,0.131210495
0.062555244,-0.001329399,0.131210495,-42,26,-20.3697018
-42,26,-20.3697018,5.865042622,-5.955833112,5.439186755
5.865042622,-5.955833112,5.439186755,0.335111388,0.137247299,-1.671112588
0.335111388,0.137247299,-1.671112588,0.565641931,-0.257749296,-4.509559794
0.565641931,-0.257749296,-4.509559794,0.442360299,-0.658914959,-4.888486387
0.442360299,-0.658914959,-4.888486387,2.085202171,-0.413657458,2.042102685
2.085202171,-0.413657458,2.042102685,9,69,4.49776623
9,69,4.49776623,-2.033693711,-15.36059673,17.32158052
-2.033693711,-15.36059673,17.32158052,1.960593667,-0.561081808,2.173428205
1.960593667,-0.561081808,2.173428205,1.079999176,-0.133919188,1.705689888
1.079999176,-0.133919188,1.705689888,-1.426008401,-0.045660255,-2.585061654
-1.426008401,-0.045660255,-2.585061654,-1.345360467,-0.009598995,-0.54278734
-1.345360467,-0.009598995,-0.54278734,-42,20,-20.63694734
-42,20,-20.63694734,3.681848815,-3.040036715,2.99424092
3.681848815,-3.040036715,2.99424092,-0.360461067,-0.005448914,-0.851292508
-0.360461067,-0.005448914,-0.851292508,-0.400362506,-0.026925449,-0.72793035
-0.400362506,-0.026925449,-0.72793035,0.577940949,-0.003765295,1.644995181
0.577940949,-0.003765295,1.644995181,0.532315212,-0.004397529,-1.357735628
0.532315212,-0.004397529,-1.357735628,-16,10,-7.90745544
-16,10,-7.90745544,2.713656876,-2.277040595,-6.436892948
2.713656876,-2.277040595,-6.436892948,-1.016812731,-0.174275749,-0.512930597
-1.016812731,-0.174275749,-0.512930597,-0.961551089,0.268607453,-1.284812424
-0.961551089,0.268607453,-1.284812424,0.093419652,-0.799797143,-0.659376955
0.093419652,-0.799797143,-0.659376955,2.000731624,1.5425715,6.36979938
2.000731624,1.5425715,6.36979938,-79,49,-37.21993568
-79,49,-37.21993568,15.89040107,-14.24669245,4.264597022
15.89040107,-14.24669245,4.264597022,-3.184744282,3.036247356,-0.955963783
-3.184744282,3.036247356,-0.955963783,0.634794146,-0.691255814,0.200699224
0.634794146,-0.691255814,0.200699224,-0.12615772,0.140432359,-0.047869524
-0.12615772,0.140432359,-0.047869524,0.025397985,-0.038032313,0.007645579
0.025397985,-0.038032313,0.007645579,-13,32,-6.4273085
-13,32,-6.4273085,0.273619643,-8.731471547,8.526535399
0.273619643,-8.731471547,8.526535399,1.057872703,0.068606912,-10.00824298
1.057872703,0.068606912,-10.00824298,-1.745791406,-0.52033182,-3.622490445
-1.745791406,-0.52033182,-3.622490445,-3.004224328,-0.536786699,-2.483416292
-3.004224328,-0.536786699,-2.483416292,-0.249059667,-2.549658983,8.415814674
-0.249059667,-2.549658983,8.415814674,-73,6,-20.90071515
-73,6,-20.90071515,15.25950568,-2.619438473,0.443272135
15.25950568,-2.619438473,0.443272135,-3.183448804,0.6038849,-0.169623957
-3.183448804,0.6038849,-0.169623957,0.661859083,-0.185432238,0.03772867
0.661859083,-0.185432238,0.03772867,-0.137545458,0.035437251,-0.014055309
-0.137545458,0.035437251,-0.014055309,0.029060373,-0.015791068,0.000926297
0.029060373,-0.015791068,0.000926297,-64,23,-29.43996599
-64,23,-29.43996599,-27.1810227,-158.1413205,-13.08713988
-27.1810227,-158.1413205,-13.08713988,-61.28197588,-88.59317444,94.43596112
-61.28197588,-88.59317444,94.43596112,50.25202841,-132.214598,39.08737107
50.25202841,-132.214598,39.08737107,8.251728966,-3.182321601,7.290225125
8.251728966,-3.182321601,7.290225125,-35.22313812,-100.9010924,10.01607845
-35.22313812,-100.9010924,10.01607845,88,-83,5.940279835
88,-83,5.940279835,-17.4516197,1.500000014,-17.57959245
-17.4516197,1.500000014,-17.57959245,3.652466665,-0.510352689,0.100420393
3.652466665,-0.510352689,0.100420393,-0.762255976,0.147666943,-0.034168371
-0.762255976,0.147666943,-0.034168371,0.158781715,-0.039417581,0.009868901
0.158781715,-0.039417581,0.009868901,-0.033746677,0.010248466,-0.002522456
-0.033746677,0.010248466,-0.002522456,17,47,8.416938009
17,47,8.416938009,-1.701846818,-6.746419717,17.07112818
-1.701846818,-6.746419717,17.07112818,1.568767699,-1.141183346,1.94532625
1.568767699,-1.141183346,1.94532625,1.254529282,-0.253852949,1.717475701
1.254529282,-0.253852949,1.717475701,-2.086944501,-0.056584943,-2.107964625
-2.086944501,-0.056584943,-2.107964625,-1.709095222,-0.083146667,-1.82085391
-1.709095222,-0.083146667,-1.82085391,59,35,28.01909017
59,35,28.01909017,-12.89606518,-7.050962248,7.251632643
-12.89606518,-7.050962248,7.251632643,1.535535659,-0.487832324,1.275740789
1.535535659,-0.487832324,1.275740789,0.894084449,1.228461233,8.593333058
0.894084449,1.228461233,8.593333058,-1.700176647,0.506844775,4.164693186
-1.700176647,0.506844775,4.164693186,1.168730039,-0.025033768,1.650639923
1.168730039,-0.025033768,1.650639923,-39,79,-19.18099324
-39,79,-19.18099324,3.425052597,-15.92670224,9.972248731
3.425052597,-15.92670224,9.972248731,0.090693279,0.434510211,0.461733824
0.090693279,0.434510211,0.461733824,0.098579129,0.048719297,0.059436089
0.098579129,0.048719297,0.059436089,-0.10259833,0.034904638,0.455603808
-0.10259833,0.034904638,0.455603808,-0.063257978,0.012798487,0.425846712
-0.063257978,0.012798487,0.425846712,-17,6,-8.342226569
-17,6,-8.342226569,3.520490674,-0.862773092,-1.442678109
3.520490674,-0.862773092,-1.442678109,-0.710244142,-0.034793313,2.226420084
-0.710244142,-0.034793313,2.226420084,0.339596774,-0.058791135,-3.954745878
0.339596774,-0.058791135,-3.954745878,-0.388235155,0.312986594,4.625068739
-0.388235155,0.312986594,4.625068739,-0.030943006,0.417096138,-0.341641875
-0.030943006,0.417096138,-0.341641875,29,5,13.48531675
29,5,13.48531675,-57.50964559,-29.18367768,-39.77694884
-57.50964559,-29.18367768,-39.77694884,-26.1208081,-17.23827959,-34.08642271
-26.1208081,-17.23827959,-34.08642271,58.51910479,-52.64081986,12.74394667
58.51910479,-52.64081986,12.74394667,63.79837266,-50.54895075,-118.2526513
63.79837266,-50.54895075,-118.2526513,-117.9282001,17.65768554,-477.4899921
-117.9282001,17.65768554,-477.4899921,46,7,21.26012921
46,7,21.26012921,-9.773221208,-1.542174934,0.485538701
-9.773221208,-1.542174934,0.485538701,2.067669852,0.094918028,-0.096475118
2.067669852,0.094918028,-0.096475118,-0.436552894,-0.019905967,0.003628062
-0.436552894,-0.019905967,0.003628062,0.091790911,-0.011521841,-0.002991226
0.091790911,-0.011521841,-0.002991226,-0.019796524,-0.003114336,-0.002078953
-0.019796524,-0.003114336,-0.002078953,91,94,45.38894736
91,94,45.38894736,-0.358882903,-34.92313146,27.84877162
-0.358882903,-34.92313146,27.84877162,-1.752350314,-4.378390581,-6.652844441
-1.752350314,-4.378390581,-6.652844441,0.259445469,-2.311888479,3.405831975
0.259445469,-2.311888479,3.405831975,4.736227339,-0.378561173,3.63729968
4.736227339,-0.378561173,3.63729968,-2.031663523,-0.725418113,-19.8562436
-2.031663523,-0.725418113,-19.8562436,31,27,15.25300072
31,27,15.25300072,-7.695418243,-7.152438777,6.115668388
-7.695418243,-7.152438777,6.115668388,0.926043191,-0.711192342,0.439528947
0.926043191,-0.711192342,0.439528947,0.979521278,-1.246078447,0.17573034
0.979521278,-1.246078447,0.17573034,-0.73725454,-0.336794751,-3.155624619
-0.73725454,-0.336794751,-3.155624619,1.099748103,-0.174238304,3.619152238
1.099748103,-0.174238304,3.619152238,-90,35,-40.75342734
-90,35,-40.75342734,18.77653902,-10.02793021,3.18650748
18.77653902,-10.02793021,3.18650748,-3.996972961,0.561038217,-3.295441513
-3.996972961,0.561038217,-3.295441513,0.712057814,-0.01489084,0.122429944
0.712057814,-0.01489084,0.122429944,-0.141251386,-0.118040008,0.898070736
-0.141251386,-0.118040008,0.898070736,-1.709056579,0.484232234,-2.597522337
-1.709056579,0.484232234,-2.597522337,91,20,35.6790606
91,20,35.6790606,-18.58055496,-4.28553289,-1.812245058
-18.58055496,-4.28553289,-1.812245058,0.567752295,-5.356158667,-14.13139266
0.567752295,-5.356158667,-14.13139266,-1.817347987,-1.912696515,-1.606906392
-1.817347987,-1.912696515,-1.606906392,2.712688002,-0.255454087,-9.077757711
2.712688002,-0.255454087,-9.077757711,-0.056557048,-0.51960196,-5.241185277
-0.056557048,-0.51960196,-5.241185277,88,28,42.78177814
88,28,42.78177814,-18.89821693,-6.389819651,2.310325876
-18.89821693,-6.389819651,2.310325876,4.04108665,1.003381733,-0.424157206
4.04108665,1.003381733,-0.424157206,-0.86170341,-0.186392267,0.06449776
-0.86170341,-0.186392267,0.06449776,0.183151664,0.018299585,-0.014121327
0.183151664,0.018299585,-0.014121327,-0.039818637,-0.008405354,-0.000170505
-0.039818637,-0.008405354,-0.000170505,69,16,33.3735023
69,16,33.3735023,-14.72957301,-3.43519816,1.247770926
-14.72957301,-3.43519816,1.247770926,3.131185616,0.433978459,-0.224432849
3.131185616,0.433978459,-0.224432849,-0.663984868,-0.078326113,0.026346276
-0.663984868,-0.078326113,0.026346276,0.140319109,-0.001947879,-0.006896883
0.140319109,-0.001947879,-0.006896883,-0.030359512,-0.004589461,-0.001466263
-0.030359512,-0.004589461,-0.001466263,-35,64,-16.519937
-35,64,-16.519937,2.058781078,-17.17381046,1.93993089
2.058781078,-17.17381046,1.93993089,0.218727028,-0.016396785,-2.509950577
0.218727028,-0.016396785,-2.509950577,-0.293175354,0.027128032,1.723947335
-0.293175354,0.027128032,1.723947335,-0.011677645,0.546432501,-2.605701872
-0.011677645,0.546432501,-2.605701872,-0.398685985,0.261894944,5.020228138
-0.398685985,0.261894944,5.020228138,-34,-68,-2.941219192
-34,-68,-2.941219192,8.003962969,1.500000014,-13.4221648
8.003962969,1.500000014,-13.4221648,-1.699746072,-0.220958016,0.10047008
-1.699746072,-0.220958016,0.10047008,0.359883118,0.026629675,-0.014799561
0.359883118,0.026629675,-0.014799561,-0.076049432,-0.001448439,0.001780532
-0.076049432,-0.001448439,0.001780532,0.016397319,-0.000576781,-9.27E-05
0.016397319,-0.000576781,-9.27E-05,33,12,16.23527779
33,12,16.23527779,-0.147344067,-7.168207669,11.78403221
-0.147344067,-7.168207669,11.78403221,-1.775773298,-4.737890334,-20.51559859
-1.775773298,-4.737890334,-20.51559859,-2.801699294,-0.687986722,-4.020238718
-2.801699294,-0.687986722,-4.020238718,-0.982185949,-3.653765412,-9.720228965
