,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
2497,2497.0,7.0,,,0.7,428.449,393.4576,365.5358,343.8615,327.8238,316.7969,310.0748,306.9048,306.5648,308.4413,312.0826,317.2208,323.7683,331.8011,341.5422,353.3555,367.7603,385.4735,407.4974,435.2784,171.0,473.0,689.3978,39.55600000000004,132.38850000000002,7.227300000000014
2498,2498.0,8.0,,,0.8,199.1136,224.7251,246.8686,265.0338,279.2,289.767,297.4247,303.0052,307.3542,311.2419,315.3181,320.1079,326.0354,333.4657,342.7554,354.3074,368.632,386.4216,408.6577,436.7819,471.0,473.0,728.9538,53.66819999999996,92.83249999999998,7.227300000000014
2499,2499.0,9.0,,,0.9,427.6284,392.7596,364.9357,343.354,327.4141,316.4944,309.8886,306.841,306.6254,308.6243,312.3829,317.6318,324.2835,332.416,342.2566,354.1758,368.7025,386.568,408.795,436.8611,171.0,473.0,782.622,39.164300000000026,39.164300000000026,7.227300000000014
2500,2500.0,0.0,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,473.0,0.0,351.7936,862.3699,3.923400000000015
2501,2501.0,1.0,,,0.1,427.797,391.8849,362.5558,338.8482,320.11,305.7721,295.2632,288.0148,283.5147,281.3745,281.3851,283.5485,288.0773,295.364,305.9242,320.3299,339.1562,362.9762,392.4485,428.5462,173.0,473.0,351.7936,104.69899999999996,510.5763,3.923400000000015
2502,2502.0,2.0,,,0.2,199.1822,222.8743,243.1061,259.3611,271.6184,280.2917,286.1055,289.9506,292.7528,295.3774,298.5733,302.9556,309.0169,317.1579,327.7307,341.0906,357.6609,378.0172,403.0109,433.9631,471.0,473.0,456.4926,84.31869999999998,405.8773000000001,3.923400000000015
2503,2503.0,3.0,,,0.3,426.6355,390.7358,361.8426,339.1759,322.1709,310.248,302.744,298.9441,298.1584,299.7991,303.433,308.8023,315.8206,324.5547,335.2085,348.1183,363.7694,382.8449,406.3199,435.6333,172.0,471.0,540.8113,37.37160000000006,321.55860000000007,3.923400000000015
2504,2504.0,4.0,,,0.4,199.1691,223.8773,245.1867,262.6062,276.1261,286.1528,293.3805,298.6451,302.7958,306.6041,310.7178,315.6544,321.8242,329.5723,339.2301,351.1712,365.8748,384.0016,406.501,434.7798,472.0,471.0,578.1829,59.12979999999993,284.187,3.923400000000015
2505,2505.0,5.0,,,0.5,428.0337,392.6271,364.3047,342.2642,325.9134,314.6409,307.7488,304.4866,304.1292,306.0566,309.8083,315.1064,321.8529,330.1132,340.1001,352.1683,366.8284,384.7909,407.0535,435.0612,171.0,472.0,637.3127,37.47240000000011,225.05720000000008,3.923400000000015
2506,2506.0,6.0,,,0.6,198.8806,224.2693,246.2083,264.1929,278.2059,288.6497,296.2154,301.736,306.057,309.9476,314.0547,318.899,324.8985,332.4107,341.7838,353.4115,367.7946,385.6159,407.846,435.9125,473.0,473.0,674.7851,55.490099999999984,187.5848,3.923400000000015
2507,2507.0,7.0,,,0.7,429.0187,393.6685,365.449,343.5387,327.3292,316.1951,309.4262,306.2624,305.972,307.9315,311.6803,316.9439,323.6305,331.8146,341.7206,353.7165,368.3286,386.2854,408.6067,436.7676,173.0,473.0,730.2752,38.68520000000001,132.0947,3.923400000000015
2508,2508.0,8.0,,,0.8,200.6924,225.9119,247.7077,265.5793,279.5098,289.8981,297.4298,302.9304,307.2384,311.1161,315.2057,320.0246,325.9895,333.4584,342.782,354.3583,368.6946,386.4827,408.7054,436.8078,473.0,473.0,768.9604,53.86889999999994,93.40949999999998,3.923400000000015
