,t,x1,x2,u,ctg
0,0,0,-1,20,3.721377256
1,0.1,0.001585751,0.751539249,-19.5,3.421377256
2,0.2,-0.021225485,-1.175649515,20,3.174770881
3,0.3,-0.145364874,-1.304983051,19,2.83651065
4,0.4,-0.282400593,-1.433588265,17,2.483599479
5,0.5,-0.428740817,-1.492238876,16,2.125606939
6,0.6,-0.576445689,-1.462356519,15.5,1.756547383
7,0.7,-0.717200517,-1.354536747,15.5,1.389344761
8,0.8,-0.844836587,-1.200747383,16,1.034305123
9,0.9,-0.957085535,-1.046796971,-17.5,0.690750809
10,1,-1.056432606,-0.941892575,-16.5,0.336446147
