,t,x1,x2,u,ctg
0,0.0,0.0,-1.0,20.490251731580745,37.76011842374633
1,0.1,0.003957311319628476,0.8671900055556414,-7.970205273665801,34.66086634362859
2,0.2,0.047926136560637836,0.026200652948039155,20.555051236556466,33.59121131705827
3,0.3,-0.003002596803694779,-1.0272212145859008,20.81029206488336,31.475677271590428
4,0.4,-0.1242533167514746,-1.3917192297050363,20.11342241551531,28.255143553178794
5,0.5,-0.2690264815642163,-1.5019078948051114,19.9225478433313,24.280073445799502
6,0.6,-0.418133923641022,-1.480596084386025,18.939501338328654,19.967431310689637
7,0.7,-0.5606819470228412,-1.372171164145751,19.552410385563405,15.806907012768207
8,0.8,-0.6899243285840443,-1.2152907057102658,20.157262054531,11.698205303910338
9,0.9,-0.8034127209007291,-1.0571129964990817,20.538094820645036,7.713702157677263
10,1.0,-0.903636831335718,-0.9491679957705087,-20.611628605010274,3.8416755758958505
