,Unnamed: 0,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0.0,0.0,0.0,-1.0,-11.686177483483732,0.0,0.3076564975,5.2587778021,-2.5
1,1.0,0.1,-0.1516935091,-2.0169242392,-13.396925143270847,0.3076564975,0.7665740584,4.9511213046,-2.7969242392000004
2,2.0,0.2,-0.4084357444,-3.0998745183,14.598571345039083,1.0742305559,0.6626324806999999,4.1845472462,-3.3198745183
3,3.0,0.3,-0.6328084148,-1.4156447134,8.911753482243551,1.7368630366,0.1789139559999999,3.5219147655,-1.2356447134
4,4.0,0.4,-0.724414941,-0.4328628389,-7.379464464416351,1.9157769926,0.1474077701000002,3.3430008095000003,-0.0128628388999999
5,5.0,0.5,-0.801304224,-1.0939200024,1.201387648341182,2.0631847627,0.1704431553999996,3.1955930394,-0.5939200024
6,6.0,0.6,-0.8995930698,-0.8754923918,-12.256412043988316,2.2336279181,0.3809294690000002,3.025149884,-0.4554923918
7,7.0,0.7,-1.0421965476,-1.9585301184,-12.770794451952876,2.6145573871,0.8407244651000001,2.644220415,-1.7785301183999995
8,8.0,0.8,-1.2903530052,-2.987453106,1.947849911168845,3.4552818522,0.9648778728000004,1.8034959499,-3.207453106
9,9.0,0.9,-1.5652241346,-2.5177969854,0.9296441094630694,4.420159725,0.8386180770999996,0.8386180770999996,-3.2977969854
10,0.0,0.0,0.0,-1.0,-8.812494286220476,0.0,0.2338548981,14.324355634699998,-2.5
11,1.0,0.1,-0.1377923012,-1.7434571274,-15.938360737957025,0.2338548981,0.7394189942,14.090500736599996,-2.5234571274000004
12,2.0,0.2,-0.3808046495,-3.0942808529,-19.102208885695585,0.9732738923,1.7312199006000002,13.351081742399998,-3.3142808529
13,3.0,0.3,-0.7676695948,-4.6176367961,-11.94102467016396,2.7044937929,2.6514836781,11.6198618418,-4.4376367961000005
14,4.0,0.4,-1.2648598095,-5.3145490485,18.11452204751348,5.355977471,2.1779311973999995,8.968378163699999,-4.8945490485
15,5.0,0.5,-1.6829785354,-3.0849781178,-19.45872179025708,7.5339086684,2.061342156700001,6.7904469663,-2.5849781178
16,6.0,0.6,-2.0706830077,-4.6431458245,17.8242588486859,9.5952508251,1.9763638266999983,4.729104809599999,-4.2231458245
17,7.0,0.7,-2.426313684,-2.5050892634,12.65793298041568,11.5716146518,1.0500979730000015,2.7527409829000007,-2.3250892634
18,8.0,0.8,-2.6034726795,-1.0621369698,2.4192301248660684,12.6217126248,0.786532360499999,1.7026430098999992,-1.2821369698000002
19,9.0,0.9,-2.6928484084,-0.7308382285,17.820840358253093,13.4082449853,0.9161106494000002,0.9161106494000002,-1.5108382285000004
20,0.0,0.0,0.0,-1.0,-10.564304875113994,0.0,0.2772529442,8.947706943100002,1.2787901143999996
