,t,x1,x2,u
12,0.3,-13.84972945,-13.87659926,-17.29568984
16,0.4,-15.14429314,-12.04519293,5.368426368
20,0.5,-16.21132813,-9.340576397,16.3758154
24,0.6,-17.03790996,-7.226292366,12.87702203
28,0.7,-17.7861825,-7.730752152,-12.52732325
32,0.8,-18.44519855,-5.486959113,15.84776992
36,0.9,-18.94261395,-4.478159405,5.113843085
40,1,-19.43234556,-5.302732176,-13.1430438
0,0,-7.481520386,-13.71554197,0
4,0.1,-8.725013525,-11.19630117,12.75747661
8,0.2,-9.749585633,-9.326302454,8.454266049
12,0.3,-10.71743587,-10.01915669,-16.6070448
16,0.4,-11.68782839,-9.399027449,-3.502632735
20,0.5,-12.5568632,-8.004900286,5.25092355
24,0.6,-13.32730543,-7.413794377,-1.793363182
28,0.7,-13.97781806,-5.626245707,11.37036041
32,0.8,-14.55015092,-5.81722911,-7.633162695
36,0.9,-15.13033617,-5.786979961,-5.499361013
40,1,-15.67800378,-5.176544517,0.627678309
0,0,0.705606361,-15.0228624,0
4,0.1,-0.691664557,-12.95698156,6.686099186
8,0.2,-1.848548682,-10.22620628,15.73891155
12,0.3,-2.787076245,-8.57191196,7.15766761
16,0.4,-3.643405161,-8.55494903,-8.393659869
20,0.5,-4.454704747,-7.68553057,0.581188747
24,0.6,-5.245496618,-8.123016643,-12.28277944
28,0.7,-5.974178636,-6.478035491,9.162991348
32,0.8,-6.533917173,-4.745604283,11.72692671
36,0.9,-6.898848665,-2.588963584,17.91709206
40,1,-7.089074433,-1.238063041,11.60674775
0,0,-4.221762676,-17.67156687,0
4,0.1,-5.980996769,-17.51571214,-16.03379357
8,0.2,-7.735989364,-17.58301817,-18.22298631
12,0.3,-9.47094869,-17.12382036,-12.75761514
16,0.4,-11.12686762,-16.01306774,-5.451663119
20,0.5,-12.74492226,-16.34253481,-19.47521706
24,0.6,-14.32362968,-15.24982237,-4.859949812
28,0.7,-15.78843996,-14.06610864,-2.810965499
32,0.8,-17.13840602,-12.95178148,-2.356388952
36,0.9,-18.42454129,-12.77388836,-11.08242151
40,1,-19.61072377,-10.97966006,6.08045818
0,0,-5.95260731,-9.839096083,0
4,0.1,-6.937157032,-9.851688522,-9.971421606
8,0.2,-7.783959312,-7.129715735,18.75170507
12,0.3,-8.374900174,-4.729105018,18.09669855
16,0.4,-8.897171923,-5.700148594,-14.93315325
20,0.5,-9.476035894,-5.874229968,-7.529453452
24,0.6,-9.990827972,-4.445421092,9.140167986
28,0.7,-10.46423203,-5.013198652,-10.41181617
32,0.8,-10.96957932,-5.092426871,-5.845755076
36,0.9,-11.45749354,-4.67284944,-0.683367947
40,1,-11.92047751,-4.588239813,-3.783743396
0,0,1.664296758,-15.19236356,0
4,0.1,0.28066193,-12.52478524,12.83943493
8,0.2,-0.943618,-11.97005727,-6.695519688
12,0.3,-2.012055221,-9.440833846,14.60786207
16,0.4,-2.86328495,-7.614199563,9.754045543
20,0.5,-3.621116148,-7.543600846,-6.87232481
24,0.6,-4.430161733,-8.619384134,-18.84828874
28,0.7,-5.220087963,-7.202747134,6.267107711
32,0.8,-5.928984992,-6.97892324,-4.85073136
36,0.9,-6.526103706,-4.996486139,13.85318388
40,1,-7.074415907,-5.953805228,-15.05631291
0,0,-4.32200718,-9.647544094,0
4,0.1,-5.26766301,-9.271833314,-5.699450503
8,0.2,-6.233339339,-10.02907467,-17.22917686
12,0.3,-7.271492786,-10.7224401,-17.31518877
16,0.4,-8.22613611,-8.408977672,13.58819105
20,0.5,-9.121194654,-9.474438484,-19.60519356
24,0.6,-10.04943314,-9.096627011,-5.50427011
28,0.7,-10.82708688,-6.499722428,18.19250838
32,0.8,-11.49479253,-6.848577196,-10.16560414
36,0.9,-12.20441294,-7.335713527,-11.96756746
40,1,-12.86735704,-5.946321045,7.264483876
0,0,-6.593135474,-8.489551397,0
4,0.1,-7.492240805,-9.476115231,-18.85669164
8,0.2,-8.410014708,-8.889144056,-3.308027285
12,0.3,-9.290690287,-8.727068328,-7.185998501
16,0.4,-10.14436137,-8.352593531,-4.791962858
20,0.5,-10.88175696,-6.427399562,11.87798375
24,0.6,-11.39804394,-3.939793111,19.71319477
28,0.7,-11.76251129,-3.359228341,2.160974209
32,0.8,-12.04614355,-2.330558593,7.450374839
36,0.9,-12.34784006,-3.68087015,-16.52008066
40,1,-12.62197602,-1.832647697,15.74086489
0,0,-3.685875733,-10.80934376,0
4,0.1,-4.7221276,-9.930341185,-1.572492952
8,0.2,-5.573687758,-7.147239274,19.31541753
12,0.3,-6.28172178,-7.015634229,-5.76428978
16,0.4,-6.958788406,-6.533728704,-1.951610998
20,0.5,-7.525663089,-4.832120376,11.34733644
24,0.6,-7.957530248,-3.822054422,5.781987961
28,0.7,-8.352541756,-4.073977729,-6.469348159
32,0.8,-8.76472166,-4.168052679,-5.062548532
36,0.9,-9.237948204,-5.277982459,-15.83156324
40,1,-9.65701226,-3.138943365,17.19975038
0,0,0.862474539,-8.101554831,0
4,0.1,0.034111692,-8.459733454,-11.8654147
8,0.2,-0.825708711,-8.732135334,-11.32222283
12,0.3,-1.74175502,-9.574749622,-17.58660597
16,0.4,-2.675364718,-9.105267716,-4.641277918
20,0.5,-3.45056415,-6.443083283,18.86985001
24,0.6,-4.145310269,-7.435304827,-16.86967663
28,0.7,-4.928314498,-8.211839668,-15.59539071
32,0.8,-5.724179399,-7.71375831,-2.977835416
36,0.9,-6.449343539,-6.804673391,1.839207781
40,1,-7.171701548,-7.628754396,-15.46439014
0,0,3.430610981,-16.91371604,0
4,0.1,1.859227646,-14.55328463,7.890480735
8,0.2,0.452740923,-13.5924609,-4.456629931
12,0.3,-0.88307659,-13.13156959,-8.749261986
16,0.4,-2.209316912,-13.38894794,-15.83618673
20,0.5,-3.387810755,-10.23351079,19.76943308
24,0.6,-4.294542091,-7.939345631,13.87433819
28,0.7,-4.985507106,-5.91370966,13.34670956
32,0.8,-5.504341119,-4.486749296,9.081263511
36,0.9,-5.99048922,-5.223928467,-12.23327273
40,1,-6.484764874,-4.670801841,0.588509734
0,0,0.461421952,-8.092877668,0
4,0.1,-0.289605398,-6.946767984,3.950823338
8,0.2,-0.858168422,-4.465834498,19.12370462
12,0.3,-1.306056045,-4.491490428,-4.735435531
16,0.4,-1.76664101,-4.716460002,-6.855545383
20,0.5,-2.29716201,-5.874659895,-16.88720894
24,0.6,-2.853803997,-5.268284405,0.497335035
28,0.7,-3.328414925,-4.241051855,5.526216215
32,0.8,-3.778927249,-4.760537962,-9.699984306
36,0.9,-4.288142155,-5.412889438,-11.61566382
40,1,-4.84622654,-5.743292471,-8.884874183
0,0,6.788563923,-4.536276365,0
4,0.1,6.303563165,-5.153454215,-11.02178608
8,0.2,5.769408738,-5.523468448,-9.041686605
12,0.3,5.238860094,-5.094650207,-1.017304028
16,0.4,4.818843898,-3.334996394,13.39637617
20,0.5,4.454558947,-3.940610738,-9.698992949
24,0.6,4.17269398,-1.733468192,19.25277578
28,0.7,3.997553561,-1.768752204,-2.104244297
32,0.8,3.805033115,-2.076527977,-5.002962192
36,0.9,3.55714636,-2.868017836,-10.39376615
40,1,3.218342139,-3.891019393,-13.61805778
0,0,-4.780039294,-11.38421272,0
4,0.1,-5.884925558,-10.72450585,-4.451793892
8,0.2,-6.953894543,-10.65601516,-10.00478299
12,0.3,-8.007454135,-10.41912421,-8.166686363
16,0.4,-8.956938989,-8.600872031,8.687673213
20,0.5,-9.75861474,-7.451791148,3.474051325
24,0.6,-10.48864796,-7.153838238,-4.320803073
28,0.7,-11.23753439,-7.812907733,-14.07955927
32,0.8,-12.03953508,-8.220317129,-12.0941009
36,0.9,-12.81824832,-7.368147975,0.734559208
40,1,-13.55068485,-7.282017914,-6.463064697
0,0,-4.840952742,-12.37135079,0
4,0.1,-6.004269755,-10.91918815,2.88845621
8,0.2,-7.134483705,-11.67253712,-18.83562917
12,0.3,-8.255041178,-10.75392007,-2.019404214
16,0.4,-9.201436317,-8.216269845,15.91255084
20,0.5,-10.00305901,-7.822741724,-4.080945728
24,0.6,-10.73459675,-6.824645334,2.665586464
28,0.7,-11.2986082,-4.494414369,17.66219515
32,0.8,-11.7262744,-4.066047774,0.007004008
36,0.9,-12.14510123,-4.306482241,-6.592612962
40,1,-12.63329324,-5.438494192,-16.20203959
0,0,-5.651888942,-16.85977154,0
4,0.1,-7.186303203,-13.87819829,14.4715899
8,0.2,-8.543817459,-13.28202147,-7.613374347
12,0.3,-9.770589892,-11.28667738,7.685716524
16,0.4,-10.75195065,-8.388827265,19.16489357
20,0.5,-11.46066405,-5.82811218,18.52001686
24,0.6,-12.04933731,-5.943431264,-7.039923392
28,0.7,-12.5219399,-3.548529012,19.22299658
32,0.8,-12.94169943,-4.825384262,-16.96614782
36,0.9,-13.47995284,-5.921419599,-16.34288742
40,1,-14.12697495,-7.001032191,-17.26634708
0,0,-7.475782691,-11.21869298,0
4,0.1,-8.521522664,-9.721062828,4.518901765
8,0.2,-9.461159217,-9.082312309,-3.008860343
12,0.3,-10.29856976,-7.689114708,5.557870549
16,0.4,-11.00243111,-6.409436667,5.758166924
20,0.5,-11.58281148,-5.218024297,6.110320002
24,0.6,-12.10917891,-5.307827763,-6.161708926
28,0.7,-12.60884202,-4.695635878,1.125287773
32,0.8,-13.09218431,-4.966693086,-7.543994996
36,0.9,-13.51481803,-3.510251412,10.33807949
40,1,-13.89473017,-4.078521697,-9.481824206
0,0,0.063425848,-6.325014842,0
4,0.1,-0.479445295,-4.561790211,12.20353487
8,0.2,-0.861888394,-3.111243517,10.68103595
12,0.3,-1.220483694,-4.045100787,-12.9245257
16,0.4,-1.672286433,-4.975450741,-13.82152693
20,0.5,-2.193729474,-5.445575975,-9.91568275
24,0.6,-2.689702527,-4.489811823,4.597910997
28,0.7,-3.092806914,-3.587315024,4.993924119
32,0.8,-3.423162636,-3.029101424,2.278578779
36,0.9,-3.763684612,-3.769008369,-10.80428921
40,1,-4.121353979,-3.390683349,0.206556515
0,0,7.072755739,-10.09172641,0
4,0.1,6.057921378,-10.2031048,-11.2621275
8,0.2,5.182446001,-7.353881894,19.73747528
12,0.3,4.418903299,-7.907742663,-13.17403471
16,0.4,3.624434987,-7.98041261,-8.671382585
20,0.5,2.860985246,-7.299921835,-0.829589665
24,0.6,2.249961145,-4.959559723,17.29338011
28,0.7,1.735997452,-5.313810925,-8.682148946
32,0.8,1.282518457,-3.78130646,10.7902547
36,0.9,1.019316041,-1.520417084,19.97686959
40,1,0.838947914,-2.077659627,-7.376106697
0,0,7.843600834,-18.26166673,0
4,0.1,6.050636113,-17.60851179,-11.39809789
8,0.2,4.429081485,-14.86824427,11.18712901
12,0.3,3.04461298,-12.85467966,6.290961025
16,0.4,1.810389853,-11.84658172,-2.261251864
20,0.5,0.608507748,-12.18541412,-15.40714508
24,0.6,-0.503848678,-10.09652344,9.765342505
28,0.7,-1.38769087,-7.62156287,15.91118382
32,0.8,-2.199900546,-8.606222383,-17.96869189
36,0.9,-3.051146342,-8.421767269,-6.66790681
40,1,-3.832522675,-7.225690678,4.147002576
0,0,-9.841683227,-15.48173073,0
4,0.1,-11.32162302,-14.13943307,-1.376421379
8,0.2,-12.59169807,-11.30923014,15.60127888
12,0.3,-13.70721461,-11.00615111,-8.124375158
16,0.4,-14.75613064,-9.989117156,-0.3188207
20,0.5,-15.80237915,-10.92033545,-19.77466809
24,0.6,-16.79834628,-9.030499013,8.938693145
28,0.7,-17.57769595,-6.597045332,16.54104004
32,0.8,-18.10986737,-4.088190368,19.76683543
36,0.9,-18.58962901,-5.483786353,-18.75357624
40,1,-19.11675218,-5.065644757,-1.089815659
0,0,-1.565767769,-2.616336252,0
4,0.1,-1.803837494,-2.152782849,2.254836778
8,0.2,-2.014960867,-2.071046643,-1.293871664
12,0.3,-2.259110629,-2.799804673,-9.729077924
16,0.4,-2.554476499,-3.10246916,-5.980303569
20,0.5,-2.823146585,-2.284562058,5.492370168
24,0.6,-3.095305308,-3.144286058,-11.31882724
28,0.7,-3.362011265,-2.205477298,6.721028024
32,0.8,-3.585911876,-2.271435793,-2.898591058
36,0.9,-3.722651217,-0.492986897,16.41709555
40,1,-3.863387691,-2.291767897,-19.39517474
0,0,2.786383251,-10.18724446,0
4,0.1,1.752570952,-10.4840555,-13.30623336
8,0.2,0.721345923,-10.14607713,-6.932466623
12,0.3,-0.199196824,-8.295613719,9.299206639
16,0.4,-1.040160332,-8.519918653,-10.65268442
20,0.5,-1.924281322,-9.151968735,-15.16171072
24,0.6,-2.748145619,-7.355257403,9.728470349
28,0.7,-3.449305903,-6.679213794,-0.251166755
32,0.8,-4.019899104,-4.76455586,13.44064734
36,0.9,-4.472854414,-4.302254092,0.093464582
40,1,-4.852178153,-3.30090703,6.220233229
0,0,9.423603931,-10.82237577,0
4,0.1,8.432031,-9.038804085,7.919987512
8,0.2,7.496947065,-9.652645635,-15.48925485
12,0.3,6.634607964,-7.627876907,11.62429627
16,0.4,5.966713766,-5.761114573,11.98868137
20,0.5,5.419891556,-5.184931092,0.293612708
24,0.6,4.833117865,-6.528159314,-19.30001913
28,0.7,4.295025576,-4.271294608,17.18772418
32,0.8,3.847953768,-4.663604148,-8.393813485
36,0.9,3.408141093,-4.141352101,0.824393724
40,1,3.050521291,-3.029570546,7.541617528
0,0,-8.525448959,-0.294429855,0
4,0.1,-8.580486431,-0.797929321,-5.585369381
