,xi_0,xi_1,ui_0,xf_0,xf_1,uf_0
74,1.057872703,0.068606912,-10.00824298,-1.745791406,-0.52033182,-3.622490445
75,-1.745791406,-0.52033182,-3.622490445,-3.004224328,-0.536786699,-2.483416292
76,-3.004224328,-0.536786699,-2.483416292,-0.249059667,-2.549658983,8.415814674
78,-73.0,6.0,-20.90071515,15.25950568,-2.619438473,0.443272135
79,15.25950568,-2.619438473,0.443272135,-3.183448804,0.6038849,-0.169623957
80,-3.183448804,0.6038849,-0.169623957,0.661859083,-0.185432238,0.03772867
81,0.661859083,-0.185432238,0.03772867,-0.137545458,0.035437251,-0.014055309
82,-0.137545458,0.035437251,-0.014055309,0.029060373,-0.015791068,0.000926297
84,-64.0,23.0,-29.43996599,-27.1810227,-158.1413205,-13.08713988
85,-27.1810227,-158.1413205,-13.08713988,-61.28197588,-88.59317444,94.43596112
86,-61.28197588,-88.59317444,94.43596112,50.25202841,-132.214598,39.08737107
87,50.25202841,-132.214598,39.08737107,8.251728966,-3.182321601,7.290225125
88,8.251728966,-3.182321601,7.290225125,-35.22313812,-100.9010924,10.01607845
90,88.0,-83.0,5.940279835,-17.4516197,1.500000014,-17.57959245
91,-17.4516197,1.500000014,-17.57959245,3.652466665,-0.510352689,0.100420393
92,3.652466665,-0.510352689,0.100420393,-0.762255976,0.147666943,-0.034168371
93,-0.762255976,0.147666943,-0.034168371,0.158781715,-0.039417581,0.009868901
94,0.158781715,-0.039417581,0.009868901,-0.033746677,0.010248466,-0.002522456
96,17.0,47.0,8.416938009,-1.701846818,-6.746419717,17.07112818
97,-1.701846818,-6.746419717,17.07112818,1.568767699,-1.141183346,1.94532625
98,1.568767699,-1.141183346,1.94532625,1.254529282,-0.253852949,1.717475701
99,1.254529282,-0.253852949,1.717475701,-2.086944501,-0.056584943,-2.107964625
100,-2.086944501,-0.056584943,-2.107964625,-1.709095222,-0.083146667,-1.82085391
102,59.0,35.0,28.01909017,-12.89606518,-7.050962248,7.251632643
103,-12.89606518,-7.050962248,7.251632643,1.535535659,-0.487832324,1.275740789
104,1.535535659,-0.487832324,1.275740789,0.894084449,1.228461233,8.593333058
105,0.894084449,1.228461233,8.593333058,-1.700176647,0.506844775,4.164693186
106,-1.700176647,0.506844775,4.164693186,1.168730039,-0.025033768,1.650639923
108,-39.0,79.0,-19.18099324,3.425052597,-15.92670224,9.972248731
109,3.425052597,-15.92670224,9.972248731,0.090693279,0.434510211,0.461733824
110,0.090693279,0.434510211,0.461733824,0.098579129,0.048719297,0.059436089
111,0.098579129,0.048719297,0.059436089,-0.10259833,0.034904638,0.455603808
112,-0.10259833,0.034904638,0.455603808,-0.063257978,0.012798487,0.425846712
114,-17.0,6.0,-8.342226569,3.520490674,-0.862773092,-1.442678109
115,3.520490674,-0.862773092,-1.442678109,-0.710244142,-0.034793313,2.226420084
116,-0.710244142,-0.034793313,2.226420084,0.339596774,-0.058791135,-3.954745878
117,0.339596774,-0.058791135,-3.954745878,-0.388235155,0.312986594,4.625068739
118,-0.388235155,0.312986594,4.625068739,-0.030943006,0.417096138,-0.341641875
120,29.0,5.0,13.48531675,-57.50964559,-29.18367768,-39.77694884
121,-57.50964559,-29.18367768,-39.77694884,-26.1208081,-17.23827959,-34.08642271
122,-26.1208081,-17.23827959,-34.08642271,58.51910479,-52.64081986,12.74394667
123,58.51910479,-52.64081986,12.74394667,63.79837266,-50.54895075,-118.2526513
124,63.79837266,-50.54895075,-118.2526513,-117.9282001,17.65768554,-477.4899921
126,46.0,7.0,21.26012921,-9.773221208,-1.542174934,0.485538701
127,-9.773221208,-1.542174934,0.485538701,2.067669852,0.094918028,-0.096475118
128,2.067669852,0.094918028,-0.096475118,-0.436552894,-0.019905967,0.003628062
129,-0.436552894,-0.019905967,0.003628062,0.091790911,-0.011521841,-0.002991226
130,0.091790911,-0.011521841,-0.002991226,-0.019796524,-0.003114336,-0.002078953
132,91.0,94.0,45.38894736,-0.358882903,-34.92313146,27.84877162
133,-0.358882903,-34.92313146,27.84877162,-1.752350314,-4.378390581,-6.652844441
134,-1.752350314,-4.378390581,-6.652844441,0.259445469,-2.311888479,3.405831975
135,0.259445469,-2.311888479,3.405831975,4.736227339,-0.378561173,3.63729968
136,4.736227339,-0.378561173,3.63729968,-2.031663523,-0.725418113,-19.8562436
138,31.0,27.0,15.25300072,-7.695418243,-7.152438777,6.115668388
139,-7.695418243,-7.152438777,6.115668388,0.926043191,-0.711192342,0.439528947
140,0.926043191,-0.711192342,0.439528947,0.979521278,-1.246078447,0.17573034
141,0.979521278,-1.246078447,0.17573034,-0.73725454,-0.336794751,-3.155624619
142,-0.73725454,-0.336794751,-3.155624619,1.099748103,-0.174238304,3.619152238
144,-90.0,35.0,-40.75342734,18.77653902,-10.02793021,3.18650748
145,18.77653902,-10.02793021,3.18650748,-3.996972961,0.561038217,-3.295441513
146,-3.996972961,0.561038217,-3.295441513,0.712057814,-0.01489084,0.122429944
147,0.712057814,-0.01489084,0.122429944,-0.141251386,-0.118040008,0.898070736
148,-0.141251386,-0.118040008,0.898070736,-1.709056579,0.484232234,-2.597522337
150,91.0,20.0,35.6790606,-18.58055496,-4.28553289,-1.812245058
151,-18.58055496,-4.28553289,-1.812245058,0.567752295,-5.356158667,-14.13139266
152,0.567752295,-5.356158667,-14.13139266,-1.817347987,-1.912696515,-1.606906392
153,-1.817347987,-1.912696515,-1.606906392,2.712688002,-0.255454087,-9.077757711
154,2.712688002,-0.255454087,-9.077757711,-0.056557048,-0.51960196,-5.241185277
156,88.0,28.0,42.78177814,-18.89821693,-6.389819651,2.310325876
157,-18.89821693,-6.389819651,2.310325876,4.04108665,1.003381733,-0.424157206
158,4.04108665,1.003381733,-0.424157206,-0.86170341,-0.186392267,0.06449776
159,-0.86170341,-0.186392267,0.06449776,0.183151664,0.018299585,-0.014121327
160,0.183151664,0.018299585,-0.014121327,-0.039818637,-0.008405354,-0.000170505
162,69.0,16.0,33.3735023,-14.72957301,-3.43519816,1.247770926
163,-14.72957301,-3.43519816,1.247770926,3.131185616,0.433978459,-0.224432849
164,3.131185616,0.433978459,-0.224432849,-0.663984868,-0.078326113,0.026346276
165,-0.663984868,-0.078326113,0.026346276,0.140319109,-0.001947879,-0.006896883
166,0.140319109,-0.001947879,-0.006896883,-0.030359512,-0.004589461,-0.001466263
168,-35.0,64.0,-16.519937,2.058781078,-17.17381046,1.93993089
169,2.058781078,-17.17381046,1.93993089,0.218727028,-0.016396785,-2.509950577
170,0.218727028,-0.016396785,-2.509950577,-0.293175354,0.027128032,1.723947335
171,-0.293175354,0.027128032,1.723947335,-0.011677645,0.546432501,-2.605701872
172,-0.011677645,0.546432501,-2.605701872,-0.398685985,0.261894944,5.020228138
174,-34.0,-68.0,-2.941219192,8.003962969,1.500000014,-13.4221648
175,8.003962969,1.500000014,-13.4221648,-1.699746072,-0.220958016,0.10047008
176,-1.699746072,-0.220958016,0.10047008,0.359883118,0.026629675,-0.014799561
177,0.359883118,0.026629675,-0.014799561,-0.076049432,-0.001448439,0.001780532
178,-0.076049432,-0.001448439,0.001780532,0.016397319,-0.000576781,-9.27e-05
180,33.0,12.0,16.23527779,-0.147344067,-7.168207669,11.78403221
181,-0.147344067,-7.168207669,11.78403221,-1.775773298,-4.737890334,-20.51559859
182,-1.775773298,-4.737890334,-20.51559859,-2.801699294,-0.687986722,-4.020238718
183,-2.801699294,-0.687986722,-4.020238718,-0.982185949,-3.653765412,-9.720228965
184,-0.982185949,-3.653765412,-9.720228965,0.513344664,0.550537331,3.488602393
186,26.0,64.0,12.81777573,-3.104818083,-4.008467677,9.291156861
187,-3.104818083,-4.008467677,9.291156861,3.764245667,-0.823813422,3.121887849
188,3.764245667,-0.823813422,3.121887849,1.425436178,-0.273472976,1.305768546
189,1.425436178,-0.273472976,1.305768546,1.849215634,-0.097291629,1.615604966
190,1.849215634,-0.097291629,1.615604966,-1.808564839,-0.049995092,-2.155972449
192,-46.0,50.0,-22.17075214,6.582707915,-12.37832916,7.633308718
193,6.582707915,-12.37832916,7.633308718,-0.685050168,-0.605853777,3.226561096
194,-0.685050168,-0.605853777,3.226561096,1.673573405,-0.086460336,-0.332933886
195,1.673573405,-0.086460336,-0.332933886,-4.715526926,1.952520146,5.257178792
196,-4.715526926,1.952520146,5.257178792,-2.606350153,-0.795601843,-2.256819398
198,-96.0,13.0,-35.89806619,72.37637162,-116.4679531,-9.651635116
199,72.37637162,-116.4679531,-9.651635116,7.696560571,-28.35910646,-0.820894623
200,7.696560571,-28.35910646,-0.820894623,-60.08704186,-492.8837165,-17.31540867
201,-60.08704186,-492.8837165,-17.31540867,155.2881471,-537.8518858,11.8537503
202,155.2881471,-537.8518858,11.8537503,-316.1669512,-29.44226613,-3.051461311
204,41.0,6.0,17.70090473,-8.709041968,-1.371894737,0.40184461
205,-8.709041968,-1.371894737,0.40184461,1.841993028,0.07142844,-0.084971163
206,1.841993028,0.07142844,-0.084971163,-0.388836738,-0.017586349,0.002054137
207,-0.388836738,-0.017586349,0.002054137,0.081721301,-0.011461752,-0.002836102
208,0.081721301,-0.011461752,-0.002836102,-0.017628278,-0.003244378,-0.002075106
210,58.0,20.0,28.27171959,-13.72086105,-1.662201829,-0.024000368
211,-13.72086105,-1.662201829,-0.024000368,1.690470669,-0.101326798,1.474179868
212,1.690470669,-0.101326798,1.474179868,-0.104214802,-0.0379408,0.016405931
213,-0.104214802,-0.0379408,0.016405931,0.055911777,-0.017944359,0.026526527
214,0.055911777,-0.017944359,0.026526527,-0.500436152,-0.01759859,-3.410761475
216,-10.0,48.0,-4.933643441,-0.52282452,-8.799961781,19.97445526
217,-0.52282452,-8.799961781,19.97445526,0.277513677,-1.312760437,5.440840109
218,0.277513677,-1.312760437,5.440840109,-0.928959602,-1.60831858,-14.09746484
219,-0.928959602,-1.60831858,-14.09746484,0.614126722,-1.082855487,-16.23460872
220,0.614126722,-1.082855487,-16.23460872,1.70093941,-0.660373392,-14.43433534
222,82.0,40.0,38.23490444,-18.94235616,-8.000797865,8.155072312
223,-18.94235616,-8.000797865,8.155072312,2.062777509,-0.007283148,-0.688032214
224,2.062777509,-0.007283148,-0.688032214,-0.190990797,0.113974128,-1.182396042
225,-0.190990797,0.113974128,-1.182396042,-2.096604589,-0.518837298,-1.950254264
226,-2.096604589,-0.518837298,-1.950254264,0.28266729,0.754298826,1.401422353
228,-97.0,-25.0,-26.17489407,20.7022586,1.500000013,-3.674619002
229,20.7022586,1.500000013,-3.674619002,-4.369650765,-0.076596001,0.100494865
230,-4.369650765,-0.076596001,0.100494865,0.919652427,-0.033748711,-0.005137599
231,0.919652427,-0.033748711,-0.005137599,-0.193192903,0.017492136,-0.002254281
232,-0.193192903,0.017492136,-0.002254281,0.041411214,-0.005976862,0.001119377
234,24.0,81.0,11.78430791,-0.827765686,-8.834663748,40.18534211
235,-0.827765686,-8.834663748,40.18534211,0.099914613,0.085369573,0.542648491
236,0.099914613,0.085369573,0.542648491,0.288326476,0.017851369,1.269927477
237,0.288326476,0.017851369,1.269927477,0.290943943,0.01738689,1.279083228
238,0.290943943,0.01738689,1.279083228,0.698852834,0.01167561,0.462847829
240,25.0,90.0,12.35236815,-0.891858332,-15.50361509,20.289966
241,-0.891858332,-15.50361509,20.289966,-1.557512042,-0.137770101,-3.136729509
242,-1.557512042,-0.137770101,-3.136729509,1.329158008,-0.03307733,1.497934461
243,1.329158008,-0.03307733,1.497934461,-2.654249091,-0.026860685,-3.441497327
244,-2.654249091,-0.026860685,-3.441497327,1.551805533,0.003323649,2.076078251
246,-86.0,50.0,-40.35141937,0.72949658,-9.634795012,9.547504036
247,0.72949658,-9.634795012,9.547504036,2.999549699,-5.793884236,-14.76401568
248,2.999549699,-5.793884236,-14.76401568,-5.347580307,-7.891330649,-7.640549791
249,-5.347580307,-7.891330649,-7.640549791,6.325596453,-0.556493487,-22.50110839
250,6.325596453,-0.556493487,-22.50110839,-5.042762347,-2.156073361,-12.36113301
252,54.0,73.0,25.93471958,-5.103594968,-16.04300312,18.31137004
253,-5.103594968,-16.04300312,18.31137004,-0.328582335,-0.652196377,1.094339924
254,-0.328582335,-0.652196377,1.094339924,1.288348562,-0.169760457,1.789677551
255,1.288348562,-0.169760457,1.789677551,-2.014818847,-0.074979702,-4.283052978
256,-2.014818847,-0.074979702,-4.283052978,1.935598122,-0.017562019,1.336676102
258,-68.0,13.0,-31.60268504,15.98305368,-3.406587414,2.187247227
259,15.98305368,-3.406587414,2.187247227,-2.825418286,0.169707551,0.732007635
260,-2.825418286,0.169707551,0.732007635,0.504180631,-0.072448987,-0.212816475
261,0.504180631,-0.072448987,-0.212816475,-0.09686579,0.095915064,-3.28709897
262,-0.09686579,0.095915064,-3.28709897,-0.000171435,-0.766131578,-1.071118517
264,47.0,-23.0,11.47362969,-9.593409521,1.500000012,-4.333425744
265,-9.593409521,1.500000012,-4.333425744,2.000223496,-0.421015737,0.100435731
266,2.000223496,-0.421015737,0.100435731,-0.415848472,0.110302397,-0.028189165
267,-0.415848472,0.110302397,-0.028189165,0.086288678,-0.0276964,0.007371999
268,0.086288678,-0.0276964,0.007371999,-0.018267084,0.006906682,-0.001772381
270,23.0,2.0,11.30479832,-4.864260563,-0.32603312,0.129493242
271,-4.864260563,-0.32603312,0.129493242,1.025387829,-0.012262285,-0.019853563
272,1.025387829,-0.012262285,-0.019853563,-0.215611567,0.009467957,-0.001365604
273,-0.215611567,0.009467957,-0.001365604,0.045211989,-0.006565668,0.000300625
274,0.045211989,-0.006565668,0.000300625,-0.009694396,0.000597202,-0.000688445
276,70.0,-61.0,6.440329925,-13.9466513,1.500000014,-12.70020863
277,-13.9466513,1.500000014,-12.70020863,2.915522761,-0.470506059,0.100427234
278,2.915522761,-0.470506059,0.100427234,-0.607749119,0.131001373,-0.031501488
279,-0.607749119,0.131001373,-0.031501488,0.126447914,-0.034189626,0.008755217
280,0.126447914,-0.034189626,0.008755217,-0.026842371,0.008757943,-0.002187903
282,-82.0,88.0,-39.25754864,4.534877976,-13.50464396,37.71103812
283,4.534877976,-13.50464396,37.71103812,-3.875022323,0.14990225,-3.322560965
284,-3.875022323,0.14990225,-3.322560965,0.70426653,-0.085295146,-0.065116958
285,0.70426653,-0.085295146,-0.065116958,-1.230215669,0.015496506,-1.442254435
286,-1.230215669,0.015496506,-1.442254435,-1.951371426,-0.030230672,-1.695432483
288,-100.0,35.0,-47.62634687,20.20310838,-8.595684033,1.297234885
289,20.20310838,-8.595684033,1.297234885,-2.089225445,-0.015937487,-2.338230776
290,-2.089225445,-0.015937487,-2.338230776,-0.20547919,-0.017851938,-0.996216894
291,-0.20547919,-0.017851938,-0.996216894,1.350190618,-0.167492783,-0.705895787
292,1.350190618,-0.167492783,-0.705895787,0.827118213,-0.062264583,-1.307075881
294,36.0,54.0,17.37569361,-0.914903992,-11.81192635,1.20143359
295,-0.914903992,-11.81192635,1.20143359,-0.065121488,0.023696162,-0.206712769
296,-0.065121488,0.023696162,-0.206712769,0.1458384,-0.009444978,0.798942698
297,0.1458384,-0.009444978,0.798942698,0.091786616,-0.007560801,0.25569002
298,0.091786616,-0.007560801,0.25569002,0.345615596,-0.002979195,-0.42070446
300,-25.0,-97.0,-1.498401638,6.479605612,1.500000014,-19.74260249
301,6.479605612,1.500000014,-19.74260249,-1.379239369,-0.238287845,0.100467104
302,-1.379239369,-0.238287845,0.100467104,0.292686031,0.033877754,-0.015959424
303,0.292686031,0.033877754,-0.015959424,-0.061987032,-0.003722147,0.002264888
304,-0.061987032,-0.003722147,0.002264888,0.013394544,7.15e-05,-0.000238192
306,23.0,20.0,11.20289172,-5.552972238,-3.316137245,0.158067373
307,-5.552972238,-3.316137245,0.158067373,0.863133732,-0.630363928,0.07860883
308,0.863133732,-0.630363928,0.07860883,-0.207602448,-0.681708124,-3.737844962
309,-0.207602448,-0.681708124,-3.737844962,0.545270899,-0.391924171,4.343173953
310,0.545270899,-0.391924171,4.343173953,0.404511429,-0.801260155,-0.968505024
312,81.0,50.0,39.78012602,-8.414326974,-6.460627098,2.106583362
313,-8.414326974,-6.460627098,2.106583362,-0.021069314,-0.027931502,-0.106158563
314,-0.021069314,-0.027931502,-0.106158563,-0.150162393,-0.008133544,-0.096606362
315,-0.150162393,-0.008133544,-0.096606362,-0.015952877,-0.006982698,-0.007098407
316,-0.015952877,-0.006982698,-0.007098407,0.010858592,-0.008480071,0.002015781
318,-83.0,3.0,-27.17729508,-2.579423979,-42.13474124,40.96484464
319,-2.579423979,-42.13474124,40.96484464,-7.654900289,-35.29201062,118.4847004
320,-7.654900289,-35.29201062,118.4847004,61.43090523,-1.458921726,-190.0694274
321,61.43090523,-1.458921726,-190.0694274,-39.41907489,2.172236222,-26.85802326
322,-39.41907489,2.172236222,-26.85802326,-75.49380246,-19.9838265,312.1082862
324,14.0,-16.0,5.18365548,-2.746314566,1.500000013,-2.555103844
325,-2.746314566,1.500000013,-2.555103844,0.560574311,-0.34317376,0.100449096
326,0.560574311,-0.34317376,0.100449096,-0.114013192,0.077745544,-0.022979302
327,-0.114013192,0.077745544,-0.022979302,0.023123313,-0.017483382,0.005196372
328,0.023123313,-0.017483382,0.005196372,-0.004779249,0.003994884,-0.001118817
330,-61.0,-85.0,-4.23673241,13.89510123,1.500000014,-16.88293846
331,13.89510123,1.500000014,-16.88293846,-2.938398733,-0.153983943,0.100481579
332,-2.938398733,-0.153983943,0.100481579,0.619577685,-0.001381755,-0.010317074
333,0.619577685,-0.001381755,-0.010317074,-0.130395968,0.007338689,-9.13e-05
334,-0.130395968,0.007338689,-9.13e-05,0.02800205,-0.003082048,0.000469626
336,84.0,80.0,39.89632753,-19.80855801,-20.76455742,2.013985341
337,-19.80855801,-20.76455742,2.013985341,2.479700304,0.077939992,0.699626538
338,2.479700304,0.077939992,0.699626538,-0.035903927,0.005835484,0.340788499
339,-0.035903927,0.005835484,0.340788499,0.072632281,0.014295052,0.955421336
340,0.072632281,0.014295052,0.955421336,0.540248267,0.028738423,1.606806848
342,-70.0,33.0,-32.93977664,12.17339347,-4.489291119,13.45639904
343,12.17339347,-4.489291119,13.45639904,-1.035160663,0.036520628,0.45008195
344,-1.035160663,0.036520628,0.45008195,0.052262193,-0.012894302,-0.220639355
345,0.052262193,-0.012894302,-0.220639355,0.879559716,0.010494468,0.827581513
346,0.879559716,0.010494468,0.827581513,0.347781787,0.03391678,1.715580243
348,-46.0,-83.0,-3.256678743,10.71659539,1.500000014,-16.56528622
349,10.71659539,1.500000014,-16.56528622,-2.270095846,-0.190119147,0.100475374
350,-2.270095846,-0.190119147,0.100475374,0.47946203,0.013731537,-0.012735556
351,0.47946203,0.013731537,-0.012735556,-0.101073828,0.00259768,0.000918608
352,-0.101073828,0.00259768,0.000918608,0.021740831,-0.001730356,0.000166234
354,-89.0,3.0,-40.91226553,-12.71044693,-101.8753988,-28.51081318
355,-12.71044693,-101.8753988,-28.51081318,45.09870464,-56.41888045,-71.38969768
356,45.09870464,-56.41888045,-71.38969768,6.004887676,-158.5642689,21.03548985
357,6.004887676,-158.5642689,21.03548985,46.5026806,-223.1599783,27.47071885
358,46.5026806,-223.1599783,27.47071885,7.045827246,-200.5816589,476.9981811
360,-80.0,9.0,-32.68768319,16.69234992,-3.396913439,0.688958822
361,16.69234992,-3.396913439,0.688958822,-3.475925481,0.782462064,-0.222224245
362,-3.475925481,0.782462064,-0.222224245,0.721349734,-0.225892163,0.04969368
363,0.721349734,-0.225892163,0.04969368,-0.149612103,0.04453725,-0.016759977
364,-0.149612103,0.04453725,-0.016759977,0.031554641,-0.017870702,0.001508666
366,-42.0,67.0,-20.28764767,3.543818395,-10.52883113,5.348117369
367,3.543818395,-10.52883113,5.348117369,0.394151488,0.078688854,0.713907217
368,0.394151488,0.078688854,0.713907217,1.387412895,0.011054759,1.532603184
369,1.387412895,0.011054759,1.532603184,1.136839068,0.026534584,1.496029332
370,1.136839068,0.026534584,1.496029332,1.34639165,0.04264073,0.801789046
372,-100.0,31.0,-44.21395167,20.12525253,-8.098771907,3.533393216
373,20.12525253,-8.098771907,3.533393216,-1.657527209,0.137205199,1.388908615
374,-1.657527209,0.137205199,1.388908615,0.396922573,0.028681682,2.346397898
375,0.396922573,0.028681682,2.346397898,-0.390954201,-0.005959286,-0.017424537
376,-0.390954201,-0.005959286,-0.017424537,1.206510202,-0.12512838,-2.829303702
378,-43.0,33.0,-20.8787549,5.947685808,-5.61506332,11.29259939
379,5.947685808,-5.61506332,11.29259939,0.774645883,-0.756654883,-0.60437021
380,0.774645883,-0.756654883,-0.60437021,0.987971963,-0.218709322,-2.070001983
381,0.987971963,-0.218709322,-2.070001983,1.638399995,-0.044329572,0.094422857
382,1.638399995,-0.044329572,0.094422857,-0.397053614,-0.029255925,-2.325662931
384,32.0,-74.0,2.471038086,-5.793891735,1.500000014,-15.21533039
385,-5.793891735,1.500000014,-15.21533039,1.201348539,-0.377820489,0.100443148
386,1.201348539,-0.377820489,0.100443148,-0.248357219,0.092236291,-0.025298163
387,-0.248357219,0.092236291,-0.025298163,0.051237619,-0.0220291,0.006164723
388,0.051237619,-0.0220291,0.006164723,-0.010782557,0.005290898,-0.001409712
390,-72.0,25.0,-33.76734105,15.35096503,-6.432043401,7.163215818
391,15.35096503,-6.432043401,7.163215818,-1.605171935,-0.068826442,3.498696961
392,-1.605171935,-0.068826442,3.498696961,-0.776085785,-0.326318764,-2.859000924
393,-0.776085785,-0.326318764,-2.859000924,0.306636544,0.17564736,6.366944654
394,0.306636544,0.17564736,6.366944654,-0.217601948,-0.338309345,-4.312525802
396,63.0,-54.0,6.557582041,-12.56389337,1.500000014,-11.13804356
397,-12.56389337,1.500000014,-11.13804356,2.62478832,-0.45478602,0.100429933
398,2.62478832,-0.45478602,0.100429933,-0.546794053,0.124426578,-0.030449366
399,-0.546794053,0.124426578,-0.030449366,0.113691788,-0.032127127,0.008315854
400,0.113691788,-0.032127127,0.008315854,-0.024118528,0.008169911,-0.002055917
402,89.0,34.0,39.35469555,-19.63151329,-4.108329094,11.52627986
403,-19.63151329,-4.108329094,11.52627986,2.066698809,-0.078643707,-0.201884282
404,2.066698809,-0.078643707,-0.201884282,-0.634034318,-0.009259732,0.016356078
405,-0.634034318,-0.009259732,0.016356078,0.852257673,-0.028047065,1.284509172
406,0.852257673,-0.028047065,1.284509172,0.423169533,0.052183325,0.614191925
408,46.0,-8.0,23.0,-9.577982135,1.500000008,-1.012331312
409,-9.577982135,1.500000008,-1.012331312,1.996979781,-0.420840346,0.100435761
410,1.996979781,-0.420840346,0.100435761,-0.415168399,0.110229042,-0.028177426
411,-0.415168399,0.110229042,-0.028177426,0.086146358,-0.027673389,0.007367097
