,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
1702,1702.0,1702.0,1702.0,1702.0,1702.0,1702.0,2.0,,,,,,,,,,0.2,-0.0080732618,-0.885503269,9.656068633455767,0.3798561903,0.0692465627,2.003790869,0.6147094031
1703,1703.0,1703.0,1703.0,1703.0,1703.0,1703.0,3.0,,,,,,,,,,0.3,-0.0456296065,0.1176599391,-18.218695747181098,0.449102753,0.2510577553999999,1.9345443063,0.6147094031
1704,1704.0,1704.0,1704.0,1704.0,1704.0,1704.0,4.0,,,,,,,,,,0.4,-0.1225642213,-1.6272750208,16.67807549744813,0.7001605084,0.2224687043,1.6834865509,0.6147094031
1705,1705.0,1705.0,1705.0,1705.0,1705.0,1705.0,5.0,,,,,,,,,,0.5,-0.1967410955,0.1147094031,-20.0,0.9226292127,0.3092777,1.4610178466,0.6147094031
1706,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,6.0,,,,,,,,,,0.6,-0.2825732884,-1.799458404,20.0,1.2319069127,0.3027651685000001,1.1517401466,0.6147094031
1707,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,7.0,,,,,,,,,,0.7,-0.3570660487,0.2750343563,-20.0,1.5346720812,0.2950383999999999,0.8489749780999998,0.6147094031
1708,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,8.0,,,,,,,,,,0.8,-0.4276412909,-1.6543904015,19.40105645073158,1.8297104812,0.2847903814999999,0.5539365780999999,0.6147094031
1709,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,9.0,,,,,,,,,,0.9,-0.4912263325,0.3493002851,-19.014924425204,2.1145008627,0.2691461965999999,0.2691461965999999,0.6147094031
1710,1710.0,1710.0,1710.0,1710.0,1710.0,1710.0,0.0,,,,,,,,,,0.0,0.0,-1.0,18.131055905184667,0.0,0.1925799038,2.3162087633,0.6830811417
1711,1711.0,1711.0,1711.0,1711.0,1711.0,1711.0,1.0,,,,,,,,,,0.1,-0.0074550846,0.8205606751,-16.112732388139822,0.1925799038,0.1514523398,2.1236288595,0.6830811417
1712,1712.0,1712.0,1712.0,1712.0,1712.0,1712.0,2.0,,,,,,,,,,0.2,-0.007312439,-0.7908552093,7.509055548234995,0.3440322436,0.0486752733999999,1.9721765197,0.6830811417
1713,1713.0,1713.0,1713.0,1713.0,1713.0,1713.0,3.0,,,,,,,,,,0.3,-0.0462478295,-0.001014264,-17.85466848062468,0.392707517,0.2588473448,1.9235012463,0.6830811417
1714,1714.0,1714.0,1714.0,1714.0,1714.0,1714.0,4.0,,,,,,,,,,0.4,-0.1327148008,-1.7000141408,18.088176115367347,0.6515548618,0.2518027079,1.6646539015,0.6830811417
1715,1715.0,1715.0,1715.0,1715.0,1715.0,1715.0,5.0,,,,,,,,,,0.5,-0.2069924717,0.1830811417,-20.0,0.9033575697,0.2990411622,1.4128511936,0.6830811417
1716,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0,6.0,,,,,,,,,,0.6,-0.2863183448,-1.7375929852,19.86631282391343,1.2023987319,0.2919860308999999,1.1138100314,0.6830811417
1717,1717.0,1717.0,1717.0,1717.0,1717.0,1717.0,7.0,,,,,,,,,,0.7,-0.3555705327,0.3182904851,-19.598707815932503,1.4943847628,0.2774940348999999,0.8218240005000002,0.6830811417
1718,1718.0,1718.0,1718.0,1718.0,1718.0,1718.0,8.0,,,,,,,,,,0.8,-0.4200883249,-1.5770625043,19.37356272447812,1.7718787977,0.2741925365000002,0.5443299656000002,0.6830811417
1719,1719.0,1719.0,1719.0,1719.0,1719.0,1719.0,9.0,,,,,,,,,,0.9,-0.4764476427,0.4166530859,-19.36857823793788,2.0460713342,0.2701374291,0.2701374291,0.6830811417
1720,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,0.0,,,,,,,,,,0.0,0.0,-1.0,17.671623234435028,0.0,0.1834286562,2.3803456712,0.7405357286
1721,1721.0,1721.0,1721.0,1721.0,1721.0,1721.0,1.0,,,,,,,,,,0.1,-0.0096775523,0.7768398757,-16.972092277812834,0.1834286562,0.1684674087999999,2.196917015,0.7405357286
1722,1722.0,1722.0,1722.0,1722.0,1722.0,1722.0,2.0,,,,,,,,,,0.2,-0.0178525753,-0.912194329,9.447179704866654,0.351896065,0.0698526939999999,2.0284496062,0.7405357286
1723,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,3.0,,,,,,,,,,0.3,-0.0589593882,0.0736304543,-18.828737629193068,0.421748759,0.2757109706,1.9585969122,0.7405357286
1724,1724.0,1724.0,1724.0,1724.0,1724.0,1724.0,4.0,,,,,,,,,,0.4,-0.1430349876,-1.7251677092,18.93109646467721,0.6974597296,0.2679667654,1.6828859416000002,0.7405357286
1725,1725.0,1725.0,1725.0,1725.0,1725.0,1725.0,5.0,,,,,,,,,,0.5,-0.2156287789,0.2405357286,-19.289721988160423,0.965426495,0.2700092881,1.4149191762000002,0.7405357286
1726,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,6.0,,,,,,,,,,0.6,-0.286051156,-1.6180140931,17.567596579727756,1.2354357831,0.2410005774999999,1.1449098881000002,0.7405357286
1727,1727.0,1727.0,1727.0,1727.0,1727.0,1727.0,7.0,,,,,,,,,,0.7,-0.355043746,0.2077381549,-20.0,1.4764363606,0.3043753768000001,0.9039093106000002,0.7405357286
1728,1728.0,1728.0,1728.0,1728.0,1728.0,1728.0,8.0,,,,,,,,,,0.8,-0.4320231977,-1.7152823934,19.64902043842585,1.7808117374,0.2973445670000001,0.5995339338000001,0.7405357286
1729,1729.0,1729.0,1729.0,1729.0,1729.0,1729.0,9.0,,,,,,,,,,0.9,-0.5002033733,0.317799826,-20.0,2.0781563044,0.3021893667999999,0.3021893667999999,0.7405357286
1730,1730.0,1730.0,1730.0,1730.0,1730.0,1730.0,0.0,,,,,,,,,,0.0,0.0,-1.0,18.62542714363639,0.0,0.2028089195,2.4003204639999995,0.7213901261
1731,1731.0,1731.0,1731.0,1731.0,1731.0,1731.0,1.0,,,,,,,,,,0.1,-0.0050636043,0.8676063186,-16.294589418737036,0.2028089195,0.1551367436,2.1975115445,0.7213901261
1732,1732.0,1732.0,1732.0,1732.0,1732.0,1732.0,2.0,,,,,,,,,,0.2,-0.001323664,-0.7655925635,7.9803829633721,0.3579456631,0.0494205964,2.0423748009,0.7213901261
1733,1733.0,1733.0,1733.0,1733.0,1733.0,1733.0,3.0,,,,,,,,,,0.3,-0.0355749648,0.0666970337,-18.421041506165697,0.4073662595,0.2644051442,1.9929542045,0.7213901261
1734,1734.0,1734.0,1734.0,1734.0,1734.0,1734.0,4.0,,,,,,,,,,0.4,-0.1183381724,-1.6926439094,18.420661042343653,0.6717714037,0.2549266351,1.7285490602999998,0.7213901261
1735,1735.0,1735.0,1735.0,1735.0,1735.0,1735.0,5.0,,,,,,,,,,0.5,-0.1903061037,0.2213901261,-20.0,0.9266980388,0.2926819971,1.4736224252,0.7213901261
1736,1736.0,1736.0,1736.0,1736.0,1736.0,1736.0,6.0,,,,,,,,,,0.6,-0.2659863702,-1.7029296073,17.73778140630349,1.2193800359,0.2542354638999999,1.1809404281,0.7213901261
1737,1737.0,1737.0,1737.0,1737.0,1737.0,1737.0,7.0,,,,,,,,,,0.7,-0.3422364979,0.147098661,-20.0,1.4736154998,0.3126827739,0.9267049642,0.7213901261
1738,1738.0,1738.0,1738.0,1738.0,1738.0,1738.0,8.0,,,,,,,,,,0.8,-0.4249865594,-1.7701512775,20.0,1.7862982737,0.3100806659000001,0.6140221903,0.7213901261
1739,1739.0,1739.0,1739.0,1739.0,1739.0,1739.0,9.0,,,,,,,,,,0.9,-0.4966903648,0.3015525279,-20.0,2.0963789396,0.3039415243999999,0.3039415243999999,0.7213901261
1740,1740.0,1740.0,1740.0,1740.0,1740.0,0.0,,,,,,,,,,,0.0,0.0,-1.0,13.629244646650177,0.0,0.1176501117,3.0369437672,0.1991456372999999
1741,1741.0,1741.0,1741.0,1741.0,1741.0,1.0,,,,,,,,,,,0.1,-0.0292322285,0.3921566932,-19.10505486520677,0.1176501117,0.2417455244999999,2.9192936555,0.1991456372999999
1742,1742.0,1742.0,1742.0,1742.0,1742.0,2.0,,,,,,,,,,,0.2,-0.0843327253,-1.4632482965,14.11423920172609,0.3593956362,0.1700748425,2.677548131,0.1991456372999999
1743,1743.0,1743.0,1743.0,1743.0,1743.0,3.0,,,,,,,,,,,0.3,-0.1553027389,0.0191456373,-20.0,0.5294704787,0.3239237043,2.5074732885,0.1991456372999999
1744,1744.0,1744.0,1744.0,1744.0,1744.0,4.0,,,,,,,,,,,0.4,-0.2502291481,-1.8859279536,13.81919724624969,0.853394183,0.2512139137,2.1835495842,0.1991456372999999
1745,1745.0,1745.0,1745.0,1745.0,1745.0,5.0,,,,,,,,,,,0.5,-0.3628497001,-0.3913876769,-20.0,1.1046080967,0.4258752027999999,1.9323356705,0.1991456372999999
1746,1746.0,1746.0,1746.0,1746.0,1746.0,6.0,,,,,,,,,,,0.6,-0.4968435077,-2.2573938694,19.243034301787752,1.5304832995,0.401377847,1.5064604677,0.1991456372999999
1747,1747.0,1747.0,1747.0,1747.0,1747.0,7.0,,,,,,,,,,,0.7,-0.6185763472,-0.2113575997,-19.32635077931542,1.9318611465,0.3870803888,1.1050826207,0.1991456372999999
1748,1748.0,1748.0,1748.0,1748.0,1748.0,8.0,,,,,,,,,,,0.8,-0.7321793095,-2.0303897153,2.7209198248869093,2.3189415353,0.3980944383999998,0.7180022318999999,0.1991456372999999
1749,1749.0,1749.0,1749.0,1749.0,1749.0,9.0,,,,,,,,,,,0.9,-0.9122342508,-1.5782427915,0.2614034837074404,2.7170359737,0.3199077935000001,0.3199077935000001,0.1991456372999999
1750,1750.0,1750.0,1750.0,1750.0,1750.0,0.0,,,,,,,,,,,0.0,0.0,-1.0,14.87410559420229,0.0,0.1350861931,3.0350240644999995,0.1462981452999999
1751,1751.0,1751.0,1751.0,1751.0,1751.0,1.0,,,,,,,,,,,0.1,-0.0232103156,0.510620875,-19.38782521863723,0.1350861931,0.2383583775999999,2.8999378714,0.1462981452999999
1752,1752.0,1752.0,1752.0,1752.0,1752.0,2.0,,,,,,,,,,,0.2,-0.0684053256,-1.3829666368,12.795555174740583,0.3734445707,0.1469805946,2.6615794938,0.1462981452999999
1753,1753.0,1753.0,1753.0,1753.0,1753.0,3.0,,,,,,,,,,,0.3,-0.1381145902,-0.0337018547,-20.0,0.5204251653,0.3330471160999999,2.5145988992,0.1462981452999999
1754,1754.0,1754.0,1754.0,1754.0,1754.0,4.0,,,,,,,,,,,0.4,-0.2380700953,-1.9337463497,14.553960527889531,0.8534722814,0.2651024032,2.1815517831,0.1462981452999999
1755,1755.0,1755.0,1755.0,1755.0,1755.0,5.0,,,,,,,,,,,0.5,-0.3516868115,-0.3647335807,-20.0,1.1185746846,0.4181992997999999,1.9164493799,0.1462981452999999
1756,1756.0,1756.0,1756.0,1756.0,1756.0,6.0,,,,,,,,,,,0.6,-0.4831441478,-2.2332762444,18.822471174998608,1.5367739844,0.3897006233,1.4982500801,0.1462981452999999
1757,1757.0,1757.0,1757.0,1757.0,1757.0,7.0,,,,,,,,,,,0.7,-0.6046163314,-0.2295569433,-19.44372457208634,1.9264746077,0.3932395691999999,1.1085494568,0.1462981452999999
1758,1758.0,1758.0,1758.0,1758.0,1758.0,8.0,,,,,,,,,,,0.8,-0.7205189729,-2.058026759,2.907548853512047,2.3197141769,0.4032852927000001,0.7153098876000001,0.1462981452999999
1759,1759.0,1759.0,1759.0,1759.0,1759.0,9.0,,,,,,,,,,,0.9,-0.902301042,-1.5854898046,0.8458840016235547,2.7229994696,0.3120245949,0.3120245949,0.1462981452999999
1760,1760.0,1760.0,1760.0,1760.0,1760.0,0.0,,,,,,,,,,,0.0,0.0,-1.0,15.374054508272868,0.0,0.1427952208,3.1697854449000005,0.1454762629
1761,1761.0,1761.0,1761.0,1761.0,1761.0,1.0,,,,,,,,,,,0.1,-0.0207918536,0.5581973045,-20.0,0.1427952208,0.2510155574,3.0269902241000004,0.1454762629
1762,1762.0,1762.0,1762.0,1762.0,1762.0,2.0,,,,,,,,,,,0.2,-0.0644207129,-1.3981738363,12.077118980366514,0.3938107782,0.1436413043,2.7759746667000003,0.1454762629
1763,1763.0,1763.0,1763.0,1763.0,1763.0,3.0,,,,,,,,,,,0.3,-0.1390524966,-0.1158301545,-19.94456765560088,0.5374520825,0.3473668529,2.6323333624000003,0.1454762629
1764,1764.0,1764.0,1764.0,1764.0,1764.0,4.0,,,,,,,,,,,0.4,-0.2465554005,-2.0027840162,15.317682001825398,0.8848189354,0.2859189062,2.2849665095,0.1454762629
1765,1765.0,1765.0,1765.0,1765.0,1765.0,5.0,,,,,,,,,,,0.5,-0.3630474794,-0.3545237371,-19.68032698526546,1.1707378416,0.405227137,1.9990476033,0.1454762629
1766,1766.0,1766.0,1766.0,1766.0,1766.0,6.0,,,,,,,,,,,0.6,-0.4919868289,-2.1936170862,18.74149235746123,1.5759649786,0.3804838554999998,1.5938204663,0.1454762629
1767,1767.0,1767.0,1767.0,1767.0,1767.0,7.0,,,,,,,,,,,0.7,-0.6100766729,-0.2013780064,-20.0,1.9564488341,0.4066036902000001,1.2133366108,0.1454762629
1768,1768.0,1768.0,1768.0,1768.0,1768.0,8.0,,,,,,,,,,,0.8,-0.7259886853,-2.085465994,1.592561592508319,2.3630525243,0.4344058897999998,0.8067329206,0.1454762629
1769,1769.0,1769.0,1769.0,1769.0,1769.0,9.0,,,,,,,,,,,0.9,-0.9167430926,-1.7354554275,0.0633621959237338,2.7974584141,0.3723270308000002,0.3723270308000002,0.1454762629
