,mpc_x_0,mpc_x_1,u_0,ctg
0,26.0,-84.0,2.815379307584687,8261.97874754998
1,3.522853187636642,-22.2518756428189,104.34545123236073,529.9787475499796
2,0.1640188297999745,-4.633979554618672,22.321299991422812,22.42228334486099
3,-0.13069579519675317,-0.9305644868646566,4.652255323459034,0.9216146557081735
4,-0.07360226719321067,-0.1769683682908049,0.935331301964855,0.038583000612380056
5,-0.02810512384944375,-0.03070496411623174,0.17820161245064883,0.001847903500889319
6,-0.00931444112034211,-0.004399602302218533,0.03102165290681991,0.00011521069291766841
7,-0.0028649990276900855,-0.0003105220457980563,0.0044802028765867485,9.095379115661834e-06
8,-0.0008416712847599439,0.00011155170952227171,0.0003304354043393275,7.907357460700897e-07
9,-0.00024125052467353038,7.309167608238129e-05,-0.00010737106029511921,6.988141058329385e-08
10,-7.330011518549926e-05,3.105309854589322e-05,-7.005594613590742e-05,6.337201815508415e-09
