,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
1901,1901,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1901.0,1.0,0.1,284.5014,281.9712,279.802,277.9948,276.5303,275.3668,274.4386,273.6568,272.9066,272.044,270.889,269.2197,266.7711,263.2425,258.317,251.6958,243.1417,232.5266,219.8687,205.3474,378.0412340938845,351.94941375449866,489.6271,517.7444,2628.5901,-18.6832
1902,1902,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,2.0,0.2,356.385,338.0045,322.5388,309.7332,299.3453,291.1008,284.69,279.7938,276.1249,273.472,271.7379,270.963,271.3292,273.1401,276.7758,282.6271,291.0217,302.1604,316.0897,332.7272,173.76560514377968,377.7991372187869,1007.3715,313.8746000000001,2110.8457,-4.099199999999996
1903,1903,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,1903.0,3.0,0.3,196.5285,217.1119,234.7696,249.0871,260.0158,267.8346,273.0628,276.3563,278.4119,279.8963,281.404,283.4417,286.4305,290.7168,296.587,304.2811,314.0071,325.9615,340.3609,357.4938,344.5072345882038,227.68712790578348,1321.2461,306.3264999999999,1796.9711,-28.61539999999997
1904,1904,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,1904.0,4.0,0.4,327.7178,313.2693,301.3281,291.9937,285.2235,280.812,278.4179,277.6148,277.9459,278.961,280.2319,281.3469,281.8974,281.4691,279.6514,276.0687,270.4333,262.6067,252.6507,240.8497,341.02006301558856,436.8399674150276,1627.5726,286.12570000000005,1490.6446,-16.988
1905,1905,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,5.0,0.5,329.0844,318.9163,310.2943,303.058,297.0822,292.2614,288.5049,285.7429,283.9417,283.1281,283.4166,285.033,288.3256,293.7556,301.8632,313.2136,328.3424,347.7274,371.8252,401.2078,281.2787087730145,421.61533937266,1913.6983,118.86110000000008,1204.5189,-6.98860000000002
1906,1906,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,1906.0,6.0,0.6,282.9328,284.5422,285.9255,286.9807,287.702,288.177,288.5715,289.1048,290.0249,291.5863,294.0354,297.602,302.4989,308.9278,317.0916,327.2144,339.5718,354.5322,372.6182,394.5957,226.98400680279715,228.28201143635908,2032.5594,125.86609999999972,1085.6578,-12.62299999999999
1907,1907,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,1907.0,7.0,0.7,238.0799,248.1826,257.1178,264.8035,271.2607,276.6019,281.001,284.6516,287.7224,290.3136,292.4221,293.919,294.5448,293.9268,291.6226,287.1894,280.2721,270.6965,258.5453,244.1934,192.97057193942248,376.2463320311548,2158.4255,305.8179,959.7917000000002,-25.848099999999988
1908,1908,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,1908.0,8.0,0.8,208.1472,222.0017,234.3581,245.1186,254.2719,261.8871,268.0991,273.0925,277.0895,280.3464,283.1582,285.8681,288.8741,292.6261,297.6072,304.2994,313.1417,324.4947,338.6344,355.791,211.6551253195697,351.58405134283066,2464.2434,349.99310000000014,653.9738000000002,-42.31290000000001
1909,1909,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,1909.0,9.0,0.9,220.9791,229.4706,237.2206,244.3085,250.8018,256.76,262.2424,267.3164,272.064,276.5843,280.9926,285.416,289.9886,294.848,300.1354,306.0011,312.6149,320.1817,328.96,339.2831,366.5921520559944,303.05297913206255,2814.2365,303.98070000000007,303.98070000000007,-49.29000000000002
1910,1910,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,395.9998770841968,459.0572074119139,0.0,353.9459,1783.1237999999998,15.694900000000018
1911,1911,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1911.0,1.0,0.1,369.9295,347.9774,329.6735,314.7202,302.8562,293.791,287.1969,282.7411,280.1372,279.1992,279.8845,282.3182,286.792,293.7391,303.6864,317.1958,334.816,357.0752,384.552,418.0681,320.33612549310465,425.5566629522066,353.9459,104.3041,1429.1779,15.694900000000018
1912,1912,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,1912.0,2.0,0.2,314.8893,310.3633,306.4616,302.9957,299.8942,297.1948,295.0219,293.5561,293.0027,293.5654,295.429,298.7516,303.6665,310.2931,318.7571,329.2188,341.9116,357.1921,375.6052,397.9767,238.8523738729568,282.9058533472566,458.25,75.91060000000004,1324.8737999999998,15.694900000000018
1913,1913,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,1913.0,3.0,0.3,249.2804,258.7721,267.0715,274.0462,279.704,284.1794,287.6966,290.5206,292.9053,295.0482,297.0557,298.9252,300.5438,301.7068,302.1552,301.6308,299.9402,297.0186,292.9765,288.1159,470.1524561818659,403.9959799283823,534.1606,152.82989999999995,1248.9632,15.694900000000018
1914,1914,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,1914.0,4.0,0.4,427.2135,392.5571,364.5875,342.3934,325.3181,312.7401,303.9962,298.3961,295.2824,294.0996,294.4486,296.117,299.081,303.4844,309.6005,317.7828,328.4195,341.904,358.6422,379.1124,358.2562796476209,471.2706635753729,686.9905,93.60379999999998,1096.1333,15.694900000000018
1915,1915,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,1915.0,5.0,0.5,347.4464,338.702,331.4152,325.163,319.7012,314.9449,310.9352,307.8012,305.7243,304.9139,305.5956,308.0108,312.424,319.1313,328.4696,340.828,356.67,376.5833,401.3796,432.2828,197.2275149147947,399.8608777927961,780.5943,31.09260000000006,1002.5295,15.694900000000018
1916,1916,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,6.0,0.6,218.2052,237.3207,253.9594,267.7891,278.7859,287.2002,293.4826,298.1931,301.9164,305.195,308.4873,312.1498,316.4418,321.5476,327.6124,334.7889,343.2892,353.4386,365.7284,380.87,206.1356840800889,226.65451787165065,811.6869,115.84119999999996,971.4369,15.694900000000018
