  ,u1
0 ,398.00000075
1 ,472.998983311291
2 ,473.0
3 ,473.0
4 ,473.0
5 ,473.0
6 ,473.0
7 ,472.99999753814166
8 ,472.9999981257147
9 ,472.9999980167955
10,472.9999979110282
