,u0
0,322.9563254222383
1,173.0186607298873
2,173.01887077596558
3,472.8931624348245
4,283.05650846378734
5,417.87792305679915
6,410.19538020268726
7,464.3188754985007
8,472.89057739746346
9,472.89244490726355
10,472.89171602228686
