,x0_rom,x1_rom,x2_rom,pass
0,1.0195172,-0.46792153,-0.05973433,1
1,1.0361204,-0.45224002,0.7710551,1
2,1.2189639,-0.77077734,-0.108293846,1
3,0.18303472,-0.031900335,0.11168003,1
4,0.41205215,-0.24950957,0.07848619,1
5,1.0302074,-0.7263844,0.032877,1
6,0.8222057,-0.50062037,0.3538742,1
7,0.32071742,-0.32988334,0.02596572,1
8,0.269317,-0.22607651,0.11709437,1
9,1.0160325,-0.53761995,0.11850549,1
10,1.0661774,-0.83399713,-0.253815,1
11,0.6685217,-0.36150023,0.17449148,1
12,0.7797267,-0.42431527,0.14463253,1
13,1.0854788,-0.5651469,0.2687065,1
14,0.81622016,-0.31811643,-0.00019741058,1
15,0.91590935,-0.72338647,0.20234866,1
16,0.9197629,-0.5077595,0.4926473,1
17,0.8375995,-0.5951705,0.17460726,1
18,0.56250286,-0.27190357,0.36694747,1
19,0.554855,-0.56303334,-0.31561208,1
20,0.7882513,-0.58737355,-0.01333297,1
21,0.72184193,-0.29973227,0.08563316,1
22,1.1486893,-0.5139556,0.77573514,1
23,0.91917497,-0.45501477,0.5143351,1
24,0.30357975,-0.109868705,0.2633003,1
25,1.075839,-0.52368844,0.33070326,1
26,0.89039665,-0.502565,0.19877054,1
27,1.0185304,-0.65254116,-0.20221576,1
28,0.7276844,-0.53823996,0.10610971,1
29,1.0376899,-0.7599039,0.10941541,1
30,0.76956815,-0.4385452,0.34127665,1
31,0.90746623,-0.51464415,0.3613053,1
32,0.957941,-0.6664377,0.2208976,1
33,1.0912814,-0.69156694,0.05904384,1
34,0.34258896,-0.18678167,-0.08056517,1
35,0.5483035,-0.39648902,0.22392423,1
36,1.1236842,-0.74538755,-0.15157871,1
37,1.3083422,-0.8503006,-0.38059467,1
38,1.090591,-0.6601021,0.27730584,1
39,1.1646562,-0.6672406,0.3624701,1
40,0.9411679,-0.561689,0.4006012,1
41,0.60270536,-0.5222614,0.08713174,1
42,0.63853264,-0.26733857,0.20716618,1
43,0.63226026,-0.35843128,0.005005479,1
44,0.73682004,-0.5073493,0.114494175,1
45,1.1572871,-0.77460694,0.006761819,1
46,0.8950028,-0.5674314,0.08236542,1
47,0.76871395,-0.59210527,0.13087381,1
48,1.2267256,-0.52285635,0.30264598,1
49,0.6312418,-0.3263096,0.034996152,1
50,0.99474066,-0.53495485,-0.20866439,1
51,1.3345995,-0.6335404,0.23854683,1
52,1.0047109,-0.6612578,-0.1571745,1
53,1.216619,-0.60291255,0.6020359,1
54,0.9441679,-0.7321123,0.13751803,1
55,0.5485602,-0.1935122,0.6553046,1
56,1.0461173,-0.63525385,-0.08881643,1
57,0.8798345,-0.4385095,0.17069389,1
58,0.9468613,-0.5221105,0.16279481,1
59,0.5624208,-0.34436098,0.29241163,1
60,0.48185432,-0.46009597,-0.28817487,1
61,0.4789214,-0.1473571,0.013884112,1
62,0.7882756,-0.49096465,0.2070608,1
63,1.0508826,-0.48453596,0.42449784,1
64,0.54054064,-0.37389296,-0.017425284,1
65,0.6660395,-0.34967375,0.18236287,1
66,0.7674967,-0.5429242,0.2697463,1
67,0.88060445,-0.3209522,0.14316554,1
68,0.23363104,-0.096158564,0.25324786,1
69,0.67475307,-0.6223225,0.15568505,1
70,1.1000013,-0.59610385,0.5435391,1
71,0.95022005,-0.5702845,0.26989055,1
72,0.77466387,-0.5181432,0.37821597,1
73,0.9416285,-0.7186131,0.14555793,1
74,0.6777322,-0.2959854,0.0797084,1
75,0.9979021,-0.4030041,0.35338295,1
76,0.7164912,-0.2945418,0.18225636,1
77,0.9071205,-0.4683813,0.18529351,1
78,0.8603338,-0.47264764,0.09196173,1
79,1.0048945,-0.695346,0.155133,1
