,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,216.18425728528314,382.0028910395798,0.0,432.8997,1903.589,-40.0
1,0.1,227.1995,237.093,245.6822,252.8745,258.6811,263.2116,266.6561,269.2623,271.3161,273.1296,275.0384,277.4041,280.6152,285.0829,291.2241,299.4356,310.0657,323.3976,339.6599,359.0819,394.4122175147327,302.83481953772866,432.8997,311.42199999999997,1470.6893,-49.788400000000024
2,0.2,366.9328,343.673,324.3573,308.8388,296.9369,288.3625,282.7118,279.5055,278.2447,278.4597,279.7393,281.739,284.1747,286.8114,289.4575,291.9692,294.2654,296.3481,298.3186,300.382,429.51947576543455,239.98954806233849,744.3217,260.83720000000005,1159.2673,-24.63749999999999
3,0.3,398.8988,373.8419,353.196,336.2242,322.4145,311.3657,302.7209,296.1334,291.2509,287.7105,285.1385,283.1527,281.3679,279.4051,276.9088,273.5707,269.1576,263.5398,256.7101,248.7857,245.8411472184792,356.94245524502026,1005.1589,272.0532999999999,898.4300999999999,-1.634299999999996
4,0.4,257.7711,268.4927,277.4405,284.2781,288.926,291.5388,292.4454,292.0784,290.9086,289.4009,287.9928,287.0938,287.0944,288.3732,291.2938,296.1871,303.3241,312.8923,324.9901,339.6565,392.98840683963317,341.49178858295215,1277.2122,182.21130000000016,626.3768,-21.46120000000002
5,0.5,369.066,349.1435,332.7711,319.6356,309.4393,301.8448,296.4739,292.9374,290.8759,289.9941,290.0799,291.0054,292.7157,295.2116,298.5328,302.7457,307.9398,314.2311,321.7721,330.7669,380.10206275262294,431.6876359631844,1459.4235,128.74689999999987,444.16549999999984,-11.15519999999998
6,0.6,362.2931,347.6162,335.4616,325.4011,317.1339,310.4498,305.2062,301.314,298.7323,297.4695,297.5891,299.2164,302.5421,307.8202,315.3581,325.5043,338.6395,355.1881,375.6666,400.7931,281.87607284573016,371.3454181700184,1588.1704,54.014900000000125,315.41859999999997,-2.550200000000018
7,0.7,285.9576,289.8429,293.2129,295.8727,297.7727,299.0005,299.7501,300.279,300.8641,301.7638,303.192,305.3058,308.2065,311.9522,316.5818,322.1472,328.75,336.5795,345.9479,357.3205,248.86226679484616,395.99557959468,1642.1853,65.03049999999985,261.40369999999984,-13.999500000000012
8,0.8,256.9004,264.307,270.9399,276.7213,281.6483,285.7917,289.2837,292.3011,295.0474,297.7397,300.6005,303.8548,307.7325,312.4722,318.3277,325.5748,334.5217,345.5261,359.0254,375.5875,376.76470970990954,331.12030799195156,1707.2158,77.46250000000009,196.3732,-27.20830000000001
9,0.9,356.2615,339.1357,325.1653,314.1937,306.032,300.4164,297.0106,295.4356,295.308,296.2742,298.0291,300.323,302.9575,305.7816,308.6912,311.6374,314.6424,317.8187,321.3848,325.6723,283.31347176258515,233.77061406458998,1784.6783,118.9106999999999,118.9106999999999,-12.58359999999999
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,187.63545549971687,440.3211871106658,0.0,435.8958,2322.6010000000006,-40.0
1,0.1,204.0054,218.8155,231.7352,242.5857,251.36,258.211,263.4209,267.3631,270.47,273.2141,276.1024,279.679,284.5277,291.2635,300.5104,312.8675,328.8793,349.0335,373.8208,403.8871,470.69932842606613,461.14350906493536,435.8958,252.13059999999996,1886.7052000000003,-54.78899999999999
2,0.2,424.358,386.4172,355.4573,330.7698,311.869,298.2438,289.2792,284.286,282.5813,283.5728,286.82,292.0605,299.2069,308.3248,319.6069,333.3551,349.984,370.0564,394.368,424.1073,179.64708876739593,227.11863895992224,688.0264,93.80470000000003,1634.5746000000004,-14.756199999999978
3,0.3,203.9643,225.9656,244.7898,259.987,271.5517,279.858,285.5309,289.2934,291.8227,293.6373,295.0252,296.0144,296.3835,295.7085,293.4407,289.0111,281.9489,271.9999,259.2199,244.0168,269.5179015964727,370.5314163456255,781.8311,256.61350000000004,1540.7699000000002,-33.141999999999996
4,0.4,269.5357,269.7248,270.278,271.2999,272.7941,274.6754,276.803,279.0234,281.2148,283.3249,285.3969,287.585,290.1534,293.4621,297.9346,304.0138,312.1126,322.5732,335.6537,351.56,422.9520070980168,400.0688444071716,1038.4446,181.1063999999999,1284.1564,-38.324599999999975
5,0.5,390.9553,364.4505,342.6806,325.1985,311.6481,301.6517,294.7785,290.5657,288.5649,288.3921,289.764,292.5162,296.6029,302.0843,309.1065,317.8816,328.6755,341.8098,357.6868,376.8465,315.14297423969015,416.49211758955323,1219.551,80.67830000000004,1103.0500000000002,-11.348299999999995
6,0.6,312.057,309.6571,307.5902,305.6285,303.6841,301.7988,300.1147,298.835,298.1861,298.3894,299.6458,302.134,306.0182,311.462,318.6449,327.7808,339.1397,353.0792,370.0915,390.8812,186.44616826945793,371.80216677819635,1300.2293,70.05200000000013,1022.3717000000001,-11.201199999999972
7,0.7,207.3071,226.3374,243.0065,257.0253,268.3698,277.2529,284.0617,289.2797,293.414,296.9373,300.2525,303.6773,307.4475,311.7342,316.6718,322.3921,329.0615,336.9189,346.3102,357.7193,261.3417430757563,249.67709105748935,1370.2813,168.21499999999992,952.3197,-35.74709999999999
8,0.8,262.9389,264.5703,266.4544,268.728,271.4329,274.5235,277.8872,281.3713,284.8036,288.0031,290.7788,292.9217,294.196,294.3399,293.081,290.1704,285.4299,278.806,270.4125,260.5481,175.79033751076776,296.8070910023978,1538.4963,326.73029999999994,784.1047000000001,-38.47649999999999
