,t,xi1,xi2,ui,xf1,xf2,uf
40,1,-0.466535112,0.023087074,-0.118756165,-4.33822916,-6.989658405,0
0,0,-4.33822916,-6.989658405,0,-4.906634739,-4.421252809,20
4,0.1,-4.906634739,-4.421252809,20,-5.230624211,-2.097263326,20
8,0.2,-5.230624211,-2.097263326,20,-5.343658512,-0.1951198,17.89109225
12,0.3,-5.343658512,-0.1951198,17.89109225,-5.375529071,-0.438240061,-2.749908204
16,0.4,-5.375529071,-0.438240061,-2.749908204,-5.423435961,-0.518559309,-1.282261373
20,0.5,-5.423435961,-0.518559309,-1.282261373,-5.471436811,-0.442721441,0.278370183
24,0.6,-5.471436811,-0.442721441,0.278370183,-5.503452555,-0.201611278,2.090944186
28,0.7,-5.503452555,-0.201611278,2.090944186,-5.503591669,0.192265485,3.937376486
32,0.8,-5.503591669,0.192265485,3.937376486,-5.472811244,0.419555482,2.58070422
36,0.9,-5.472811244,0.419555482,2.58070422,-5.438946623,0.260389269,-1.253015917
40,1,-5.438946623,0.260389269,-1.253015917,-5.864519772,-14.9459043,0
0,0,-5.864519772,-14.9459043,0,-7.190062253,-11.6203618,20
4,0.1,-7.190062253,-11.6203618,20,-8.199137523,-8.611286507,20
8,0.2,-8.199137523,-8.611286507,20,-8.92186142,-5.888562593,20
12,0.3,-8.92186142,-5.888562593,20,-9.385483879,-3.424940118,20
16,0.4,-9.385483879,-3.424940118,20,-9.614661662,-1.195762324,20
20,0.5,-9.614661662,-1.195762324,20,-9.694969497,-0.423267155,6.921873337
24,0.6,-9.694969497,-0.423267155,6.921873337,-9.727385506,-0.228301896,1.625492507
28,0.7,-9.727385506,-0.228301896,1.625492507,-9.727863661,0.211411451,4.392351911
32,0.8,-9.727863661,0.211411451,4.392351911,-9.681147488,0.714528136,5.498328586
36,0.9,-9.681147488,0.714528136,5.498328586,-9.623123829,0.450347312,-2.061571655
40,1,-9.623123829,0.450347312,-2.061571655,-9.276866897,-8.953367587,0
0,0,-9.276866897,-8.953367587,0,-10.03214411,-6.198090353,20
4,0.1,-10.03214411,-6.198090353,20,-10.52522203,-3.705012416,20
8,0.2,-10.52522203,-3.705012416,20,-10.78105222,-1.449182216,20
12,0.3,-10.78105222,-1.449182216,20,-10.87436393,-0.433969505,9.21900994
16,0.4,-10.87436393,-0.433969505,9.21900994,-10.92235869,-0.524418359,-1.384436081
20,0.5,-10.92235869,-0.524418359,-1.384436081,-10.97023899,-0.434683026,0.418550306
24,0.6,-10.97023899,-0.434683026,0.418550306,-11.00242012,-0.212639701,1.898621934
28,0.7,-11.00242012,-0.212639701,1.898621934,-11.00233233,0.207396057,4.201235472
32,0.8,-11.00233233,0.207396057,4.201235472,-10.9547573,0.735307482,5.754864555
36,0.9,-10.9547573,0.735307482,5.754864555,-10.89408291,0.482394955,-1.922381311
