,t,xi1,xi2,ui,xf1,xf2,uf
20,0.5,-1.976414191,-2.707744601,20,-2.1373418,-0.546817037,19.99999956
24,0.6,-2.1373418,-0.546817037,19.99999956,-2.17355796,-0.183559447,3.2704143
28,0.7,-2.17355796,-0.183559447,3.2704143,-2.174068491,0.167498834,3.505477495
32,0.8,-2.174068491,0.167498834,3.505477495,-2.156427837,0.185022239,0.351640592
36,0.9,-2.156427837,0.185022239,0.351640592,-2.141743294,0.109920112,-0.604175845
40,1,-2.141743294,0.109920112,-0.604175845,0.648339805,-4.551074764,0
0,0,0.648339805,-4.551074764,0,0.31199614,-2.214731106,19.99999993
4,0.1,0.31199614,-2.214731106,19.99999993,0.17764854,-0.500781969,15.79601536
8,0.2,0.17764854,-0.500781969,15.79601536,0.142877563,-0.19965551,2.663554823
12,0.3,0.142877563,-0.19965551,2.663554823,0.111100185,-0.432019949,-2.641418167
16,0.4,0.111100185,-0.432019949,-2.641418167,0.063065317,-0.527093119,-1.431080384
20,0.5,0.063065317,-0.527093119,-1.431080384,0.015240044,-0.431013397,0.482544492
24,0.6,0.015240044,-0.431013397,0.482544492,-0.017016591,-0.217674363,1.81082399
28,0.7,-0.017016591,-0.217674363,1.81082399,-0.029797404,-0.040887859,1.640056906
32,0.8,-0.029797404,-0.040887859,1.640056906,-0.032141276,-0.006561582,0.319824055
36,0.9,-0.032141276,-0.006561582,0.319824055,-0.032556575,-0.001823365,0.043229175
40,1,-0.032556575,-0.001823365,0.043229175,-1.155636359,-0.156827219,0
0,0,-1.155636359,-0.156827219,0,-1.130600891,0.644188535,8.260512216
4,0.1,-1.130600891,0.644188535,8.260512216,-1.088563199,0.203902197,-3.982486452
8,0.2,-1.088563199,0.203902197,-3.982486452,-1.088313109,-0.192298158,-3.959502655
12,0.3,-1.088313109,-0.192298158,-3.959502655,-1.120241724,-0.442111287,-2.81741744
16,0.4,-1.120241724,-0.442111287,-2.81741744,-1.168068965,-0.513248124,-1.189640778
20,0.5,-1.168068965,-0.513248124,-1.189640778,-1.216179092,-0.450008232,0.151297648
24,0.6,-1.216179092,-0.450008232,0.151297648,-1.248044914,-0.191614057,2.265283538
28,0.7,-1.248044914,-0.191614057,2.265283538,-1.250677479,0.133544339,3.225258298
32,0.8,-1.250677479,0.133544339,3.225258298,-1.238302721,0.114271986,-0.068975945
36,0.9,-1.238302721,0.114271986,-0.068975945,-1.229324194,0.066101271,-0.391921881
40,1,-1.229324194,0.066101271,-0.391921881,4.492349435,-8.35068042,0
0,0,4.492349435,-8.35068042,0,3.794425486,-5.652756466,20
4,0.1,3.794425486,-5.652756466,20,3.353242942,-3.211574004,19.99999919
8,0.2,3.353242942,-3.211574004,19.99999919,3.089896258,-2.074310915,8.739164042
12,0.3,3.089896258,-2.074310915,8.739164042,2.906338727,-1.604665813,2.86087571
16,0.4,2.906338727,-1.604665813,2.86087571,2.762064697,-1.28612296,1.742688221
20,0.5,2.762064697,-1.28612296,1.742688221,2.647549334,-1.008805481,1.628021168
24,0.6,2.647549334,-1.008805481,1.628021168,2.559910636,-0.748309356,1.72857427
28,0.7,2.559910636,-0.748309356,1.72857427,2.497672898,-0.500573648,1.854979696
32,0.8,2.497672898,-0.500573648,1.854979696,2.458956174,-0.277478457,1.843784673
36,0.9,2.458956174,-0.277478457,1.843784673,2.437686314,-0.150042324,1.061662733
40,1,2.437686314,-0.150042324,1.061662733,7.869665407,0.267251643,0
0,0,7.869665407,0.267251643,0,7.798349402,-1.661432362,-20
4,0.1,7.798349402,-1.661432362,-20,7.543494849,-3.406577785,-19.99999975
8,0.2,7.543494849,-3.406577785,-19.99999975,7.172687974,-3.999676405,-9.639054965
12,0.3,7.172687974,-3.999676405,-9.639054965,6.794085629,-3.579374347,0.41699714
16,0.4,6.794085629,-3.579374347,0.41699714,6.466864658,-2.975114409,2.770389665
20,0.5,6.466864658,-2.975114409,2.770389665,6.200867787,-2.355153958,3.539635799
24,0.6,6.200867787,-2.355153958,3.539635799,5.996055137,-1.75116386,3.991774483
28,0.7,5.996055137,-1.75116386,3.991774483,5.850370739,-1.172172358,4.333071038
32,0.8,5.850370739,-1.172172358,4.333071038,5.759703548,-0.649874971,4.31630196
36,0.9,5.759703548,-0.649874971,4.31630196,5.709887343,-0.351422497,2.48636269
40,1,5.709887343,-0.351422497,2.48636269,-1.379305815,-6.412808185,0
0,0,-1.379305815,-6.412808185,0,-1.892816838,-3.899297147,20
4,0.1,-1.892816838,-3.899297147,20,-2.167135662,-1.62497832,20
8,0.2,-2.167135662,-1.62497832,20,-2.256805783,-0.192298139,13.43010059
12,0.3,-2.256805783,-0.192298139,13.43010059,-2.288734398,-0.442111294,-2.817417697
16,0.4,-2.288734398,-0.442111294,-2.817417697,-2.336561639,-0.513248111,-1.189640577
20,0.5,-2.336561639,-0.513248111,-1.189640577,-2.384671765,-0.450008235,0.151297493
24,0.6,-2.384671765,-0.450008235,0.151297493,-2.416537587,-0.191614047,2.26528367
28,0.7,-2.416537587,-0.191614047,2.26528367,-2.416882393,0.178549566,3.69818807
32,0.8,-2.416882393,0.178549566,3.69818807,-2.397729962,0.204073706,0.446765708
36,0.9,-2.397729962,0.204073706,0.446765708,-2.381514673,0.1216063,-0.662521174
40,1,-2.381514673,0.1216063,-0.662521174,6.925011996,-5.210635542,0
0,0,6.925011996,-5.210635542,0,6.43515856,-4.596664325,1.241177814
4,0.1,6.43515856,-4.596664325,1.241177814,6.006514263,-3.986391127,1.816289018
8,0.2,6.006514263,-3.986391127,1.816289018,5.637317901,-3.407187908,2.100068564
12,0.3,5.637317901,-3.407187908,2.100068564,5.324401401,-2.860256095,2.340153128
16,0.4,5.324401401,-2.860256095,2.340153128,5.064739036,-2.341633472,2.589602588
20,0.5,5.064739036,-2.341633472,2.589602588,4.855735272,-1.846689494,2.859402134
24,0.6,4.855735272,-1.846689494,2.859402134,4.695208558,-1.371758977,3.144038035
28,0.7,4.695208558,-1.371758977,3.144038035,4.581100176,-0.917970547,3.396800479
32,0.8,4.581100176,-0.917970547,3.396800479,4.5100973,-0.508903631,3.380640396
36,0.9,4.5100973,-0.508903631,3.380640396,4.471087463,-0.275187726,1.947060682
40,1,4.471087463,-0.275187726,1.947060682,-9.694920328,-13.0152218,0
0,0,-9.694920328,-13.0152218,0,-10.83673408,-9.873408027,20
4,0.1,-10.83673408,-9.873408027,20,-11.67956472,-7.03057737,20
8,0.2,-11.67956472,-7.03057737,20,-12.25186425,-4.458277819,20
12,0.3,-12.25186425,-4.458277819,20,-12.57937712,-2.130764937,20
16,0.4,-12.57937712,-2.130764937,20,-12.71023007,-0.513248156,14.86663833
20,0.5,-12.71023007,-0.513248156,14.86663833,-12.75834019,-0.45000816,0.151298708
24,0.6,-12.75834019,-0.45000816,0.151298708,-12.79020601,-0.191614143,2.26528195
28,0.7,-12.79020601,-0.191614143,2.26528195,-12.79055081,0.178549759,3.698191006
32,0.8,-12.79055081,0.178549759,3.698191006,-12.7427327,0.76799022,6.372585788
36,0.9,-12.7427327,0.76799022,6.372585788,-12.67809808,0.528689797,-1.74665806
40,1,-12.67809808,0.528689797,-1.74665806,-4.609187405,-5.535600027,0
0,0,-4.609187405,-5.535600027,0,-5.039221035,-3.105566381,20
4,0.1,-5.039221035,-3.105566381,20,-5.238006389,-0.906781018,20
8,0.2,-5.238006389,-0.906781018,20,-5.292365048,-0.192298221,6.601241381
12,0.3,-5.292365048,-0.192298221,6.601241381,-5.32429366,-0.442111173,-2.817415644
16,0.4,-5.32429366,-0.442111173,-2.817415644,-5.372120904,-0.513248276,-1.189643459
20,0.5,-5.372120904,-0.513248276,-1.189643459,-5.420231026,-0.450008,0.151301534
24,0.6,-5.420231026,-0.450008,0.151301534,-5.452096852,-0.191614364,2.265278096
28,0.7,-5.452096852,-0.191614364,2.265278096,-5.452441649,0.178550054,3.698196212
32,0.8,-5.452441649,0.178550054,3.698196212,-5.422661524,0.413143201,2.643732717
36,0.9,-5.422661524,0.413143201,2.643732717,-5.389281949,0.257049425,-1.227142005
40,1,-5.389281949,0.257049425,-1.227142005,0.575377786,-5.016383707,0
0,0,0.575377786,-5.016383707,0,0.194754121,-2.635760042,20
4,0.1,0.194754121,-2.635760042,20,0.038842022,-0.517775799,19.62072144
8,0.2,0.038842022,-0.517775799,19.62072144,0.003361509,-0.197176878,2.85118409
12,0.3,0.003361509,-0.197176878,2.85118409,-0.028466736,-0.435418001,-2.700693684
16,0.4,-0.028466736,-0.435418001,-2.700693684,-0.07643169,-0.522431103,-1.349780561
20,0.5,-0.07643169,-0.522431103,-1.349780561,-0.124352881,-0.437409519,0.371003922
24,0.6,-0.124352881,-0.437409519,0.371003922,-0.156477918,-0.20889909,1.963853924
28,0.7,-0.156477918,-0.20889909,1.963853924,-0.167763974,-0.019970312,1.776427225
32,0.8,-0.167763974,-0.019970312,1.776427225,-0.168372363,0.007347318,0.267092406
36,0.9,-0.168372363,0.007347318,0.267092406,-0.16770889,0.005945486,-0.007383598
40,1,-0.16770889,0.005945486,-0.007383598,0.798127339,-17.34660927,0
0,0,0.798127339,-17.34660927,0,-0.755872426,-13.79260948,20
4,0.1,-0.755872426,-13.79260948,20,-1.971664395,-10.5768175,20
8,0.2,-1.971664395,-10.5768175,20,-2.881433295,-7.667048577,20
12,0.3,-2.881433295,-7.667048577,20,-3.514301072,-5.034180784,20
16,0.4,-3.514301072,-5.034180784,20,-3.896618352,-2.651863493,20
20,0.5,-3.896618352,-2.651863493,20,-4.052228169,-0.496253691,19.99999985
24,0.6,-4.052228169,-0.496253691,19.99999985,-4.085958292,-0.183559462,2.789641061
28,0.7,-4.085958292,-0.183559462,2.789641061,-4.086468816,0.167498986,3.505479244
32,0.8,-4.086468816,0.167498986,3.505479244,-4.06213273,0.316735855,1.73572954
36,0.9,-4.06213273,0.316735855,1.73572954,-4.0366347,0.195249181,-0.959886438
40,1,-4.0366347,0.195249181,-0.959886438,-7.56123462,-0.676693219,0
0,0,-7.56123462,-0.676693219,0,-7.555522914,0.766871925,14.4927685
4,0.1,-7.555522914,0.766871925,14.4927685,-7.507233396,0.208227627,-5.103547805
8,0.2,-7.507233396,0.208227627,-5.103547805,-7.5070723,-0.198232489,-4.062990194
12,0.3,-7.5070723,-0.198232489,-4.062990194,-7.538878817,-0.433969555,-2.675435828
16,0.4,-7.538878817,-0.433969555,-2.675435828,-7.586873571,-0.524418296,-1.384434952
20,0.5,-7.586873571,-0.524418296,-1.384434952,-7.634753874,-0.434683103,0.418548897
24,0.6,-7.634753874,-0.434683103,0.418548897,-7.666935004,-0.212639603,1.898623708
28,0.7,-7.666935004,-0.212639603,1.898623708,-7.666847213,0.207395982,4.201233746
32,0.8,-7.666847213,0.207395982,4.201233746,-7.627587161,0.571733773,4.035978429
36,0.9,-7.627587161,0.571733773,4.035978429,-7.581274596,0.35807787,-1.673433376
40,1,-7.581274596,0.35807787,-1.673433376,-6.656848519,-16.29276164,0
0,0,-6.656848519,-16.29276164,0,-8.110561423,-12.83904872,20
4,0.1,-8.110561423,-12.83904872,20,-9.235610087,-9.714000036,20
8,0.2,-9.235610087,-9.714000036,20,-10.06327105,-6.886339055,20
12,0.3,-10.06327105,-6.886339055,20,-10.62184449,-4.327765595,20
16,0.4,-10.62184449,-4.327765595,20,-10.93693748,-2.012672595,20
20,0.5,-10.93693748,-2.012672595,20,-11.05741019,-0.423267325,14.68932559
24,0.6,-11.05741019,-0.423267325,14.68932559,-11.0898262,-0.228301662,1.625496574
28,0.7,-11.0898262,-0.228301662,1.625496574,-11.09030434,0.211411392,4.392349068
32,0.8,-11.09030434,0.211411392,4.392349068,-11.04281193,0.729798596,5.65879621
36,0.9,-11.04281193,0.729798596,5.65879621,-10.9824269,0.482030725,-1.873828437
40,1,-10.9824269,0.482030725,-1.873828437,1.582143045,-4.281861682,0
0,0,1.582143045,-4.281861682,0,1.271418389,-1.971137082,19.99999944
4,0.1,1.271418389,-1.971137082,19.99999944,1.125524303,-0.963535217,8.617077788
8,0.2,1.125524303,-0.963535217,8.617077788,1.043927476,-0.673238784,2.086996059
12,0.3,1.043927476,-0.673238784,2.086996059,0.982859694,-0.550167693,0.620033092
16,0.4,0.982859694,-0.550167693,0.620033092,0.929001465,-0.527376668,-0.310672036
20,0.5,0.929001465,-0.527376668,-0.310672036,0.881182023,-0.43062445,0.489327755
24,0.6,0.881182023,-0.43062445,0.489327755,0.846418805,-0.267360518,1.285007146
28,0.7,0.846418805,-0.267360518,1.285007146,0.824658798,-0.169470855,0.761296557
32,0.8,0.824658798,-0.169470855,0.761296557,0.811624422,-0.092499302,0.639371776
36,0.9,0.811624422,-0.092499302,0.639371776,0.804541822,-0.049863185,0.355535169
40,1,0.804541822,-0.049863185,0.355535169,-9.500540229,-1.384464425,0
0,0,-9.500540229,-1.384464425,0,-9.535541077,0.650536436,20
4,0.1,-9.535541077,0.650536436,20,-9.492971402,0.208227652,-3.997391087
8,0.2,-9.492971402,0.208227652,-3.997391087,-9.492810305,-0.198232518,-4.062990736
12,0.3,-9.492810305,-0.198232518,-4.062990736,-9.524616822,-0.433969523,-2.675435219
16,0.4,-9.524616822,-0.433969523,-2.675435219,-9.572611576,-0.524418335,-1.384435668
20,0.5,-9.572611576,-0.524418335,-1.384435668,-9.620491879,-0.434683054,0.418549784
24,0.6,-9.620491879,-0.434683054,0.418549784,-9.65267301,-0.212639664,1.898622603
28,0.7,-9.65267301,-0.212639664,1.898622603,-9.652585219,0.207396045,4.201234989
32,0.8,-9.652585219,0.207396045,4.201234989,-9.606373007,0.708497893,5.473140601
36,0.9,-9.606373007,0.708497893,5.473140601,-9.548832309,0.446678984,-2.042782106
40,1,-9.548832309,0.446678984,-2.042782106,4.295597597,-10.33492066,0
0,0,4.295597597,-10.33492066,0,3.408848224,-7.448171274,20
4,0.1,3.408848224,-7.448171274,20,2.796809376,-4.83613242,20
8,0.2,2.796809376,-4.83613242,20,2.433338885,-2.472662007,19.99999922
12,0.3,2.433338885,-2.472662007,19.99999922,2.23991284,-1.413508514,8.657274481
16,0.4,2.23991284,-1.413508514,8.657274481,2.118384748,-1.023551518,2.684289041
20,0.5,2.118384748,-1.023551518,2.684289041,2.028375306,-0.780684438,1.52857638
24,0.6,2.028375306,-0.780684438,1.52857638,1.960772099,-0.574810371,1.382708596
28,0.7,1.960772099,-0.574810371,1.382708596,1.913003686,-0.383741828,1.433001309
32,0.8,1.913003686,-0.383741828,1.433001309,1.883329316,-0.212597496,1.414699616
36,0.9,1.883329316,-0.212597496,1.414699616,1.867033493,-0.114946212,0.813554618
40,1,1.867033493,-0.114946212,0.813554618,0.527257109,-11.02491851,0
0,0,0.527257109,-11.02491851,0,-0.425154242,-8.072507147,20
4,0.1,-0.425154242,-8.072507147,20,-1.096606503,-5.40105487,20
8,0.2,-1.096606503,-5.40105487,20,-1.513836469,-2.983824895,20
12,0.3,-1.513836469,-2.983824895,20,-1.70103659,-0.796624795,19.99999978
16,0.4,-1.70103659,-0.796624795,19.99999978,-1.766294121,-0.51324799,2.18119274
20,0.5,-1.766294121,-0.51324799,2.18119274,-1.81440425,-0.450008398,0.151294637
24,0.6,-1.81440425,-0.450008398,0.151294637,-1.846270075,-0.191613964,2.26528608
28,0.7,-1.846270075,-0.191613964,2.26528608,-1.84661489,0.178549312,3.698184617
32,0.8,-1.84661489,0.178549312,3.698184617,-1.829459014,0.164797369,0.034039331
36,0.9,-1.829459014,0.164797369,0.034039331,-1.816468252,0.096161614,-0.556449933
40,1,-1.816468252,0.096161614,-0.556449933,3.436330517,-6.349945156,0
0,0,3.436330517,-6.349945156,0,2.928801701,-3.842416354,19.99999985
4,0.1,2.928801701,-3.842416354,19.99999985,2.632426991,-2.113881952,14.32159692
8,0.2,2.632426991,-2.113881952,14.32159692,2.449332169,-1.557289478,3.734976526
12,0.3,2.449332169,-1.557289478,3.734976526,2.308894751,-1.256471676,1.603803839
16,0.4,2.308894751,-1.256471676,1.603803839,2.19535017,-1.018387348,1.245397472
20,0.5,2.19535017,-1.018387348,1.245397472,2.10455695,-0.801097941,1.264961864
24,0.6,2.10455695,-0.801097941,1.264961864,2.034940004,-0.5946807,1.368002954
28,0.7,2.034940004,-0.5946807,1.368002954,1.985475669,-0.397885362,1.473310037
32,0.8,1.985475669,-0.397885362,1.473310037,1.954700716,-0.220568488,1.465419207
36,0.9,1.954700716,-0.220568488,1.465419207,1.937793172,-0.119270429,0.843905138
40,1,1.937793172,-0.119270429,0.843905138,-3.448901393,-3.277615857,0
0,0,-3.448901393,-3.277615857,0,-3.664059419,-1.062457823,20
4,0.1,-3.664059419,-1.062457823,20,-3.705712203,0.208227597,12.29032637
8,0.2,-3.705712203,0.208227597,12.29032637,-3.705551105,-0.198232448,-4.062989475
12,0.3,-3.705551105,-0.198232448,-4.062989475,-3.737357624,-0.433969622,-2.675436923
16,0.4,-3.737357624,-0.433969622,-2.675436923,-3.785352376,-0.524418206,-1.384433369
20,0.5,-3.785352376,-0.524418206,-1.384433369,-3.833232682,-0.434683236,0.41854664
24,0.6,-3.833232682,-0.434683236,0.41854664,-3.865413809,-0.212639423,1.898626865
28,0.7,-3.865413809,-0.212639423,1.898626865,-3.865326023,0.207395715,4.201229237
32,0.8,-3.865326023,0.207395715,4.201229237,-3.839375325,0.309909963,1.284649457
36,0.9,-3.839375325,0.309909963,1.284649457,-3.814558096,0.188458467,-0.96634267
40,1,-3.814558096,0.188458467,-0.96634267,-9.280317957,-17.45128531,0
0,0,-9.280317957,-17.45128531,0,-10.84427896,-13.88732429,20
4,0.1,-10.84427896,-13.88732429,20,-12.06908424,-10.66251899,20
8,0.2,-12.06908424,-10.66251899,20,-12.98700871,-7.744594497,20
12,0.3,-12.98700871,-7.744594497,20,-13.62725596,-5.104347232,20
16,0.4,-13.62725596,-5.104347232,20,-14.01625046,-2.715352716,20
20,0.5,-14.01625046,-2.715352716,20,-14.17790208,-0.553701091,20
24,0.6,-14.17790208,-0.553701091,20,-14.2144567,-0.18355946,3.33587003
28,0.7,-14.2144567,-0.18355946,3.33587003,-14.21496723,0.167499004,3.50547941
32,0.8,-14.21496723,0.167499004,3.50547941,-14.16754842,0.770823377,6.507431791
36,0.9,-14.16754842,0.770823377,6.507431791,-14.10133746,0.556959685,-1.476527295
40,1,-14.10133746,0.556959685,-1.476527295,8.769000112,-2.24542839,0
0,0,8.769000112,-2.24542839,0,8.458570988,-3.934999259,-19.99999992
4,0.1,8.458570988,-3.934999259,-19.99999992,8.017073261,-4.879220879,-13.85719347
8,0.2,8.017073261,-4.879220879,-13.85719347,7.549923867,-4.470576611,-0.585051272
12,0.3,7.549923867,-4.470576611,-0.585051272,7.136234883,-3.814141818,2.427458096
16,0.4,7.136234883,-3.814141818,2.427458096,6.789348154,-3.134911383,3.323437062
20,0.5,6.789348154,-3.134911383,3.323437062,6.509415357,-2.474745487,3.802330987
24,0.6,6.509415357,-2.474745487,3.802330987,6.29426983,-1.838762995,4.208369658
28,0.7,6.29426983,-1.838762995,4.208369658,6.141309885,-1.230570757,4.552322927
32,0.8,6.141309885,-1.230570757,4.552322927,6.046127451,-0.682215653,4.531726699
36,0.9,6.046127451,-0.682215653,4.531726699,5.993832368,-0.36890694,2.610136304
40,1,5.993832368,-0.36890694,2.610136304,1.684803039,-12.28342616,0
0,0,1.684803039,-12.28342616,0,0.612628852,-9.211251953,20
4,0.1,0.612628852,-9.211251953,20,-0.167189305,-6.43143378,20
8,0.2,-0.167189305,-6.43143378,20,-0.682472788,-3.916150285,20
12,0.3,-0.682472788,-3.916150285,20,-0.9583954,-1.64022768,19.99999993
16,0.4,-0.9583954,-1.64022768,19.99999993,-1.065130195,-0.513248092,10.20244793
20,0.5,-1.065130195,-0.513248092,10.20244793,-1.113240322,-0.450008269,0.151296956
24,0.6,-1.113240322,-0.450008269,0.151296956,-1.145106144,-0.191614022,2.265284256
28,0.7,-1.145106144,-0.191614022,2.265284256,-1.148458162,0.119391111,3.076531144
32,0.8,-1.148458162,0.119391111,3.076531144,-1.137288714,0.104250152,-0.039715109
36,0.9,-1.137288714,0.104250152,-0.039715109,-1.129090251,0.060449015,-0.356026737
40,1,-1.129090251,0.060449015,-0.356026737,0.29981722,-1.110197257,0
0,0,0.29981722,-1.110197257,0,0.229754718,-0.304479173,7.356555828
4,0.1,0.229754718,-0.304479173,7.356555828,0.207564902,-0.142024285,1.402650717
8,0.2,0.207564902,-0.142024285,1.402650717,0.190500235,-0.198330761,-0.733711426
12,0.3,0.190500235,-0.198330761,-0.733711426,0.158695731,-0.433834918,-2.673086618
16,0.4,0.158695731,-0.433834918,-2.673086618,0.110698205,-0.52460305,-1.387656587
20,0.5,0.110698205,-0.52460305,-1.387656587,0.0628217,-0.434429681,0.422968649
24,0.6,0.0628217,-0.434429681,0.422968649,0.030635353,-0.212987344,1.892559906
28,0.7,0.030635353,-0.212987344,1.892559906,0.017799252,-0.046508867,1.536423748
32,0.8,0.017799252,-0.046508867,1.536423748,0.014952179,-0.011023897,0.326378985
36,0.9,0.014952179,-0.011023897,0.326378985,0.014187495,-0.004380506,0.058787059
40,1,0.014187495,-0.004380506,0.058787059,7.117886649,-12.57159019,0
0,0,7.117886649,-12.57159019,0,6.018290029,-9.471993551,20
4,0.1,6.018290029,-9.471993551,20,5.213659028,-6.667362542,20
8,0.2,5.213659028,-6.667362542,20,4.675923952,-4.129627501,19.99999965
12,0.3,4.675923952,-4.129627501,19.99999965,4.340453438,-2.605185919,11.88971067
16,0.4,4.340453438,-2.605185919,11.88971067,4.112786238,-1.958927249,4.185914713
20,0.5,4.112786238,-1.958927249,4.185914713,3.939695089,-1.51037044,2.754656589
24,0.6,3.939695089,-1.51037044,2.754656589,3.808740646,-1.115301803,2.641141941
28,0.7,3.808740646,-1.115301803,2.641141941,3.716026027,-0.745158604,2.774285797
32,0.8,3.716026027,-0.745158604,2.774285797,3.65839907,-0.412916969,2.74614679
36,0.9,3.65839907,-0.412916969,2.74614679,3.626748056,-0.223263667,1.580022884
40,1,3.626748056,-0.223263667,1.580022884,5.310756836,-10.86912296,0
0,0,5.310756836,-10.86912296,0,4.373171393,-7.9315375,20
4,0.1,4.373171393,-7.9315375,20,3.715134167,-5.27350026,20
8,0.2,3.715134167,-5.27350026,20,3.310042626,-2.868408741,19.99999978
12,0.3,3.310042626,-2.868408741,19.99999978,3.075764622,-1.834382251,7.997484854
16,0.4,3.075764622,-1.834382251,7.997484854,2.915118833,-1.386005224,2.877312387
20,0.5,2.915118833,-1.386005224,2.877312387,2.792577907,-1.070077877,1.933864203
24,0.6,2.792577907,-1.070077877,1.933864203,2.699783977,-0.790460242,1.868237052
28,0.7,2.699783977,-0.790460242,1.868237052,2.634070709,-0.528175798,1.965711757
32,0.8,2.634070709,-0.528175798,1.965711757,2.59322375,-0.292687522,1.946413174
36,0.9,2.59322375,-0.292687522,1.946413174,2.570788551,-0.158256601,1.119957225
40,1,2.570788551,-0.158256601,1.119957225,-0.430164864,-1.736440602,0
0,0,-0.430164864,-1.736440602,0,-0.51480276,0.014505121,16.66307827
4,0.1,-0.51480276,0.014505121,16.66307827,-0.503724597,0.203902053,2.004750951
8,0.2,-0.503724597,0.203902053,2.004750951,-0.503474513,-0.192298143,-3.959501118
12,0.3,-0.503474513,-0.192298143,-3.959501118,-0.535403128,-0.442111304,-2.817417765
16,0.4,-0.535403128,-0.442111304,-2.817417765,-0.58323037,-0.51324812,-1.189640574
20,0.5,-0.58323037,-0.51324812,-1.189640574,-0.631340497,-0.450008237,0.151297554
24,0.6,-0.631340497,-0.450008237,0.151297554,-0.66320632,-0.191614071,2.265283439
28,0.7,-0.66320632,-0.191614071,2.265283439,-0.669926421,0.053133605,2.380275743
32,0.8,-0.669926421,0.053133605,2.380275743,-0.664399558,0.057333661,0.09726919
36,0.9,-0.664399558,0.057333661,0.09726919,-0.659852906,0.0339884,-0.187986092
40,1,-0.659852906,0.0339884,-0.187986092,-2.46415843,-1.908472349,0
0,0,-2.46415843,-1.908472349,0,-2.549025227,0.176394432,19.99999985
4,0.1,-2.549025227,0.176394432,19.99999985,-2.529937061,0.20489396,0.475876934
8,0.2,-2.529937061,0.20489396,0.475876934,-2.529707376,-0.193658811,-3.983230853
12,0.3,-2.529707376,-0.193658811,-3.983230853,-2.561607996,-0.440244506,-2.784863148
16,0.4,-2.561607996,-0.440244506,-2.784863148,-2.609473645,-0.515809276,-1.234304196
20,0.5,-2.609473645,-0.515809276,-1.234304196,-2.657531076,-0.446494407,0.212574382
24,0.6,-2.657531076,-0.446494407,0.212574382,-2.689469193,-0.196434894,2.181213955
28,0.7,-2.689469193,-0.196434894,2.181213955,-2.689714811,0.185163621,3.813528978
32,0.8,-2.689714811,0.185163621,3.813528978,-2.669211158,0.224257985,0.595980172
36,0.9,-2.669211158,0.224257985,0.595980172,-2.651358731,0.134289769,-0.721157888
40,1,-2.651358731,0.134289769,-0.721157888,6.041087326,-16.41728025,0
0,0,6.041087326,-16.41728025,0,4.57552491,-12.95171781,20
4,0.1,4.57552491,-12.95171781,20,3.439754364,-9.81594725,20
8,0.2,3.439754364,-9.81594725,20,2.602391841,-6.978584712,20
12,0.3,2.602391841,-6.978584712,20,2.035040062,-4.411232926,20
16,0.4,2.035040062,-4.411232926,20,1.712004106,-2.088197007,19.99999963
20,0.5,1.712004106,-2.088197007,19.99999963,1.565229249,-0.867639363,10.73782788
24,0.6,1.565229249,-0.867639363,10.73782788,1.497421739,-0.494725056,3.051067965
28,0.7,1.497421739,-0.494725056,3.051067965,1.457637756,-0.30413065,1.508104229
32,0.8,1.457637756,-0.30413065,1.508104229,1.434324428,-0.164463313,1.163540083
36,0.9,1.434324428,-0.164463313,1.163540083,1.421740086,-0.08848953,0.633894422
40,1,1.421740086,-0.08848953,0.633894422,2.277594198,-12.66241893,0
0,0,2.277594198,-12.66241893,0,1.16935408,-9.554178795,20
4,0.1,1.16935408,-9.554178795,20,0.356902119,-6.741726818,20
8,0.2,0.356902119,-6.741726818,20,-0.18790965,-4.196915036,20
12,0.3,-0.18790965,-4.196915036,20,-0.490550561,-1.894274132,19.99999994
16,0.4,-0.490550561,-1.894274132,19.99999994,-0.609776017,-0.513248247,12.61800429
20,0.5,-0.609776017,-0.513248247,12.61800429,-0.657886142,-0.450008073,0.151300495
24,0.6,-0.657886142,-0.450008073,0.151300495,-0.689751967,-0.19161428,2.265279675
28,0.7,-0.689751967,-0.19161428,2.265279675,-0.696286548,0.056783388,2.418630874
32,0.8,-0.696286548,0.056783388,2.418630874,-0.690448863,0.059918068,0.08972364
36,0.9,-0.690448863,0.059918068,0.08972364,-0.68570105,0.035445991,-0.197242637
40,1,-0.68570105,0.035445991,-0.197242637,9.145847564,-4.874992113,0
0,0,9.145847564,-4.874992113,0,8.614711167,-5.73343089,-13.89575173
4,0.1,8.614711167,-5.73343089,-13.89575173,8.065197222,-5.264659565,-0.807426207
8,0.2,8.065197222,-5.264659565,-0.807426207,7.574571633,-4.55960124,2.144327358
12,0.3,7.574571633,-4.55960124,2.144327358,7.155197141,-3.839881911,3.003448376
16,0.4,7.155197141,-3.839881911,3.003448376,6.806476316,-3.146095777,3.450653081
20,0.5,6.806476316,-3.146095777,3.450653081,6.525644994,-2.481603684,3.83660771
24,0.6,6.525644994,-2.481603684,3.83660771,6.309922479,-1.84348023,4.224009391
28,0.7,6.309922479,-1.84348023,4.224009391,6.156573583,-1.233659664,4.564716711
32,0.8,6.156573583,-1.233659664,4.564716711,6.06115276,-0.683917652,4.543211884
36,0.9,6.06115276,-0.683917652,4.543211884,6.008727268,-0.369826173,2.61665987
40,1,6.008727268,-0.369826173,2.61665987,-3.056918151,-10.08860173,0
0,0,-3.056918151,-10.08860173,0,-3.920227178,-7.225292684,20
