,Unnamed: 0,Unnamed: 0.1,t,xi1,xi2,ui,xf1,xf2,uf
72,79,8,0.2,0.707535897,-0.483047019,1.514194646,0.663177668,-0.40541127,0.332775204
73,80,12,0.3,0.663177668,-0.40541127,0.332775204,0.621294433,-0.431813467,-0.682854323
74,81,16,0.4,0.621294433,-0.431813467,-0.682854323,0.57325531,-0.527376536,-1.436021916
75,82,20,0.5,0.57325531,-0.527376536,-1.436021916,0.525435869,-0.430624557,0.489325372
76,83,24,0.6,0.525435869,-0.430624557,0.489325372,0.493171221,-0.218208084,1.801518253
77,84,28,0.7,0.493171221,-0.218208084,1.801518253,0.47679298,-0.111140888,0.90688955
78,85,32,0.8,0.47679298,-0.111140888,0.90688955,0.468469054,-0.056252302,0.465646598
79,86,36,0.9,0.468469054,-0.056252302,0.465646598,0.464186241,-0.029844018,0.221254708
81,89,4,0.1,0.572574304,-6.499679888,20.0,0.050796345,-3.977901918,20.0
82,90,8,0.2,0.050796345,-3.977901918,20.0,-0.231002712,-1.696102873,19.99999988
83,91,12,0.3,-0.231002712,-1.696102873,19.99999988,-0.336868603,-0.442111335,11.48125646
84,92,16,0.4,-0.336868603,-0.442111335,11.48125646,-0.384695846,-0.513248102,-1.189640099
85,93,20,0.5,-0.384695846,-0.513248102,-1.189640099,-0.432805973,-0.45000826,0.151297158
86,94,24,0.6,-0.432805973,-0.45000826,0.151297158,-0.464671796,-0.191614063,2.265283734
87,95,28,0.7,-0.464671796,-0.191614063,2.265283734,-0.472779491,0.025836607,2.093429753
88,96,32,0.8,-0.472779491,0.025836607,2.093429753,-0.469577279,0.038004858,0.153704627
89,97,36,0.9,-0.469577279,0.038004858,0.153704627,-0.466535112,0.023087074,-0.118756165
91,100,4,0.1,-4.906634739,-4.421252809,20.0,-5.230624211,-2.097263326,20.0
92,101,8,0.2,-5.230624211,-2.097263326,20.0,-5.343658512,-0.1951198,17.89109225
93,102,12,0.3,-5.343658512,-0.1951198,17.89109225,-5.375529071,-0.438240061,-2.749908204
94,103,16,0.4,-5.375529071,-0.438240061,-2.749908204,-5.423435961,-0.518559309,-1.282261373
95,104,20,0.5,-5.423435961,-0.518559309,-1.282261373,-5.471436811,-0.442721441,0.278370183
96,105,24,0.6,-5.471436811,-0.442721441,0.278370183,-5.503452555,-0.201611278,2.090944186
97,106,28,0.7,-5.503452555,-0.201611278,2.090944186,-5.503591669,0.192265485,3.937376486
98,107,32,0.8,-5.503591669,0.192265485,3.937376486,-5.472811244,0.419555482,2.58070422
99,108,36,0.9,-5.472811244,0.419555482,2.58070422,-5.438946623,0.260389269,-1.253015917
101,111,4,0.1,-7.190062253,-11.6203618,20.0,-8.199137523,-8.611286507,20.0
102,112,8,0.2,-8.199137523,-8.611286507,20.0,-8.92186142,-5.888562593,20.0
103,113,12,0.3,-8.92186142,-5.888562593,20.0,-9.385483879,-3.424940118,20.0
104,114,16,0.4,-9.385483879,-3.424940118,20.0,-9.614661662,-1.195762324,20.0
105,115,20,0.5,-9.614661662,-1.195762324,20.0,-9.694969497,-0.423267155,6.921873337
106,116,24,0.6,-9.694969497,-0.423267155,6.921873337,-9.727385506,-0.228301896,1.625492507
107,117,28,0.7,-9.727385506,-0.228301896,1.625492507,-9.727863661,0.211411451,4.392351911
108,118,32,0.8,-9.727863661,0.211411451,4.392351911,-9.681147488,0.714528136,5.498328586
109,119,36,0.9,-9.681147488,0.714528136,5.498328586,-9.623123829,0.450347312,-2.061571655
111,122,4,0.1,-10.03214411,-6.198090353,20.0,-10.52522203,-3.705012416,20.0
112,123,8,0.2,-10.52522203,-3.705012416,20.0,-10.78105222,-1.449182216,20.0
113,124,12,0.3,-10.78105222,-1.449182216,20.0,-10.87436393,-0.433969505,9.21900994
114,125,16,0.4,-10.87436393,-0.433969505,9.21900994,-10.92235869,-0.524418359,-1.384436081
115,126,20,0.5,-10.92235869,-0.524418359,-1.384436081,-10.97023899,-0.434683026,0.418550306
116,127,24,0.6,-10.97023899,-0.434683026,0.418550306,-11.00242012,-0.212639701,1.898621934
117,128,28,0.7,-11.00242012,-0.212639701,1.898621934,-11.00233233,0.207396057,4.201235472
118,129,32,0.8,-11.00233233,0.207396057,4.201235472,-10.9547573,0.735307482,5.754864555
119,130,36,0.9,-10.9547573,0.735307482,5.754864555,-10.89408291,0.482394955,-1.922381311
121,133,4,0.1,1.408839059,-1.034025003,1.364579168,1.313463972,-0.876108232,0.625416853
122,134,8,0.2,1.313463972,-0.876108232,0.625416853,1.232520511,-0.744946659,0.502181113
123,135,12,0.3,1.232520511,-0.744946659,0.502181113,1.164012454,-0.62717698,0.492616221
124,136,16,0.4,1.164012454,-0.62717698,0.492616221,1.106367851,-0.527378126,0.421542503
125,137,20,0.5,1.106367851,-0.527378126,0.421542503,1.058548356,-0.430624068,0.489345633
126,138,24,0.6,1.058548356,-0.430624068,0.489345633,1.021899585,-0.30445384,0.895214568
127,139,28,0.7,1.021899585,-0.30445384,0.895214568,0.996714898,-0.200964423,0.783047308
128,140,32,0.8,0.996714898,-0.200964423,0.783047308,0.981192443,-0.110984099,0.744578692
129,141,36,0.9,0.981192443,-0.110984099,0.744578692,0.972687315,-0.059968583,0.425103874
131,144,4,0.1,-9.831453344,-9.812797098,20.0,-10.66851609,-6.975734333,20.0
132,145,8,0.2,-10.66851609,-6.975734333,20.0,-11.23559662,-4.408653787,20.0
133,146,12,0.3,-11.23559662,-4.408653787,20.0,-11.55838713,-2.085863257,20.0
134,147,16,0.4,-11.55838713,-2.085863257,20.0,-11.68703242,-0.513248238,14.43969738
135,148,20,0.5,-11.68703242,-0.513248238,14.43969738,-11.73514254,-0.450008048,0.151300666
136,149,24,0.6,-11.73514254,-0.450008048,0.151300666,-11.76700836,-0.191614297,2.265279257
137,150,28,0.7,-11.76700836,-0.191614297,2.265279257,-11.76735316,0.17854997,3.698194702
138,151,32,0.8,-11.76735316,0.17854997,3.698194702,-11.71953504,0.767990119,6.372582709
139,152,36,0.9,-11.71953504,0.767990119,6.372582709,-11.65589399,0.509144153,-1.952049206
141,155,4,0.1,-0.148567441,-1.649239212,19.99999989,-0.239557295,-0.194794574,13.63454784
142,156,8,0.2,-0.239557295,-0.194794574,13.63454784,-0.258909856,-0.192298251,-0.168562378
143,157,12,0.3,-0.258909856,-0.192298251,-0.168562378,-0.29083847,-0.442111174,-2.817415373
144,158,16,0.4,-0.29083847,-0.442111174,-2.817415373,-0.338665715,-0.513248295,-1.189643659
145,159,20,0.5,-0.338665715,-0.513248295,-1.189643659,-0.386775838,-0.450008005,0.151301665
146,160,24,0.6,-0.386775838,-0.450008005,0.151301665,-0.418641666,-0.191614386,2.265277918
147,161,28,0.7,-0.418641666,-0.191614386,2.265277918,-0.427071092,0.019507745,2.026927052
148,162,32,0.8,-0.427071092,0.019507745,2.026927052,-0.424407853,0.033523472,0.16678965
149,163,36,0.9,-0.424407853,0.033523472,0.16678965,-0.421714501,0.020559603,-0.102705166
151,166,4,0.1,-9.966425222,-10.49035688,20.0,-10.86796631,-7.588815777,20.0
152,167,8,0.2,-10.86796631,-7.588815777,20.0,-11.49338925,-4.963392818,20.0
153,168,12,0.3,-11.49338925,-4.963392818,20.0,-11.86897016,-2.587811889,20.0
154,169,16,0.4,-11.86897016,-2.587811889,20.0,-12.02240186,-0.515357245,19.19022945
155,170,20,0.5,-12.02240186,-0.515357245,19.19022945,-12.07046859,-0.44711456,0.20175954
156,171,24,0.6,-12.07046859,-0.44711456,0.20175954,-12.10239395,-0.195584063,2.196051394
157,172,28,0.7,-12.10239395,-0.195584063,2.196051394,-12.10265707,0.183996357,3.793172997
158,173,32,0.8,-12.10265707,0.183996357,3.793172997,-12.05464214,0.766593826,6.306123947
159,174,36,0.9,-12.05464214,0.766593826,6.306123947,-11.99077071,0.515026871,-1.876955238
161,177,4,0.1,2.941619294,-9.825789885,20.0,2.103320121,-6.987490696,20.0
162,178,8,0.2,2.103320121,-6.987490696,20.0,1.535120826,-4.419291392,20.0
163,179,12,0.3,1.535120826,-4.419291392,20.0,1.211318006,-2.095488598,19.99999975
164,180,16,0.4,1.211318006,-2.095488598,19.99999975,1.067775772,-0.796994047,11.54952317
165,181,20,0.5,1.067775772,-0.796994047,11.54952317,1.005904815,-0.446269536,2.88853553
166,182,24,0.6,1.005904815,-0.446269536,2.88853553,0.968893035,-0.296462427,1.127953294
167,183,28,0.7,0.968893035,-0.296462427,1.127953294,0.944552405,-0.192089422,0.800323761
168,184,32,0.8,0.944552405,-0.192089422,0.800323761,0.929743972,-0.105521806,0.717591825
169,185,36,0.9,0.929743972,-0.105521806,0.717591825,0.921660505,-0.056956806,0.404815332
171,188,4,0.1,-3.779954593,0.769721757,6.365230854,-3.73172371,0.204317749,-5.171731245
172,189,8,0.2,-3.73172371,0.204317749,-5.171731245,-3.731482169,-0.192868272,-3.969444803
173,190,12,0.3,-3.731482169,-0.192868272,-3.969444803,-3.763399053,-0.441329086,-2.803776979
174,191,16,0.4,-3.763399053,-0.441329086,-2.803776979,-3.811242388,-0.51432127,-1.208355185
175,192,20,0.5,-3.811242388,-0.51432127,-1.208355185,-3.859330434,-0.448535892,0.176973323
176,193,24,0.6,-3.859330434,-0.448535892,0.176973323,-3.891226548,-0.193634046,2.230057319
177,194,28,0.7,-3.891226548,-0.193634046,2.230057319,-3.891529791,0.181320979,3.74651782
178,195,32,0.8,-3.891529791,0.181320979,3.74651782,-3.867048596,0.30622159,1.493818056
179,196,36,0.9,-3.867048596,0.30622159,1.493818056,-3.842455485,0.187617039,-0.940114405
181,199,4,0.1,5.004986804,-2.777303079,-19.99999956,4.717771146,-2.963900636,-4.738132154
182,200,8,0.2,4.717771146,-2.963900636,-4.738132154,4.4374923,-2.646957794,0.366639954
183,201,12,0.3,4.4374923,-2.646957794,0.366639954,4.193217575,-2.245231018,1.574520522
184,202,16,0.4,4.193217575,-2.245231018,1.574520522,3.989151252,-1.8428015,1.983631938
185,203,20,0.5,3.989151252,-1.8428015,1.983631938,3.824623834,-1.454222096,2.240519869
186,204,24,0.6,3.824623834,-1.454222096,2.240519869,3.698203968,-1.080404484,2.473977459
187,205,28,0.7,3.698203968,-1.080404484,2.473977459,3.608329984,-0.723030435,2.675000646
188,206,32,0.8,3.608329984,-0.723030435,2.675000646,3.552405019,-0.400837841,2.662676292
