,Unnamed: 0,t,x1,x2,u,ctg
69,3,0.3,-0.151172024,-1.317034481,20,3.335317032
70,4,0.4,-0.288895247,-1.435456613,20,2.959573751
71,5,0.5,-0.435308557,-1.491869518,20,2.545174136
72,6,0.6,-0.582957587,-1.461615241,20,2.103657316
73,7,0.7,-0.723639333,-1.353816031,20,1.65604145
74,8,0.8,-0.851209667,-1.200151302,20,1.220394277
75,9,0.9,-0.963407773,-1.046373369,20,0.803902173
76,10,1,-1.062718824,-0.941593683,20,0.401596996
78,1,0.1,-0.191910915,-2.558089085,20,4.579757784
79,2,0.2,-0.338596916,-0.411403084,-20,3.721692827
80,3,0.3,-0.413583138,-1.077226151,20,3.49330279
81,4,0.4,-0.53511057,-1.348797059,20,3.160156071
82,5,0.5,-0.674903973,-1.44546023,20,2.749596388
83,6,0.6,-0.81855202,-1.427795079,20,2.295111323
84,7,0.7,-0.95616803,-1.326217789,20,1.824248703
85,8,0.8,-1.081266986,-1.178227422,-20,1.35693761
86,9,0.9,-1.191602277,-1.030932899,-20,0.901201795
87,10,1,-1.289600603,-0.930703824,-20,0.452927932
89,1,0.1,-0.134101789,-1.670856707,-8.049584968,8.458915621
90,2,0.2,-0.324634819,-2.132117489,-6.517938112,8.145543169
91,3,0.3,-0.531615366,-2.009536128,-0.843991855,7.659170136
92,4,0.4,-0.693572752,-1.242395148,6.05183593,7.22672894
93,5,0.5,-0.86185422,-2.108796596,-10.34682915,7.005957694
94,6,0.6,-1.075047579,-2.154312106,-2.587088691,6.43344768
95,7,0.7,-1.287836066,-2.102323966,-1.608003473,5.850422371
96,8,0.8,-1.566950858,-3.457391178,-16.34182003,5.241300754
97,9,0.9,-1.944479024,-4.082751223,-10.02888213,3.666884339
98,10,1,-2.308005547,-3.202448492,5.16776209,1.571609477
100,1,0.1,-0.022029594,0.533848248,15.11818654,3.78682045
101,2,0.2,-0.061713286,-1.297012831,-18.70544772,3.643992742
102,3,0.3,-0.225576632,-1.96905525,-8.359057643,3.300440774
103,4,0.4,-0.463770159,-2.781280462,-10.50418739,2.872697512
104,5,0.5,-0.723928821,-2.427783406,0.933383943,2.022468159
105,6,0.6,-0.936037976,-1.82445352,3.912207305,1.380212036
106,7,0.7,-1.053865998,-0.553289459,11.53336039,0.952079579
107,8,0.8,-1.131317284,-0.988484209,-5.126460355,0.743894101
108,9,0.9,-1.212281773,-0.636668211,2.708515078,0.505055821
109,10,1,-1.202809934,0.802129044,14.48269095,0.313890443
111,1,0.1,0.001585757,0.801539243,-11.5,3.291636307
112,2,0.2,0.022231993,-0.369106993,20,3.16126454
113,3,0.3,-0.052614055,-1.115378189,20,2.947591116
114,4,0.4,-0.178848444,-1.404491827,20,2.622907442
115,5,0.5,-0.32406455,-1.49826762,20,2.222449036
116,6,0.6,-0.472670953,-1.474260493,20,1.787466667
117,7,0.7,-0.614598799,-1.366098825,20,1.347780484
118,8,0.8,-0.743288867,-1.210298781,20,0.923384715
119,9,0.9,-0.856352288,-1.053581147,-8.5,0.521654567
120,10,1,-0.956276425,-0.946682945,-15.5,0.30119232
122,1,0.1,-0.100453696,-1.008925186,-1.093788822,12.89407304
123,2,0.2,-0.235015043,-1.671264607,-7.969007678,12.79067275
124,3,0.3,-0.468235516,-2.971478242,-15.33434109,12.47408446
125,4,0.4,-0.773583766,-3.132798538,-4.666685461,11.45162071
126,5,0.5,-1.144086595,-4.25849948,-14.9620377,10.39944588
127,6,0.6,-1.581490313,-4.485787374,-6.646916118,8.343139401
128,7,0.7,-1.969768288,-3.299539625,7.979697736,6.058708657
129,8,0.8,-2.306087631,-3.424760564,-4.615402812,4.550175984
130,9,0.9,-2.636984724,-3.196977065,-1.031135949,2.834822505
131,10,1,-2.85482561,-1.193230859,17.85905321,1.116855805
133,1,0.1,-0.063520867,-0.282375747,6.541033861,3.724950656
134,2,0.2,-0.179713646,-2.012646801,-18.46463834,3.695180998
135,3,0.3,-0.37120012,-1.820288113,0.008722143,3.116405149
136,4,0.4,-0.533584891,-1.433846925,2.24056417,2.771281276
137,5,0.5,-0.727243215,-2.422839097,-11.82650496,2.534708228
138,6,0.6,-0.885332283,-0.766542594,14.98207435,1.82487192
139,7,0.7,-1.035331009,-2.209388513,-15.92844645,1.575500564
140,8,0.8,-1.221037176,-1.516284637,5.073977089,0.853312071
141,9,0.9,-1.307748956,-0.239231618,11.9034124,0.461434361
142,10,1,-1.296319226,0.456237001,7.068983489,0.213844838
144,1,0.1,-0.17400968,-2.4559321,-16.2994178,11.20162498
145,2,0.2,-0.316707189,-0.431748847,18.81485745,10.46260128
146,3,0.3,-0.358144337,-0.397563779,-0.072520814,10.2569308
147,4,0.4,-0.433833325,-1.104436722,-7.825619307,10.22829574
