,0,1,x1,x2,u,ctg
135,12,0.3,1.232520511,-0.744946659,0.502181113,10.74134711
136,16,0.4,1.164012454,-0.62717698,0.492616221,8.666033846
137,20,0.5,1.106367851,-0.527378126,0.421542503,6.916544535
138,24,0.6,1.058548356,-0.430624068,0.489345633,5.413478536
139,28,0.7,1.021899585,-0.30445384,0.895214568,4.10631953
140,32,0.8,0.996714898,-0.200964423,0.783047308,2.965341583
141,36,0.9,0.981192443,-0.110984099,0.744578692,1.928448479
142,40,1,0.972687315,-0.059968583,0.425103874,0.950620411
144,4,0.1,-9.831453344,-9.812797098,20,1474.231659
145,8,0.2,-10.66851609,-6.975734333,20,1279.283198
146,12,0.3,-11.23559662,-4.408653787,20,1114.805093
147,16,0.4,-11.55838713,-2.085863257,20,967.1302329
148,20,0.5,-11.68703242,-0.513248238,14.43969738,827.1830943
149,24,0.6,-11.73514254,-0.450008048,0.151300666,689.2904195
150,28,0.7,-11.76700836,-0.191614297,2.265279257,551.3742274
151,32,0.8,-11.76735316,0.17854997,3.698194702,412.8493681
152,36,0.9,-11.71953504,0.767990119,6.372582709,274.2785044
153,40,1,-11.65589399,0.509144153,-1.952049206,136.138145
155,4,0.1,-0.148567441,-1.649239212,19.99999989,7.72885482
156,8,0.2,-0.239557295,-0.194794574,13.63454784,2.986792579
157,12,0.3,-0.258909856,-0.192298251,-0.168562378,1.961955481
158,16,0.4,-0.29083847,-0.442111174,-2.817415373,1.857800484
159,20,0.5,-0.338665715,-0.513248295,-1.189643659,1.538062031
160,24,0.6,-0.386775838,-0.450008005,0.151301665,1.152867492
161,28,0.7,-0.418641666,-0.191614386,2.265277918,0.800650277
162,32,0.8,-0.427071092,0.019507745,2.026927052,0.563015939
163,36,0.9,-0.424407853,0.033523472,0.16678965,0.359703503
164,40,1,-0.421714501,0.020559603,-0.102705166,0.17831856
166,4,0.1,-9.966425222,-10.49035688,20,1573.196673
167,8,0.2,-10.86796631,-7.588815777,20,1361.819454
168,12,0.3,-11.49338925,-4.963392818,20,1184.116637
169,16,0.4,-11.86897016,-2.587811889,20,1025.383373
170,20,0.5,-12.02240186,-0.515357245,19.19022945,875.8141496
171,24,0.6,-12.07046859,-0.44711456,0.20175954,729.1690854
172,28,0.7,-12.10239395,-0.195584063,2.196051394,583.2727584
173,32,0.8,-12.10265707,0.183996357,3.793172997,436.7424528
174,36,0.9,-12.05464214,0.766593826,6.306123947,290.1623491
175,40,1,-11.99077071,0.515026871,-1.876955238,144.0614498
177,4,0.1,2.941619294,-9.825789885,20,201.5853102
178,8,0.2,2.103320121,-6.987490696,20,94.38603926
179,12,0.3,1.535120826,-4.419291392,20,39.1370575
180,16,0.4,1.211318006,-2.095488598,19.99999975,15.25032514
181,20,0.5,1.067775772,-0.796994047,11.54952317,7.391961417
182,24,0.6,1.005904815,-0.446269536,2.88853553,4.949659379
183,28,0.7,0.968893035,-0.296462427,1.127953294,3.696940196
184,32,0.8,0.944552405,-0.192089422,0.800323761,2.663935119
185,36,0.9,0.929743972,-0.105521806,0.717591825,1.731654936
186,40,1,0.921660505,-0.056956806,0.404815332,0.853521542
188,4,0.1,-3.779954593,0.769721757,6.365230854,147.8288528
189,8,0.2,-3.73172371,0.204317749,-5.171731245,132.7457437
190,12,0.3,-3.731482169,-0.192868272,-3.969444803,118.6445021
191,16,0.4,-3.763399053,-0.441329086,-2.803776979,104.6045623
192,20,0.5,-3.811242388,-0.51432127,-1.208355185,90.20731266
193,24,0.6,-3.859330434,-0.448535892,0.176973323,75.40991714
194,28,0.7,-3.891226548,-0.193634046,2.230057319,60.3141447
195,32,0.8,-3.891529791,0.181320979,3.74651782,45.11014074
196,36,0.9,-3.867048596,0.30622159,1.493818056,29.86307735
197,40,1,-3.842455485,0.187617039,-0.940114405,14.80408338
199,4,0.1,5.004986804,-2.777303079,-19.99999956,205.0789321
200,8,0.2,4.717771146,-2.963900636,-4.738132154,170.3156269
201,12,0.3,4.4374923,-2.646957794,0.366639954,139.1613059
202,16,0.4,4.193217575,-2.245231018,1.574520522,112.4629103
203,20,0.5,3.989151252,-1.8428015,1.983631938,89.82637873
204,24,0.6,3.824623834,-1.454222096,2.240519869,70.49745967
205,28,0.7,3.698203968,-1.080404484,2.473977459,53.72985065
206,32,0.8,3.608329984,-0.723030435,2.675000646,38.85526139
207,36,0.9,3.552405019,-0.400837841,2.662676292,25.27666497
208,40,1,3.521678903,-0.216752076,1.533596488,12.46096335
210,4,0.1,-1.989631313,-13.94813732,20,642.0214273
211,8,0.2,-3.220223713,-10.71754491,20,441.5122597
212,12,0.3,-4.143384597,-7.794384004,20,314.2766502
213,16,0.4,-4.788369942,-5.149398643,20,234.3565922
214,20,0.5,-5.181651651,-2.756116921,20,182.9117992
215,24,0.6,-5.347182493,-0.590586083,19.99999996,146.4661048
216,28,0.7,-5.385550638,-0.183559464,3.68658474,115.5249523
217,32,0.8,-5.386061161,0.167498999,3.505479398,86.41914804
218,36,0.9,-5.357175129,0.406243243,2.676302772,57.31999536
219,40,1,-5.324328678,0.253235465,-1.201613284,28.41982345
221,4,0.1,2.434487579,-1.884986205,5.877050736,49.03241713
222,8,0.2,2.26387723,-1.533084808,1.812910489,39.37981574
223,12,0.3,2.122949687,-1.289524722,1.026325428,31.88789337
224,16,0.4,2.004735181,-1.078285451,0.930247656,25.71283727
225,20,0.5,1.906888803,-0.881914417,0.985246559,20.52684781
226,24,0.6,1.828181687,-0.695337003,1.078702978,16.10799631
227,28,0.7,1.767739962,-0.516477995,1.184172829,12.27643648
228,32,0.8,1.724777561,-0.345617221,1.278983738,8.877771059
229,36,0.9,1.698044923,-0.191602036,1.272825459,5.775283163
230,40,1,1.683357738,-0.103607983,0.73306869,2.847114838
232,4,0.1,-2.971433607,-4.181482257,20,143.5405268
233,8,0.2,-3.272605894,-1.880309962,20,115.2263153
234,12,0.3,-3.374829858,-0.192298167,15.8578783,98.98080041
235,16,0.4,-3.406758472,-0.442111251,-2.817416974,86.29698374
236,20,0.5,-3.454585714,-0.513248168,-1.189641587,74.4558289
237,24,0.6,-3.502695838,-0.450008152,0.151298908,62.25116653
238,28,0.7,-3.534561661,-0.191614156,2.265281732,49.7796666
239,32,0.8,-3.534906463,0.178549754,3.698191085,37.22416697
240,36,0.9,-3.511839756,0.281075907,1.255928602,24.62834017
241,40,1,-3.489302704,0.171491237,-0.870476184,12.20843125
