  ,u1
0 ,323.0000015
1 ,211.06068240761996
2 ,360.2566591715095
3 ,290.70334240650357
4 ,409.9483055522057
5 ,309.39859752272264
6 ,340.1817642115279
7 ,338.10951407768044
8 ,338.4346555915925
9 ,338.9149839611646
10,339.3791516052042
