  ,u0
0 ,310.77831297494185
1 ,185.64875085838827
2 ,220.06885935591205
3 ,186.06281698783786
4 ,356.0099386883661
5 ,201.7673708283715
6 ,253.3125081834776
7 ,248.7774645588664
8 ,248.45050795175084
9 ,248.43170302314624
10,248.4050794897791
