,t,x1,x2,u,ctg
0,0,0,-1,-20,3.882882784
1,0.1,-0.191910915,-2.558089085,20,3.582882784
2,0.2,-0.338596916,-0.411403084,20,2.724817827
3,0.3,-0.413583138,-1.077226151,20,2.49642779
4,0.4,-0.53511057,-1.348797059,15.5,2.163281071
5,0.5,-0.674903973,-1.44546023,15.5,1.832596388
6,0.6,-0.81855202,-1.427795079,13,1.457986323
7,0.7,-0.95616803,-1.326217789,9.5,1.102623703
8,0.8,-1.081266986,-1.178227422,5.5,0.79018761
9,0.9,-1.191602277,-1.030932899,4.5,0.519326795
10,1,-1.289600603,-0.930703824,4,0.260927932
