1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.109207171650280361e+04,7.281840082100607106e+02,-3.772926835160453629e+04,8.954744623711216263e+04,-3.996987454863892344e+04
6.429531643229171753e+09,1.594285454689706564e+08,-4.059710068511416435e+09,9.564282885751937866e+09,-4.197915907997546196e+09
6.750596007183557500e+14,1.683532470836964453e+13,-4.263470858680803750e+14,1.004351725128149625e+15,-4.407440140128349375e+14
7.087506376817905664e+19,1.767667122545037568e+18,-4.476265280438045082e+19,1.054479060007713669e+20,-4.627406527072790938e+19
7.441229170974609400e+24,1.855889048852225851e+23,-4.699666569835172057e+24,1.107105952671146648e+25,-4.858350808523965249e+24
7.812605513229316316e+29,1.948512644352152586e+28,-4.934217200206848345e+29,1.162359318973927396e+30,-5.100821038910647620e+29
8.202516479566078456e+34,2.045758876507565977e+33,-5.180473765131410396e+34,1.220370266096233964e+35,-5.355392456475486766e+34
8.611887094976444036e+39,2.147858466598060375e+38,-5.439020485352462114e+39,1.281276419482839959e+40,-5.622669006438259499e+39
9.041688550261975639e+44,2.255053635846169222e+43,-5.710470737097630891e+44,1.345222272887955129e+45,-5.903284775654010099e+44
9.492940506341026642e+49,2.367598694059814748e+48,-5.995468508910157761e+49,1.412359531446171103e+50,-6.197905496938240022e+49
9.966713513297683466e+54,2.485760643121026975e+53,-6.294689929468198894e+54,1.482847471581283303e+55,-6.507230128453228511e+54
1.046413155015593198e+60,2.609819810423340672e+58,-6.608844871633425887e+59,1.556853318873880508e+60,-6.831992511917089851e+59
1.098637469140395886e+65,2.740070513919748684e+63,-6.938678636551197174e+64,1.634552644786789000e+65,-7.172963113567582201e+64
1.153468190660323670e+70,2.876821760362563407e+68,-7.284973721803193687e+69,1.716129783190861846e+70,-7.530950852016433713e+69
1.211035399972729837e+75,3.020397978392881571e+73,-7.648551677809371486e+74,1.801778267679755462e+75,-7.906805017332680482e+74
1.271475669517621811e+80,3.171139788212019674e+78,-8.030275056866039669e+79,1.891701290707112714e+80,-8.301417285890022740e+79
1.334932387782701214e+85,3.329404809670151639e+83,-8.431049459468615487e+84,1.986112185641208518e+85,-8.715723835783688928e+84
1.401556099478614653e+90,3.495568510684928568e+88,-8.851825682760806387e+89,2.085234932877633006e+90,-9.150707567821942296e+89
1.471504862691222445e+95,3.670025098001193639e+93,-9.293601976205679515e+94,2.189304691210372230e+95,-9.607400437359955889e+94
1.544944623857287406e+100,3.853188452404057480e+98,-9.757426409824444273e+99,2.298568355720581243e+100,-1.008688590250211880e+100
1.622049611456805195e+105,4.045493110612107764e+103,-1.024439936064408030e+105,2.413285143511967323e+105,-1.059030149450460805e+105
1.703002749353086937e+110,4.247395296173332344e+108,-1.075567612323457436e+110,2.533727208678095092e+110,-1.111884151645735823e+110
1.787996090760699114e+115,4.459374001808314487e+113,-1.129246965052572774e+115,2.660180287959814997e+115,-1.167375987664461002e+115
1.877231273871937394e+120,4.681932125771367846e+118,-1.185605343141310985e+120,2.792944378626259961e+120,-1.225637306331316865e+120
1.970920000224158710e+125,4.915597664927966263e+123,-1.244776451198865177e+125,2.932334450189673598e+125,-1.286806326791488292e+125
2.069284536940108940e+130,5.160924967374408018e+128,-1.306900666754633873e+130,3.078681191638501652e+130,-1.351028166421510819e+130
2.172558244033725815e+135,5.418496047570538966e+133,-1.372125373289411123e+135,3.232331795962862469e+135,-1.418455185105254216e+135
2.280986128035176803e+140,5.688921967115694489e+138,-1.440605309889059197e+140,3.393650783837795085e+140,-1.489247346693654898e+140
2.394825423243665920e+145,5.972844284429536715e+143,-1.512502938347081880e+145,3.563020868411089727e+145,-1.563572598502509533e+145
2.514346201988797011e+150,6.270936576781914710e+148,-1.587988828588171689e+150,3.740843863250041688e+150,-1.641607269749840377e+150
2.639832015352126910e+155,6.583906038292410406e+153,-1.667242063329533234e+155,3.927541635606866859e+155,-1.723536489880613311e+155
2.771580565860464029e+160,6.912495157669546145e+158,-1.750450662934646884e+160,4.123557107251688088e+160,-1.809554627765689778e+160
2.909904413759330289e+165,7.257483479700987369e+163,-1.837812031475297667e+165,4.329355305266073662e+165,-1.899865752825134029e+165
3.055131718527248126e+170,7.619689454636396363e+168,-1.929533425050695555e+170,4.545424465267862723e+170,-1.994684119160134786e+170
3.207607017404750410e+175,7.999972379887756008e+173,-2.025832443484035403e+175,4.772277189706509076e+175,-2.094234673851688032e+175
3.367692042772471676e+180,8.399234438620779216e+178,-2.126937546555011828e+180,5.010451663958061966e+180,-2.198753590623719676e+180
3.535766580324180896e+185,8.818422840092666977e+183,-2.233088595997258264e+185,5.260512933114860009e+185,-2.308488830141048767e+185
3.712229370071838656e+190,9.258532066814970145e+188,-2.344537424547254659e+190,5.523054242500724063e+190,-2.423700728272244018e+190
3.897499052316102842e+195,9.720606233863007945e+193,-2.461548433392122153e+195,5.798698445085688991e+195,-2.544662613710239337e+195
4.092015160828024406e+200,1.020574156593297808e+199,-2.584399219434654295e+200,6.088099479141598364e+200,-2.671661456416961300e+200
4.296239165599155218e+205,1.071508899802596523e+204,-2.713381233864319035e+205,6.391943919645511768e+205,-2.804998548430995469e+205
4.510655567633256510e+210,1.124985690592747764e+209,-2.848800473596262946e+210,6.710952607110658071e+210,-2.944990218653006033e+210
4.735773048375709498e+215,1.181131397295522075e+214,-2.990978207217895464e+215,7.045882357707295209e+215,-3.091968583303932555e+215
4.972125676509922812e+220,1.240079219978546778e+219,-3.140251737166839166e+220,7.397527758734230807e+220,-3.246282333837851330e+220
