,t,x1,x2,u,ctg
4,0.4,-0.463770159,-2.781280462,-10.50418739,28.72697512
5,0.5,-0.723928821,-2.427783406,0.933383943,20.22468159
6,0.6,-0.936037976,-1.82445352,3.912207305,13.80212036
7,0.7,-1.053865998,-0.553289459,11.53336039,9.520795789
8,0.8,-1.131317284,-0.988484209,-5.126460355,7.438941012
9,0.9,-1.212281773,-0.636668211,2.708515078,5.050558206
10,1,-1.202809934,0.802129044,14.48269095,3.138904427
0,0,0,-1,0,55.24541642
1,0.1,-0.130521429,-1.6004232,-7.309446292,54.24541642
2,0.2,-0.252549375,-0.852597394,6.257978606,51.39988613
3,0.3,-0.391852133,-1.915741656,-12.0244702,50.41337115
4,0.4,-0.608324341,-2.40554055,-7.062711021,45.86681754
5,0.5,-0.877144251,-2.961591673,-8.248710331,39.46072427
6,0.6,-1.086044565,-1.245019389,15.0767197,29.58011088
7,0.7,-1.208134093,-1.197561986,-0.746321248,25.71400742
8,0.8,-1.390596057,-2.431121396,-14.16021374,22.81747975
9,0.9,-1.617006538,-2.102563281,1.02147634,13.97081285
10,1,-1.81720478,-1.904698754,-0.023337155,6.930113281
0,0,0,-1,0,129.9407304
1,0.1,-0.100453696,-1.008925186,-1.093788822,128.9407304
2,0.2,-0.235015043,-1.671264607,-7.969007678,127.9067275
3,0.3,-0.468235516,-2.971478242,-15.33434109,124.7408446
4,0.4,-0.773583766,-3.132798538,-4.666685461,114.5162071
5,0.5,-1.144086595,-4.25849948,-14.9620377,103.9944588
6,0.6,-1.581490313,-4.485787374,-6.646916118,83.43139401
7,0.7,-1.969768288,-3.299539625,7.979697736,60.58708657
8,0.8,-2.306087631,-3.424760564,-4.615402812,45.50175984
9,0.9,-2.636984724,-3.196977065,-1.031135949,28.34822505
10,1,-2.85482561,-1.193230859,17.85905321,11.16855805
0,0,0,-1,0,38.24950656
1,0.1,-0.063520867,-0.282375747,6.541033861,37.24950656
2,0.2,-0.179713646,-2.012646801,-18.46463834,36.95180998
3,0.3,-0.37120012,-1.820288113,0.008722143,31.16405149
4,0.4,-0.533584891,-1.433846925,2.24056417,27.71281276
5,0.5,-0.727243215,-2.422839097,-11.82650496,25.34708228
6,0.6,-0.885332283,-0.766542594,14.98207435,18.2487192
7,0.7,-1.035331009,-2.209388513,-15.92844645,15.75500564
8,0.8,-1.221037176,-1.516284637,5.073977089,8.533120711
9,0.9,-1.307748956,-0.239231618,11.9034124,4.614343607
10,1,-1.296319226,0.456237001,7.068983489,2.138448375
0,0,0,-1,0,113.0162498
1,0.1,-0.17400968,-2.4559321,-16.2994178,112.0162498
2,0.2,-0.316707189,-0.431748847,18.81485745,104.6260128
3,0.3,-0.358144337,-0.397563779,-0.072520814,102.569308
4,0.4,-0.433833325,-1.104436722,-7.825619307,102.2829574
5,0.5,-0.603874798,-2.276855683,-13.42460434,100.568764
6,0.6,-0.87163647,-3.065240204,-10.56146192,94.11892737
7,0.7,-1.247154094,-4.422495127,-17.32772547,83.40575734
8,0.8,-1.708878354,-4.805605965,-8.448350987,60.79065051
9,0.9,-2.078312546,-2.619506783,18.1666499,34.41966341
10,1,-2.401658901,-3.82729388,-15.31133452,21.58832874
0,0,0,-1,0,124.09621
1,0.1,-0.083780008,-0.680917324,2.353026676,123.09621
2,0.2,-0.206431301,-1.754223082,-11.9595705,122.5978588
3,0.3,-0.395905194,-2.03064845,-4.658992607,118.7627897
4,0.4,-0.661961429,-3.269826721,-15.05234507,114.3739846
5,0.5,-1.047063879,-4.413169751,-15.2844548,102.1111594
6,0.6,-1.443041569,-3.521246945,4.959451166,80.37067658
7,0.7,-1.80779766,-3.769734102,-6.132432477,65.76614678
8,0.8,-2.121172648,-2.518614198,9.377449151,48.09908556
9,0.9,-2.393605039,-2.923290147,-6.771083394,36.81661191
