,t,x1,x2,u,ctg
0,0,0,-1,20,3.190458918
1,0.1,0.001585751,0.748414249,-20,2.890458918
2,0.2,-0.023941578,-1.226058422,20,2.634446277
3,0.3,-0.151172024,-1.317034481,20,2.284067032
4,0.4,-0.288895247,-1.435456613,16.5,1.908323751
5,0.5,-0.435308557,-1.491869518,14,1.557799136
6,0.6,-0.582957587,-1.461615241,12,1.218282316
7,0.7,-0.723639333,-1.353816031,9,0.89866645
8,0.8,-0.851209667,-1.200151302,-0.5,0.622519277
9,0.9,-0.963407773,-1.046373369,0,0.405902173
10,1,-1.062718824,-0.941593683,-2,0.203596996
