,Unnamed: 0,Unnamed: 0.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
1539,1539.0,9.0,0.9,236.79366,244.23832,251.24872,257.66508,263.38795,268.38556,272.69237,276.39892,279.63408,282.54155,285.2537,287.86681,290.42238,292.89956,295.2221,297.28057,298.9663,300.20918,301.00875,301.44824,229.3789847819216,185.1919341992106,3840.41749,365.6493500000006,365.6493500000006,-44.61444
1540,1540.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,353.644874873028,221.867562956548,0.0,450.17087,3011.01175,-40.0
1541,1541.0,1.0,0.1,339.89836,326.77802,314.82368,304.42183,295.77107,288.88316,283.61296,279.70434,276.8381,274.67112,272.86188,271.08337,269.02879,266.41686,263.0029,258.5979,253.09397,246.48954,238.90562,230.58466,307.40602928231306,269.22227762559766,450.17087,467.30525000000006,2560.84088,-24.116840000000025
1542,1542.0,2.0,0.2,305.45661,303.35551,300.98356,298.27742,295.2378,291.92206,288.42553,284.85908,281.33022,277.93294,274.74745,271.84731,269.30896,267.21759,265.66452,264.73416,264.48242,264.91228,265.95467,267.46254,347.42848982572593,276.5948144522819,917.47612,403.75558,2093.5356300000003,-21.07794000000001
1543,1543.0,3.0,0.3,337.95747,328.77691,320.13896,312.22842,305.14906,298.92679,293.52654,288.87644,284.89278,281.50005,278.6435,276.29339,274.44224,273.09699,272.26821,271.95832,272.15065,272.80107,273.83373,275.14199,336.54713469210094,334.377817340641,1321.2317,301.81629,1689.78005,-14.073210000000016
1544,1544.0,4.0,0.4,330.87016,325.22806,319.6617,314.2223,308.97309,303.9886,299.35285,295.15805,291.50549,288.50878,286.29861,285.0262,284.86194,285.98536,288.56421,292.72303,298.50571,305.8402,314.51594,324.18303,193.53202877088452,303.8043224576817,1623.04799,189.32484,1387.96376,-9.01139999999998
1545,1545.0,5.0,0.5,212.80699,231.0348,247.32181,261.04648,271.9189,279.97513,285.51727,289.02148,291.03858,292.10739,292.69217,293.14711,293.70514,294.48547,295.51413,296.75222,298.12725,299.56257,301.00024,302.41311,200.34304084539784,367.9522425475474,1812.37283,244.0683700000002,1198.63892,-33.02487000000002
1546,1546.0,6.0,0.6,212.09298,223.56445,234.49867,244.67487,253.92609,262.15131,269.32298,275.49003,280.77653,285.37676,289.54712,293.59441,297.8593,302.69282,308.4247,315.32414,323.5575,333.15079,343.9674,355.71015,241.769015492782,364.2860065003998,2056.4412,251.6348599999997,954.57055,-50.848689999999976
1547,1547.0,7.0,0.7,244.36376,247.15464,250.30332,253.91187,258.01345,262.57953,267.54005,272.80976,278.31306,284.00184,289.86337,295.91834,302.21128,308.79669,315.72429,323.02617,330.7078,338.74357,347.07707,355.62532,305.7655091008484,218.7471244834377,2308.07606,205.1583800000003,702.9356900000002,-50.42047000000002
1548,1548.0,8.0,0.8,298.57784,291.9455,286.35047,282.1435,279.51211,278.47661,278.90821,280.55837,283.08778,286.08711,289.08756,291.56591,292.95359,292.66102,290.12549,284.88375,276.66013,265.45101,251.58037,235.70354,216.20990198461857,361.08078497481233,2513.23444,263.3637799999997,497.77731,-34.523390000000006
