,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,-1.0,-19.767086277720985,0.0,0.5868874196,5.1959953671,0.7886020915
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1.0,0.1,-0.1907842401,-2.7859243877,-4.536942921726435,0.5868874196,0.8463469041,4.6091079475,0.7886020915
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,2.0,0.2,-0.4778472386,-2.9525556813,5.6287688757348455,1.4332343237,0.7031910149,3.7627610434,0.7886020915
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,3.0,0.3,-0.7315913484,-2.1359346839,-3.873110420876252,2.1364253386,0.5717339251999998,3.0595700285,0.7886020915
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,4.0,0.4,-0.9535875271,-2.3012495473,0.358322846557396,2.7081592638,0.5862851028000002,2.4878361033000003,0.7886020915
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,5.0,0.5,-1.1708469974,-2.0481577924,5.968466574464216,3.2944443666,0.4573947511999998,1.9015510005,0.7886020915
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,6.0,0.6,-1.3368834146,-1.2852747177,18.6162095407617,3.7518391178,0.4009520757999998,1.4441562493000002,0.7886020915
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,7.0,0.7,-1.3691392698,0.6086020915,-15.642555779792133,4.1527911936,0.3317973214000007,1.0432041735000004,0.7886020915
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,8.0,0.8,-1.3868924826,-0.9379002736,15.59322876165946,4.484588515,0.3420476188999997,0.7114068520999997,0.7886020915
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,9.0,0.9,-1.400714517,0.6352446369,10.499336666719524,4.8266361339,0.3693592331999999,0.3693592331999999,0.7886020915
30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,-1.0,-18.543961245089207,0.0,0.5378294156,4.6032700823,-2.5
31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,1.0,0.1,-0.184867473,-2.6695286515,19.6184623465726,0.5378294156,0.4913396945,4.0654406667,-3.4495286515
32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,2.0,0.2,-0.3440039916,-0.5485458982,-3.69032903093386,1.0291691101,0.0708512221999999,3.5741009722,-0.7685458982
33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,3.0,0.3,-0.4140560744,-0.8475267185,-14.950126145452789,1.1000203323,0.3839446397999999,3.50324975,-0.6675267185000001
34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,4.0,0.4,-0.567028852,-2.1895665555,8.038836059099047,1.4839649721,0.3712198491,3.1193051102,-1.7695665555
35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,5.0,0.5,-0.7365065773,-1.2162052243,-4.787366105061924,1.8551848212,0.2700030468999999,2.7480852611,-0.7162052243000001
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,6.0,0.6,-0.8754023281,-1.556046084,-9.244749191929271,2.1251878681,0.5124713033000003,2.4780822142,-1.1360460840000002
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,7.0,0.7,-1.0682004586,-2.2877228727,-2.857991807004048,2.6376591714,0.6807020991999999,1.9656109109,-2.1077228727
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,8.0,0.8,-1.299730847,-2.341991665,-0.6707195517878581,3.3183612706,0.7121105613999998,1.2849088116999998,-2.5619916650000003
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,9.0,0.9,-1.5258453932,-2.182949074,14.024243099207716,4.030471832,0.5727982503,0.5727982503,-2.9629490740000004
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,-1.0,-4.098938726759469,0.0,0.1417675095,10.8311758725,-2.5
41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,1.0,0.1,-0.1149908672,-1.2949030055,-9.267725078743778,0.1417675095,0.334127773,10.689408363,-2.0749030055000004
42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,2.0,0.2,-0.2830489898,-2.0536173907,-14.042703576287444,0.4758952825,0.8200200688999999,10.35528059,-2.2736173907
43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,3.0,0.3,-0.5464069466,-3.1945297915,-8.468455986710953,1.2959153514,1.2800387795,9.5352605211,-3.0145297915
44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,4.0,0.4,-0.8913722935,-3.6964100434,-11.45585411287704,2.5759541309,1.848035527,8.2552217416,-3.2764100434
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,5.0,0.5,-1.2985481521,-4.434819596,16.67707261441494,4.4239896579,1.5597207168000002,6.407186214599999,-3.934819596
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,6.0,0.6,-1.6399032599,-2.4257572268,-13.42988853475658,5.9837103747,1.2915757285999998,4.847465497799999,-2.0057572268
