,Unnamed: 0,Unnamed: 0.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
2172,2172.0,2.0,0.2,266.6932,268.5254,270.1658,271.6299,272.9596,274.2226,275.5067,276.9093,278.5251,280.4322,282.6794,285.277,288.1933,291.3598,294.6876,298.0938,301.5353,305.0432,308.7493,312.8967,178.09086343846727,221.9688966402525,650.6487,349.6431,2848.6348,-38.7774
2173,2173.0,3.0,0.3,196.4086,213.0849,227.7754,240.2938,250.6267,258.9123,265.3943,270.3616,274.0911,276.7983,278.6047,279.5215,279.451,278.2051,275.54,271.2052,265.0003,256.8328,246.7612,235.0133,398.0690619842154,229.1128147054284,1000.2918,518.1618000000001,2498.9917,-54.087699999999984
2174,2174.0,4.0,0.4,368.6941,343.7921,323.132,306.5911,293.9608,284.86,278.7347,274.9172,272.7067,271.4444,270.5651,269.6203,268.2794,266.3152,263.5839,260.0047,255.5427,250.1954,243.9826,236.9399,310.8769975272977,226.90553664704447,1518.4536,490.2545,1980.8299,-28.139999999999983
2175,2175.0,5.0,0.5,306.3772,302.5013,298.951,295.5194,292.0963,288.6555,285.2272,281.8644,278.612,275.4842,272.4553,269.4594,266.4,263.1625,259.6271,255.68,251.2212,246.1689,240.4604,234.0501,323.4179065492061,423.7416464710744,2008.7081,423.8398,1490.5754,-24.344499999999982
2176,2176.0,6.0,0.6,315.2413,308.2317,302.198,296.9851,292.4655,288.539,285.1388,282.2451,279.9023,278.2401,277.4918,278.0067,280.2476,284.7674,292.1626,303.0098,317.804,336.9262,360.6753,389.3978,275.0263228427545,353.74795897889885,2432.5479,189.35239999999976,1066.7356,-24.461000000000013
2177,2177.0,7.0,0.7,277.1641,279.1481,280.8213,282.0955,282.9663,283.5114,283.8767,284.2523,284.8472,285.8634,287.4753,289.8158,292.9697,296.9785,301.8542,307.6055,314.27,321.9509,330.8498,341.2923,233.63173181016413,294.1482866235185,2621.9003,197.76540000000023,877.3832000000002,-29.48860000000002
2178,2178.0,8.0,0.8,242.7259,250.9736,258.2455,264.4815,269.7004,273.9941,277.508,280.4148,282.8859,285.067,287.0596,288.9108,290.6134,292.1149,293.3369,294.2023,294.6663,294.7468,294.5458,294.2557,302.94314830185067,222.0788967103713,2819.6657,301.4758999999999,679.6178,-39.0059
2179,2179.0,9.0,0.9,296.5436,291.0441,286.5759,283.2095,280.9315,279.6408,279.1639,279.2772,279.7302,280.2616,280.6065,280.4967,279.6584,277.8148,274.6969,270.0674,263.7523,255.6766,245.8925,234.5895,263.3206765954772,326.9468231977479,3121.1416,378.1419000000001,378.1419000000001,-33.35919999999999
2180,2180.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,394.13461567694753,184.6698907333138,0.0,466.4955,3649.5294,-40.0
2181,2181.0,1.0,0.1,368.4823,346.8598,328.8102,314.0352,302.2581,293.1522,286.3218,281.3151,277.6516,274.847,272.4279,269.9355,266.9232,262.9567,257.6248,250.5639,241.4962,230.2722,216.9061,201.5891,416.1582578155024,312.3059954313695,466.4955,490.6671,3183.0339,-19.847800000000007
