,mpc_x_0,mpc_x_1,u_0,ctg
0,-99.0,31.0,-47.695309586311446,11608.406913339086
1,-27.764992875110163,1.3371779795804242,-71.76119431611818,846.4069133390863
2,-7.978011016652798,1.957480423808036,-1.4058186228956566,73.72403903509341
3,-2.2324834761327574,0.867648386590838,-1.9421064457185873,6.243649643668315
4,-0.6120835023024154,0.3045228082183157,-0.8654040816086364,0.506853449708831
5,-0.16543071121513558,0.09577860964160716,-0.30695918079585055,0.03947309519287094
6,-0.044194745038510244,0.027838420028200115,-0.09852638657681367,0.0029322329148459936
7,-0.011721060544027653,0.00733473444843279,-0.030104815236822482,0.00020407979616057483
8,-0.003114216190222595,0.0015076539904996186,-0.009110549827844244,1.2898206454786343e-05
9,-0.0008574987054595407,-2.289637059763564e-05,-0.0028977316897131405,9.268434202723853e-07
10,-0.0002918047628764271,-0.0003253692164045102,-0.001008999086321701,1.9101514662105284e-07
