,mpc_x_0,mpc_x_1,mpc_x_2,mpc_x_3,u_0,u_1,u_2,u_3,ctg
13,5.638707683683441,-29.591052776109382,-8.701340860489429e-12,-44.78747211025895,7.922329510991687,8.72146701113664,-43.419390816014364,1.6871696339969783e-11,4215.186276056857
14,3.427913676519462,-20.184585483148073,-1.8654865786865677e-11,-28.17936134908422,7.634036961890197,11.73218638975362,-63.458253635936096,1.7566783856667903e-11,4145.146066102748
15,3.5007151390629327,-16.120039013644117,-1.4411766317555057e-11,-24.43284934839786,1.843825074305764,16.002968826319446,-65.23850099282576,-1.4674156183117023e-10,4077.8378973545637
16,2.3513011562509294,-15.810481724071328,-2.7680858489513214e-12,-24.82021670342605,0.2351133384519141,13.250372231866535,-47.36201314151923,2.3617855052064028e-11,4014.268448157205
17,1.2998627698263179,-18.51723096713897,1.4569160039066358e-12,-30.67676977588568,0.4088541404521561,13.560499970822129,-43.732173231357876,-4.198707616397454e-11,3962.353699009399
18,0.3657049297961019,-21.70696032645258,8.606086511315e-12,-37.11118595774035,1.3721092981764262e-10,17.079098048358276,-52.275441743192744,3.291387867887143e-11,3908.2560035816355
19,3.742861757863065e-05,-27.212249723007545,6.491093746196903e-12,-48.34431572948234,6.605007682860194e-11,16.125620745425554,-42.80490115824922,-6.791409706664393e-12,3843.986808078776
20,0.12913523883841974,-26.56101816560004,1.8717672721689243e-11,-48.441283749089926,7.846523684365124e-11,15.256682293296214,-42.64785645114265,-4.1372342277961046e-11,3776.7432456863453
21,1.0363905748763344e-11,-26.21647956085371,4.053049799308727e-11,-48.382757921891866,4.315053921714542e-11,15.330121801651332,-43.7906465947071,-6.486120389611117e-11,3710.2252577372924
22,0.8553930058041733,-15.50821870535061,2.9078776919749577e-11,-29.42743134639719,9.512519210211489e-11,11.212733910559244,-43.63499148045337,6.549986767291254e-11,3643.365254797661
23,0.6211689950610123,-17.288356700582998,2.8470811105297988e-11,-32.93312759667484,1.092939608712576e-10,12.759655739060317,-41.879943712680195,1.4448038246990913e-11,3593.0458705732835
24,0.8260620186617151,-15.243071515043331,2.201662211612801e-11,-29.540197124176288,1.1159105068451618e-10,11.996220585238687,-43.1409307543459,4.5520197000527824e-11,3540.304744201178
25,3.511601796621265e-05,-16.427757903639023,2.8057815094087866e-11,-30.68493214742557,-2.077038990652376e-11,12.868085513512023,-42.83034658174492,-1.4664483016136358e-10,3489.9315032023555
26,0.762567756629695,-13.066454028747815,3.051862243247792e-11,-25.523697977303918,5.6710814962332227e-11,12.119178879872171,-45.438662506640306,-1.331307387907979e-10,3438.525924571088
27,0.7089309239415542,-15.018920596310984,2.5194469248238802e-11,-29.642186623209607,9.645567758843746e-11,12.860585564023372,-46.721070403955544,-8.432585425213869e-11,3390.070643996381
28,0.08369171652999893,-17.40703841683069,6.664272900433456e-12,-33.271923328534875,1.5072994274609322e-10,13.935911773216489,-47.08444306969213,-1.7479028623366652e-11,3337.5947969405574
29,-0.162819573168642,-22.969646190375016,1.699904233965545e-11,-43.96081566478213,1.6829955099809714e-11,14.496514493130439,-42.68852367857092,6.168963240819321e-11,3281.7032927880678
30,0.2943640572209508,-23.227055414544274,3.581263168568484e-11,-45.39596016494463,1.2824242526333066e-11,15.031052623916352,-49.53153454443436,-1.72795564020772e-10,3219.5641329880063
31,0.778439418489967,-16.19426378823718,3.649576997874695e-12,-32.293077282392815,3.0927524977252226e-11,13.311875034327686,-51.93579130341864,-1.2097000164671295e-10,3152.8241495853654
32,-0.011941414441248138,-18.857711084725857,-3.268049658178815e-12,-36.12890746082926,1.0428185530150382e-10,15.124910525576015,-51.400103428191315,4.6138262233861925e-11,3095.5674261718545
33,-0.30084430544804974,-27.274442936000238,-1.0523520577188352e-11,-52.48917150155995,-4.859158423037845e-12,14.837983567400274,-38.28778105416696,1.801981180109703e-11,3034.805639214896
34,0.12348438174761048,-26.37327370022143,-1.958241844381994e-11,-51.485221046295955,2.5800153204205013e-11,13.554203165067495,-38.406041329208676,3.701366515378307e-11,2968.2105275325916
35,-0.14154867845680857,-28.566306283807318,-1.1004601763898579e-11,-55.4490352054751,6.448869204893866e-12,14.255740191796527,-37.62275265871676,-1.5067155939635068e-10,2903.23941572128
36,-0.10678412739193244,-31.73358623012755,-1.5303628018026626e-11,-61.93814658979453,4.8488845256543124e-11,16.5247793799794,-46.21108996041221,6.5175748350646155e-12,2835.2217242120696
37,0.40508938155400276,-29.26895215035091,-7.954296099318165e-12,-58.11020845895129,-1.1311037982129337e-12,15.833060578011454,-49.637575749570125,9.664796576441165e-12,2756.9645310681817
38,0.7763044148718843,-17.243535780208525,3.319114083660983e-12,-34.86074975384688,1.5175813608615583e-11,12.482031528594696,-51.4535634659941,-1.7930390536577445e-10,2680.3370879089534
39,-0.29763046286372313,-20.38120056255923,0.409602810544708,-39.16631042288703,3.739364464864394e-11,13.251250876987601,-41.53788622341989,-2.6353609560917623e-11,2621.9289954370965
40,0.13116237216252377,-22.101577923898446,2.795325860258656,-43.489028888143864,8.473883956182143e-11,8.209518509704562,-17.834461511221736,-3.5976382291906435e-11,2564.407054757434
41,-0.6677012443697818,-26.729561052795606,3.0778138293638224,-51.22528888433476,4.88487679396427e-11,6.157919513177415,-3.3403793718285995e-11,-6.411387558864587e-11,2517.1265172246785
42,0.5801339045034885,-17.17788465443381,2.07435101748773,-34.94017609455695,1.8466880723436323,0.7023943651807413,-3.866207004617178e-11,-1.0780690318214592e-10,2473.1973749625845
43,0.8684839158330929,-12.143016797501291,1.4902142543232575,-26.246269005037533,0.7459496062491662,0.03862022801439851,5.6430474310728764e-11,-1.7746105565931578e-10,2444.5365609082583
44,-0.006964875135075282,-15.702345614757723,2.181293949103629e-11,-32.203378547652775,1.1898326993920047e-10,4.214270663504311,-5.824767253390952,5.85183306862874e-11,2423.770284004662
45,-0.022734736538325476,-12.500350145490904,8.508045305571298e-12,-25.406081118586116,1.0740355266013948e-10,7.359889820452742,-25.73203815533563,5.865931002647884e-11,2394.7944205273416
46,-3.940902610813578e-11,-15.118135930051732,2.1256257413001887,-30.157930752986232,8.894021280714516e-11,13.754410246333268,-53.00869458384128,-4.283398345222592e-11,2359.2838735390524
47,0.02174114712391481,-16.269380798442494,1.9813489267000781,-32.59137743318178,1.6218589682554263e-10,2.9061963675686657,-2.858972692513716e-11,8.19428270460367e-11,2302.2014749117106
