x_0,x_1,x_2,x_3,u_0,u_1,ctg
1.000000000000000000e+04,1.000000000000000000e+04,1.000000000000000000e+04,1.000000000000000000e+04,3.034437289996478285e+03,-5.575293430027842987e+03,4.000000000000000000e+04
7.416498673013037660e+03,-4.173368223099326860e+04,7.132494994467707329e+03,-9.174648799023278116e+04,2.036138011527807976e+03,-6.467771941176419205e+03,1.880291638887067966e+05
-3.693324965133103888e+01,-5.317075716940675193e+04,5.980547696387854558e+03,-1.018981680938694044e+05,2.200081890086308704e+03,-7.667371174729727500e+03,3.491155700980221154e+05
-5.475892761570035873e+03,-1.802927115758899163e+04,5.460286348593533603e+02,-2.162048828780838085e+04,6.233774185973421481e+03,2.071477382693885374e+03,3.947872509398488910e+05
-4.478064312460008296e+03,3.476045568854460726e+04,-3.783801632297014294e+03,8.120027106314271805e+04,6.966703008549055085e+03,-2.081001649132314924e+03,5.190098436362932553e+05
1.847453627794493514e+03,5.441547950349890743e+04,-3.688440347811368611e+03,1.068071387941572175e+05,1.399320168438622204e+03,2.987904455692187184e+03,6.857683559095552191e+05
7.163553936777214403e+03,1.929192669759286218e+04,3.538511449680577243e+02,2.497305772649787104e+04,-3.128216275730695088e+03,2.626758207974873585e+03,7.375507454153911676e+05
5.939052757557334189e+03,-3.497289295511170349e+04,4.798413786079101556e+03,-8.175537166508536029e+04,-2.379328106817702064e+03,-8.919822105086441297e+03,8.650164765792246908e+05
-7.156754050071265283e+02,-5.441246465594194888e+04,5.203341423821038916e+03,-1.075496696673534752e+05,9.746267147473776276e+03,-1.785200706763245762e+03,1.032897627731348271e+06
-6.032656634003063118e+03,-1.220863936947984257e+04,2.592653905144755299e+03,-1.333416950823381922e+04,-8.600401330658751249e+03,-8.055149714209040212e+03,1.067065747148209717e+06
-4.942693497683456371e+03,1.610014551223800299e+04,-5.950625409552888414e+03,4.311893528654658439e+04,-2.197934844249917660e+03,-6.429403842010669905e+02,1.137178146854230668e+06
-9.495635875605648835e+02,3.802160408135427861e+04,-5.513758215305087106e+03,7.947949587807164062e+04,8.196225018253637245e+03,-9.006590933254776246e+03,1.261142568616522243e+06
4.046639161206603148e+03,3.676734045893754228e+04,-5.119684826999027791e+02,6.557731352317120763e+04,-7.869663332056824402e+03,-9.599443921255344321e+03,1.368045830242537428e+06
