,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,-1.0,0.9592795604891916,0.0,0.0829797291,0.478742496,-2.5
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.1,-0.0905221425,-0.8135499015,-0.4614249834202026,0.0829797291,0.0653193233,0.3957627669,-1.5935499015000003
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,0.2,-0.1701738384,-0.7800407039,0.7347371717553508,0.1482990524,0.0547091949,0.3304434436,-1.0000407039
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,0.3,-0.2408502896,-0.6358905355,0.586897063555399,0.2030082473,0.0409009284,0.2757342487,-0.4558905355
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,0.4,-0.2985242213,-0.5195268974,-0.8224185788100273,0.2439091757,0.0394658162999999,0.2348333203,-0.0995268973999999
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,0.5,-0.3519420596,-0.548350917,0.7424297161374762,0.283374992,0.0382644477999999,0.195367504,-0.048350917
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,0.6,-0.4005331598,-0.4255168453,-0.3767054564191237,0.3216394398,0.0357781568,0.1571030562,-0.0055168452999999
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,0.7,-0.4428487761,-0.4208717746,-0.1032493746769422,0.3574175966,0.0379424285,0.1213248994,-0.2408717745999998
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,0.8,-0.4833997413,-0.3906457468,-0.1498832393609841,0.3953600251,0.0396468268999999,0.0833824709,-0.6106457468000002
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,0.9,-0.5212999733,-0.3677338387,-0.6022401743604344,0.435006852,0.043735644,0.043735644,-1.1477338387000002
