,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
1956,1956.0,1956.0,1956.0,1956.0,1956.0,1956.0,1956.0,1956.0,1956.0,6.0,0.6,286.7881,291.4807,295.357,298.1512,299.809,300.4686,300.41,299.9869,299.5606,299.4475,299.8882,301.037,302.9703,305.7076,309.2415,313.5714,318.7381,324.8548,332.1332,340.901,260.2933659297058,396.71189216297216,1033.2378,85.99069999999983,300.53459999999995,15.132900000000006
1957,1957.0,1957.0,1957.0,1957.0,1957.0,1957.0,1957.0,1957.0,1957.0,7.0,0.7,266.1592,271.61,276.5135,280.7885,284.416,287.4403,289.9619,292.127,294.1152,296.1301,298.3943,301.1463,304.6415,309.1517,314.9657,322.3877,331.7403,343.375,357.7003,375.2367,268.77663267437805,454.3354951006928,1119.2285,92.0598,214.5439000000001,15.132900000000006
1958,1958.0,1958.0,1958.0,1958.0,1958.0,1958.0,1958.0,1958.0,1958.0,8.0,0.8,271.2793,273.7155,276.1062,278.4734,280.8427,283.2489,285.7428,288.3997,291.3269,294.6717,298.6274,303.4373,309.3964,316.85,326.1919,337.8649,352.3726,370.3151,392.4653,419.9148,297.49227617571347,419.7664548083085,1211.2883,65.16160000000013,122.48410000000013,15.132900000000006
1959,1959.0,1959.0,1959.0,1959.0,1959.0,1959.0,1959.0,1959.0,1959.0,9.0,0.9,293.999,291.1719,289.0795,287.7727,287.2761,287.5893,288.6945,290.5687,293.1954,296.5738,300.7249,305.694,311.5544,318.4126,326.4205,335.7941,346.8419,360.0031,375.8986,395.4044,374.1675530002528,278.1291975652174,1276.4499,57.32249999999999,57.32249999999999,15.132900000000006
1960,1960.0,1960.0,1960.0,1960.0,1960.0,1960.0,1960.0,1960.0,1960.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,224.4196784012157,190.27177363895944,0.0,519.046,4346.0564,-20.0
1961,1961.0,1961.0,1961.0,1961.0,1961.0,1961.0,1961.0,1961.0,1961.0,1.0,0.1,233.8661,242.3285,249.657,255.7716,260.6711,264.4242,267.1458,268.9663,269.9991,270.312,269.9058,268.7019,266.5421,263.2012,258.4131,251.9119,243.4804,233.0014,220.4974,206.1473,218.099591018895,427.2421861105757,519.046,630.0354,3827.0104,-29.625800000000027
1962,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,2.0,0.2,226.8139,234.6187,241.4791,247.3806,252.3351,256.386,259.6139,262.1459,264.1702,265.9558,267.873,270.4095,274.1716,279.8616,288.2259,299.9819,315.7416,335.9675,361.0013,391.2046,179.61262514792483,267.65874211086253,1149.0814,500.7972,3196.9750000000004,-38.813999999999965
1963,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,3.0,0.3,194.5584,208.13,220.1921,230.6951,239.685,247.2966,253.7303,259.2202,263.9984,268.258,272.1229,275.6243,278.6909,281.1571,282.7916,283.3465,282.6209,280.5262,277.1366,272.7087,250.23313295794048,304.167787964587,1649.8786,588.6943000000001,2696.1778000000004,-49.153399999999976
1964,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,4.0,0.4,250.2474,250.2154,250.4586,251.198,252.5361,254.4628,256.8813,259.644,262.5911,265.5821,268.518,271.3523,274.0936,276.8002,279.5692,282.5221,285.7881,289.4893,293.7307,298.5981,202.75782950301144,322.5193299907818,2238.5729,542.6833999999999,2107.4835000000003,-43.33720000000002
1965,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,5.0,0.5,213.8626,223.8407,232.6179,240.1833,246.5966,251.9803,256.5019,260.3517,263.7236,266.8009,269.7512,272.7267,275.8683,279.3109,283.1863,287.6235,292.7476,298.6783,305.5324,313.4316,322.48430606484555,285.76715549755767,2781.2563,489.2305999999999,1564.8001000000004,-47.2697
1966,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,6.0,0.6,309.0607,297.2638,287.3502,279.4947,273.737,269.9694,267.9597,267.3974,267.9438,269.2738,271.1018,273.1913,275.3532,277.4394,279.3376,280.9713,282.3053,283.3539,284.1879,284.9341,374.34077254830174,333.1544332636884,3270.4869,353.5015000000003,1075.5695000000003,-30.830600000000004
1967,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,7.0,0.7,353.6669,336.0941,321.2827,309.013,299.1023,291.3591,285.5666,281.4882,278.886,277.5431,277.2848,277.9934,279.6155,282.1598,285.687,290.292,296.0843,303.1705,311.6464,321.6035,261.4472763750792,358.62392633209765,3623.9884,232.6605,722.0680000000002,-11.090899999999976
1968,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,8.0,0.8,267.4359,272.8083,277.2584,280.6135,282.8558,284.1126,284.6211,284.6834,284.6217,284.7449,285.3289,286.6115,288.7962,292.0608,296.5664,302.4646,309.9038,319.0373,330.0388,343.1297,267.61309281474666,344.78563585411035,3856.6489,198.4357,489.40750000000025,-20.0874
1969,1969.0,1969.0,1969.0,1969.0,1969.0,1969.0,1969.0,1969.0,1969.0,9.0,0.9,269.8305,271.9211,273.8731,275.6834,277.3615,278.933,280.4416,281.9488,283.5319,285.2801,287.2888,289.6552,292.4744,295.8385,299.8394,304.5759,310.1642,316.7515,324.5317,333.7625,193.59960860878635,182.99922844603475,4055.0846,290.97180000000026,290.97180000000026,-27.11700000000002
1970,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,390.18764465364177,234.16196803796225,0.0,436.8493,2724.4844,-20.0
1971,1971.0,1971.0,1971.0,1971.0,1971.0,1971.0,1971.0,1971.0,1971.0,1.0,0.1,365.4293,344.5249,327.059,312.7584,301.366,292.5758,286.0184,281.2784,277.9258,275.5458,273.7588,272.2275,270.6559,268.7843,266.3872,263.2759,259.308,254.3985,248.5289,241.7483,222.9515878150504,344.0023524795854,436.8493,401.7674,2287.6351,-1.4741999999999962
