,t,x1,x2,u,ctg
0,0,0,-1,19,3.664524368
1,0.1,-0.003251667,0.659501667,-20,3.384024368
2,0.2,-0.037240146,-1.306509854,17,3.140529066
3,0.3,-0.169322484,-1.334667688,15.5,2.825193584
4,0.4,-0.307982423,-1.436828691,13.5,2.524067789
5,0.5,-0.454363395,-1.489906268,-20,2.217009803
6,0.6,-0.601796559,-1.459267574,-20,1.774383125
7,0.7,-0.742254228,-1.351678654,-20,1.32522103
8,0.8,-0.869630944,-1.198409721,-20,0.887423378
9,0.9,-0.981680716,-1.045139787,-8.5,0.468178994
10,1,-1.080886845,-0.940722791,-6.5,0.226452574
