,t,x1,x2,u,ctg
0,0.0,0.0,-1.0,-20.0,39.360077835676336
1,0.1,-0.19191091456845905,-2.5580890854315097,20.0,36.360077835676336
2,0.2,-0.3385969161130972,-0.4114030838868267,-11.0,27.779428267542016
3,0.3,-0.41358313793565166,-1.077226150523002,20.0,26.890527898509124
4,0.4,-0.5351105697980196,-1.3487970590993772,20.0,23.55906070715382
5,0.5,-0.6749039734859665,-1.4454602302522706,-4.5,19.453463878609128
6,0.6,-0.8185520204505289,-1.4277950791658218,1.0,16.807363227941035
7,0.7,-0.9561680302129708,-1.3262177888301712,13.5,14.093737029667258
8,0.8,-1.0812669859756538,-1.178227421558376,14.0,10.509376104256317
9,0.9,-1.1916022770348487,-1.0309328992764073,14.0,6.972017952383343
10,1.0,-1.2896006028857383,-0.9307038239821449,14.0,3.509279322938247
