,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
2760,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,0.0,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,473.0,0.0,351.7936,1030.4967,3.947999999999979
2761,2761.0,2761.0,2761.0,2761.0,2761.0,2761.0,2761.0,2761.0,1.0,,,,,,,,0.1,427.797,391.8849,362.5558,338.8482,320.11,305.7721,295.2632,288.0148,283.5147,281.3745,281.3851,283.5485,288.0773,295.364,305.9242,320.3299,339.1562,362.9762,392.4485,428.5462,373.0,371.0,351.7936,103.3807,678.7031,3.947999999999979
2762,2762.0,2762.0,2762.0,2762.0,2762.0,2762.0,2762.0,2762.0,2.0,,,,,,,,0.2,358.1473,345.9546,335.7217,326.9706,319.4215,312.9614,307.602,303.4306,300.5616,299.0947,299.0853,300.5284,303.3594,307.4688,312.7323,319.0532,326.4112,334.9114,344.8266,356.6267,371.0,372.0,455.1743,79.29219999999998,575.3223999999999,3.947999999999979
2763,2763.0,2763.0,2763.0,2763.0,2763.0,2763.0,2763.0,2763.0,3.0,,,,,,,,0.3,356.0758,343.904,333.9404,325.7892,319.164,313.8614,309.7411,306.7105,304.7122,303.7145,303.7048,304.6863,306.6782,309.7193,313.8738,319.241,325.9666,334.2581,344.4044,356.8028,373.0,371.0,534.4665,73.78719999999998,496.0301999999999,3.947999999999979
2764,2764.0,2764.0,2764.0,2764.0,2764.0,2764.0,2764.0,2764.0,4.0,,,,,,,,0.4,357.711,345.2744,335.1443,326.9205,320.3059,315.0778,311.0703,308.161,306.2636,305.3221,305.3071,306.2143,308.0645,310.9047,314.8123,319.9002,326.3259,334.3041,344.1245,356.1788,374.0,373.0,608.2537,72.53560000000004,422.243,3.947999999999979
2765,2765.0,2765.0,2765.0,2765.0,2765.0,2765.0,2765.0,2765.0,5.0,,,,,,,,0.5,358.6339,346.1585,336.0155,327.7952,321.1929,315.9801,311.9859,309.0843,307.1865,306.2357,306.2037,307.09,308.9213,311.7537,315.6746,320.8086,327.3244,335.4468,345.4753,357.8109,372.0,373.0,680.7893,70.64869999999996,349.7073999999999,3.947999999999979
2766,2766.0,2766.0,2766.0,2766.0,2766.0,2766.0,2766.0,2766.0,6.0,,,,,,,,0.6,357.1889,345.1812,335.4294,327.5307,321.1857,316.1722,312.3268,309.5316,307.7061,306.8008,306.7933,307.687,309.5108,312.3211,316.2048,321.2853,327.7311,335.7678,345.6971,357.9241,373.0,371.0,751.438,69.56280000000004,279.0587,3.947999999999979
2767,2767.0,2767.0,2767.0,2767.0,2767.0,2767.0,2767.0,2767.0,7.0,,,,,,,,0.7,357.9581,345.7659,335.8725,327.8721,321.4616,316.413,312.5553,309.7623,307.9447,307.0439,307.0298,307.8979,309.6699,312.3951,316.1536,321.0623,327.2836,335.0376,344.6199,356.428,373.0,374.0,821.0008,70.08420000000001,209.4958999999999,3.947999999999979
2768,2768.0,2768.0,2768.0,2768.0,2768.0,2768.0,2768.0,2768.0,8.0,,,,,,,,0.8,357.9947,345.8369,335.9734,327.9967,321.6026,316.563,312.7076,309.9119,308.0891,307.1846,307.1738,308.0598,309.8745,312.6792,316.5679,321.6717,328.1666,336.2846,346.3323,358.7188,374.0,372.0,891.085,69.37939999999992,139.41169999999988,3.947999999999979
2769,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0,9.0,,,,,,,,0.9,358.7831,346.4559,336.4578,328.3763,321.9035,316.8077,312.9152,310.0976,308.264,307.355,307.3397,308.2139,310.0,312.7484,316.5409,321.4968,327.7811,335.6175,345.3063,357.2513,374.0,373.0,960.4644,70.03229999999996,70.03229999999996,3.947999999999979
