,mpc_x_0,mpc_x_1,u_0,ctg
0,93.0,-3.0,46.5,9486.002165878555
1,26.739551029639347,-6.534070386881532,3.9595719611080353,828.0021658785554
2,7.487443831486946,-2.916124614858642,6.3821591399638775,70.30450079114647
3,2.054814901451784,-1.0324107414728951,2.8781301215920236,5.738902892090098
4,0.554988073091269,-0.3294459785884759,1.0229542879967743,0.4507666737531816
5,0.14795214627899317,-0.09903344594990612,0.327103496049223,0.03422025967150331
6,0.03901121685486957,-0.028627554735416078,0.09845601071835927,0.0025227986662297404
7,0.01019001806267425,-0.00804791493773108,0.028486279371908476,0.0001813867356028371
8,0.002641300284932833,-0.0022154373081764395,0.008014213545951656,1.2781332640254563e-05
9,0.0006845603365419257,-0.0006013682190738519,0.0022061383473774205,8.967029786082293e-07
10,0.00019100052743921186,-0.00017307567087179339,0.0005763912382246516,6.643638932977847e-08
