,t,x0,x1,u0,u1,L,inst_cost,ctg
0,0.0,272.99999998183995,272.99999998105005,273.000001,273.000001,0.0,0.0,762.472973783636
1,0.1,291.37112194194765,280.62818270448395,373.0,373.0,402.7993582518943,402.7993582518943,762.472973783636
2,0.2,307.42549823112716,297.7357088812719,360.2492412195983,373.0,608.2991179881967,205.4997597363024,359.6736155317417
3,0.3,306.7280658616426,312.50479575963743,296.10083722672584,373.0,694.1092272170506,85.81010922885389,154.1738557954393
4,0.4,304.8258222664607,321.45972576055874,294.5995899386086,373.0,724.813477266623,30.70425004957235,68.3637465665854
5,0.5,304.0877588448894,326.5602489631015,286.5524598502264,373.0,737.994485657393,13.181008390770103,37.659496517013054
6,0.6,303.6582202890019,329.44270749815394,283.50639429349576,373.0,745.5474697704873,7.552984113094226,24.47848812624295
7,0.7,303.496876976985,331.07196825147105,281.7249347293722,373.0,751.3492742560021,5.801804485514822,16.925504013148725
8,0.8,303.50340128989365,331.99006347570025,281.02823838490303,372.7735169424885,756.5919652719026,5.242691015900505,11.123699527633903
9,0.9,303.4116106579514,331.75165321597217,279.69748834685333,362.83546204833874,760.7619129840267,4.169947712124099,5.881008511733398
10,1.0,302.5217962998152,325.6002072761181,275.86496376759357,296.76587343000773,762.472973783636,1.7110607996092995,1.7110607996092995
