,t,x1,x2,u,ctg
0,0,0,-1,-20,4.879757784
1,0.1,-0.191910915,-2.558089085,20,4.579757784
2,0.2,-0.338596916,-0.411403084,-20,3.721692827
3,0.3,-0.413583138,-1.077226151,20,3.49330279
4,0.4,-0.53511057,-1.348797059,20,3.160156071
5,0.5,-0.674903973,-1.44546023,20,2.749596388
6,0.6,-0.81855202,-1.427795079,20,2.295111323
7,0.7,-0.95616803,-1.326217789,20,1.824248703
8,0.8,-1.081266986,-1.178227422,-20,1.35693761
9,0.9,-1.191602277,-1.030932899,-20,0.901201795
10,1,-1.289600603,-0.930703824,-20,0.452927932
