,t,x1,x2,u,ctg
0,0,0,-1,20,3.591636307
1,0.1,0.001585757,0.801539243,-11.5,3.291636307
2,0.2,0.022231993,-0.369106993,20,3.16126454
3,0.3,-0.052614055,-1.115378189,20,2.947591116
4,0.4,-0.178848444,-1.404491827,20,2.622907442
5,0.5,-0.32406455,-1.49826762,20,2.222449036
6,0.6,-0.472670953,-1.474260493,20,1.787466667
7,0.7,-0.614598799,-1.366098825,20,1.347780484
8,0.8,-0.743288867,-1.210298781,20,0.923384715
9,0.9,-0.856352288,-1.053581147,-8.5,0.521654567
10,1,-0.956276425,-0.946682945,-15.5,0.30119232
