,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
3026,6.0,,,,,,,,,,,,0.6,274.1199,277.8268,281.576,285.3811,289.2487,293.1785,297.1653,301.2001,305.2729,309.3732,313.4906,317.6145,321.7338,325.837,329.9123,333.9492,337.9401,341.8825,345.78,349.643,258.1794871794872,363.7435897435897,649.403,19.95150000000001,71.59199999999998,-19.82150000000001
3027,7.0,,,,,,,,,,,,0.7,264.0938,269.9204,275.5843,281.0326,286.2395,291.2061,295.9556,300.5268,304.9671,309.3275,313.659,318.0116,322.4336,326.9709,331.6648,336.548,341.6393,346.9383,352.4223,358.0455,283.8205128205128,329.974358974359,669.3545,18.09069999999997,51.640499999999975,-21.793900000000008
3028,8.0,,,,,,,,,,,,0.8,284.828,286.0069,287.5036,289.42,291.8036,294.6488,297.9052,301.4909,305.3046,309.2346,313.1635,316.9684,320.5224,323.6969,326.3703,328.443,329.8557,330.6083,330.7724,330.4928,270.43589743589746,372.0,687.4452,20.05619999999999,33.549800000000005,-18.35120000000001
3029,9.0,,,,,,,,,,,,0.9,274.7511,279.0124,283.1752,287.2115,291.1125,294.8872,298.5587,302.1596,305.73,309.3174,312.9813,316.7972,320.8598,325.2806,330.178,335.6589,341.7955,348.6004,356.01,363.8803,276.56410256410254,348.3589743589744,707.5014,13.493600000000017,13.493600000000017,-18.112799999999996
3030,0.0,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,373.0,373.0,0.0,368.7878,682.4866,-40.0
3031,1.0,,,,,,,,,,,,0.1,355.9583,339.696,324.8873,312.0202,301.3574,292.9443,286.6547,282.2609,279.5107,278.1944,278.1944,279.5107,282.2609,286.6547,292.9443,301.3574,312.0202,324.8873,339.696,355.9583,365.8717948717949,374.0,368.7878,148.70879999999994,313.69879999999995,-20.0557
3032,2.0,,,,,,,,,,,,0.2,355.163,344.7088,334.7559,325.5351,317.255,310.0966,304.2097,299.7134,296.6972,295.2245,295.3361,297.0521,300.3719,305.2704,311.6929,319.548,328.7011,338.9708,350.1289,361.9056,258.1794871794872,372.0,517.4966,51.38290000000006,164.99,-2.9033999999999764
3033,3.0,,,,,,,,,,,,0.3,268.2023,277.5787,285.7726,292.4423,297.4815,301.0117,303.3352,304.8659,306.056,307.3338,309.0607,311.5086,314.8551,319.1888,324.5224,330.8063,337.943,345.7987,354.2135,363.01,270.43589743589746,361.7435897435897,568.8795,17.721300000000042,113.60709999999996,-11.98829999999998
3034,4.0,,,,,,,,,,,,0.4,274.8714,279.2538,283.5344,287.6731,291.6442,295.4419,299.0841,302.6133,306.0934,309.6028,313.2237,317.0313,321.0834,325.4134,330.0274,334.9068,340.0137,345.2998,350.7144,356.2098,268.43589743589746,356.61538461538464,586.6008,14.646399999999971,95.8857999999999,-17.558100000000024
3035,5.0,,,,,,,,,,,,0.5,272.8766,277.2881,281.6451,285.9305,290.1369,294.2675,298.3353,302.3604,306.3673,310.381,314.4232,318.5099,322.6488,326.8389,331.0711,335.3311,339.603,343.8726,348.1313,352.3774,268.43589743589746,355.61538461538464,601.2472,15.068499999999972,81.23939999999993,-18.732500000000016
