 ,t  ,x0      ,x1      ,x2      ,x3      ,x4      ,x5      ,x6      ,x7      ,x8      ,x9      ,x10     ,x11     ,x12     ,x13     ,x14     ,x15     ,x16     ,x17     ,x18     ,x19     ,u0                ,u1                ,L        ,inst_cost         ,ctg               ,path_diff
9,0.9,227.9971,244.1936,257.8013,268.4118,275.9586,280.6769,283.0174,283.5423,282.83  ,281.4037,279.6916,278.0136,276.5898,275.5593,275.0007,274.9493,275.4078,276.3517,277.7322,279.4792,184.12221679104124,217.6371845857684 ,4588.4954,474.89510000000064,474.89510000000064,-25.373100000000022
0,0.0,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,175.78759060570582,206.1220713002171 ,0.0      ,539.9797          ,2696.3501         ,-20.0
1,0.1,194.3448,211.1761,225.8756,238.2111,248.1424,255.7989,261.4306,265.3456,267.8499,269.1983,269.561 ,269.0082,267.5106,264.9549,261.1711,255.9717,249.1958,240.7525,230.6545,219.0322,458.26098567052736,220.32252380152966,539.9797 ,676.0878000000001 ,2156.3704000000002,-38.25110000000001
2,0.2,414.3463,378.0291,348.1292,324.031 ,305.2492,291.2087,281.1807,274.3216,269.7572,266.6714,264.3697,262.309 ,260.0983,257.4781,254.2913,250.4512,245.9139,240.6553,234.6552,227.8886,237.781442238451  ,396.5589609618345 ,1216.0675,495.22839999999997,1480.2826         ,-3.991299999999967
3,0.3,249.5155,259.8933,268.3319,274.4995,278.3472,280.084 ,280.1118,278.9481,277.1567,275.3045,273.9442,273.6191,274.8734,278.2555,284.3002,293.4914,306.2162,322.7343,343.1926,367.7114,395.01852914171127,321.1109085151344 ,1711.2959,269.40419999999995,985.0542          ,-16.365999999999985
4,0.4,369.2936,347.682 ,329.7537,315.2315,303.8551,295.3178,289.2606,285.3008,283.0709,282.2494,282.5754,283.8444,285.8943,288.5903,291.8165,295.4806,299.5303,303.976 ,308.9121,314.5291,255.68125585448436,411.6005587278024 ,1980.7001,178.0545000000002 ,715.6500000000001 ,-2.4822000000000344
5,0.5,263.6174,270.7556,276.7314,281.3424,284.5726,286.5785,287.6477,288.1462,288.4702,289.0118,290.1438,292.2199,295.5837,300.5776,307.5477,316.8407,328.802 ,343.7843,362.1839,384.5232,320.2445842544936 ,440.42242613559654,2158.7546,112.05499999999984,537.5954999999999 ,-12.67149999999998
6,0.6,311.9849,305.0136,299.3411,294.9624,291.8387,289.897 ,289.0468,289.2039,290.3157,292.3809,295.4601,299.6788,305.224 ,312.3368,321.3073,332.4748,346.2399,363.0985,383.7081,409.0075,289.17248143269273,342.05887054628863,2270.8096,60.4387999999999  ,425.54050000000007,-10.90300000000002
7,0.7,288.8578,288.8094,288.9444,289.2205,289.6407,290.2486,291.1161,292.3264,293.9548,296.0516,298.6297,301.6573,305.0611,308.7391,312.5856,316.5263,320.5595,324.7965,329.4922,335.0585,346.11044636420854,399.4060656254494 ,2331.2484,84.05569999999989 ,365.10170000000016,-12.201399999999978
8,0.8,333.3825,322.7316,314.0215,307.1422,301.9718,298.361 ,296.1374,295.1235,295.1594,296.1255,297.9612,300.6755,304.3521,309.1467,315.2795,323.0243,332.7004,344.6736,359.3772,377.3645,210.5749070438332 ,301.8911491895276 ,2415.3041,84.04740000000038 ,281.0460000000003 ,-5.838999999999999
9,0.9,227.0302,241.9766,254.9796,265.8091,274.4587,281.1202,286.1241,289.8672,292.7424,295.083 ,297.1269,299.0011,300.7265,302.2377,303.4185,304.1466,304.3428,304.0176,303.3037,302.4671,238.6868730183334 ,338.58651709582045,2499.3515,196.9985999999999 ,196.9985999999999 ,-24.9298
0,0.0,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,428.6405668870059 ,238.7841932697329 ,0.0      ,431.8179          ,2189.2956         ,20.460399999999993
1,0.1,394.9942,367.0755,343.9868,325.1862,310.2481,298.7357,290.1571,283.9745,279.6389,276.6284,274.474 ,272.7717,271.1809,269.417 ,267.2441,264.4732,260.9645,256.6345,251.461 ,245.4818,229.92042930862408,195.4875972578946 ,431.8179 ,452.39459999999997,1757.4777         ,20.460399999999993
2,0.2,243.6086,255.8309,266.0015,273.78  ,279.0976,282.125 ,283.1983,282.7295,281.12  ,278.695 ,275.6635,272.1051,267.9785,263.1469,257.4138,250.5645,242.4081,232.8154,221.7452,209.2542,457.75522526075906,384.26200966836143,884.2125 ,479.69079999999997,1305.0830999999998,20.460399999999993
3,0.3,417.1961,384.0583,356.9443,335.0264,317.6808,304.3045,294.2604,286.9049,281.6556,278.0655,275.8804,275.0675,275.8098,278.468 ,283.5112,291.4289,302.6405,317.4282,335.9231,358.1668,427.32512826003926,371.7077196250592 ,1363.9033,228.25120000000015,825.3923          ,20.460399999999993
4,0.4,399.2645,376.4953,357.7287,342.1114,329.0782,318.2604,309.4238,302.4245,297.1778,293.6365,291.777 ,291.5906,293.0793,296.2543,301.1378,307.7691,316.2152,326.589 ,339.0745,353.9636,251.57832030730268,367.6097901461063 ,1592.1545,117.04009999999994,597.1410999999998 ,20.460399999999993
5,0.5,263.122 ,273.5703,282.3781,289.2294,294.0668,297.0694,298.5937,299.0986,299.0725,298.9762,299.2065,300.0817,301.8446,304.6767,308.7197,314.0995,320.951 ,329.4442,339.811 ,352.3784,406.82305770070116,458.645594450996  ,1709.1946,86.79279999999994 ,480.1009999999999 ,20.460399999999993
6,0.6,380.4919,358.8184,341.1983,327.2281,316.5545,308.8051,303.5809,300.4883,299.187 ,299.4343,301.1168,304.2621,309.0341,315.7151,324.6806,336.3765,351.3094,370.0687,393.401 ,422.3689,268.52087181956176,299.23084557732926,1795.9874,36.718700000000126,393.30819999999994,20.460399999999993
7,0.7,275.6548,282.2351,287.8986,292.4401,295.8344,298.2188,299.8453,301.0181,302.0291,303.1033,304.3617,305.8023,307.3035,308.6468,309.56  ,309.7761,309.1013,307.4804,305.0441,302.1248,270.72857779124155,341.50316324882374,1832.7061,96.94349999999986 ,356.5894999999998 ,20.460399999999993
8,0.8,274.1151,277.384 ,280.4736,283.3358,285.9397,288.2736,290.3447,292.1793,293.8212,295.3323,296.7937,298.3078,300.0008,302.0237,304.5504,307.7718,311.889 ,317.1061,323.6296,331.6775,470.47020463824595,413.9364016200699 ,1929.6496,125.21370000000002,259.64599999999996,20.460399999999993
9,0.9,428.244 ,394.2718,366.8854,345.1164,328.2833,315.7782,306.9858,301.286 ,298.0984,296.9365,297.4508,299.4504,302.9028,307.9162,314.71  ,323.583 ,334.8867,349.0188,366.4482,387.7881,431.79905369924063,230.43179283095554,2054.8633,134.43229999999994,134.43229999999994,20.460399999999993
