,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
14,14,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,-0.3368547052,-0.9431036686,-20.037121361569728,0.3047672209,0.5942552288,2.5877765809,0.0302145127999997
15,15,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.5235308147,-2.7601396952,2.093809087939604,0.8990224497,0.6849598070999999,1.9935213521,0.0302145127999997
16,16,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.7760643167,-2.2982252844,13.796893270173127,1.5839822568,0.4206406571000001,1.308561545,0.0302145127999997
17,17,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.9280281029,-0.7665721712,9.918159711448622,2.0046229139,0.1540965186999998,0.8879208879,0.0302145127999997
18,18,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-0.9529988157,0.2502145128,-20.9525159812393,2.1587194326,0.4086662716,0.7338243692000002,0.0302145127999997
19,19,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-1.0305438203,-1.7674920808,10.404949362563103,2.5673857042,0.3251580976000001,0.3251580976000001,0.0302145127999997
20,20,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,1.57143366878528,0.0,0.0786766149,2.7078884133,-2.5
21,21,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.087560901,-0.7552957322,-1.920118748833863,0.0786766149,0.0694956884,2.6292117984,-1.5352957322000005
22,22,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.1687252491,-0.8661432589,-1.2952763014310316,0.1481723033,0.0841034468999999,2.55971611,-1.0861432589
23,23,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-0.2574154882,-0.9069806499,-0.299585562650513,0.2322757502,0.086262592,2.4756126631,-0.7269806499000001
24,24,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,-0.345175488,-0.8491792065,-19.825473276723244,0.3185383422,0.5537525475,2.3893500711,-0.4291792064999999
25,25,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.5218896835,-2.6550123385,1.8440295525395285,0.8722908897,0.6397074042,1.8355975236,-2.1550123385
26,26,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.7656272902,-2.2268717767,15.132687776181085,1.5119982939,0.4018505316999998,1.1958901194,-1.8068717767
27,27,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.9043390981,-0.5748911911,-6.191883515440222,1.9138488256,0.1820597992999999,0.7940395877000002,-0.3948911910999998
28,28,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-0.9890000134,-1.1094186274,14.757262410622976,2.0959086249,0.2433580735,0.6119797884000002,-1.3294186274000002
29,29,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-1.0231882261,0.4004958264,-19.841379857742183,2.3392666984,0.3686217149000002,0.3686217149000002,-0.3795041736000002
30,30,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,0.3735857333465466,0.0,0.0876652501,2.8399200269,0.1807996453999998
31,31,31.0,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.0933553971,-0.8692860296,0.4527266534353784,0.0876652501,0.0669582382,2.752254776799999,0.1807996453999998
32,32,32.0,32.0,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.1738888648,-0.7434798965,-2.3814765375272704,0.1546234883,0.0753487599,2.6852965385999994,0.1807996453999998
33,33,33.0,33.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-0.2561605367,-0.8993558784,-0.3875377236024331,0.2299722482,0.0856690518,2.6099477787,0.1807996453999998
34,34,34.0,34.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,-0.3436203575,-0.8506498299,-20.68379937992759,0.3156413,0.5890061866999999,2.5242787268999995,0.1807996453999998
35,35,35.0,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.5246265825,-2.7380235429,2.0586610088309314,0.9046474867,0.6751143402,1.9352725402,0.1807996453999998
36,36,36.0,36.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.7752254853,-2.2815585392,15.228881352507988,1.5797618269,0.4191566846999999,1.2601581999999998,0.1807996453999998
37,37,37.0,37.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.9186761014,-0.6152197879,10.061449767489844,1.9989185116,0.1470708892000001,0.8410015152999999,0.1807996453999998
38,38,38.0,38.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-0.9285505579,0.4007996454,-20.978421016753103,2.1459894008,0.3836694495000001,0.6939306260999998,0.1807996453999998
39,39,39.0,39.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.9918908209,-1.6337021933,14.841129194990208,2.5296588503,0.3102611765999996,0.3102611765999996,0.1807996453999998
40,40,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,1.952144234462068,0.0,0.0763065234,2.5258796185000003,-2.5
41,41,41.0,41.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.0857192454,-0.7190663311,-1.9931899371003183,0.0763065234,0.0646403987,2.4495730951000003,-1.4990663311000003
42,42,42.0,42.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.1637893591,-0.8403152111,-0.4388151075656239,0.1409469221,0.0717598144999999,2.3849326964000004,-1.0603152110999998
43,43,43.0,43.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-0.2458786531,-0.8021074279,-3.038792170251642,0.2127067366,0.0963172104999999,2.3131728819000004,-0.6221074279000001
44,44,44.0,44.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,-0.336909192,-1.0149561061,-20.51385138638245,0.3090239471,0.6404635344,2.2168556714000003,-0.5949561061
45,45,45.0,45.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.5327291072,-2.8705213294,18.54695584868351,0.9494874815,0.5845632007,1.576392137,-2.3705213294
46,46,46.0,46.0,46.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.7161759628,-0.8323788891,-3.3602104140976508,1.5340506822,0.1553909911,0.9918289363,-0.4123788891
47,47,47.0,47.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.81164205,-1.0729338432,-2.5150728563176834,1.6894416733,0.2092846190999999,0.8364379451999999,-0.8929338431999998
48,48,48.0,48.0,48.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-0.9259112515,-1.2101719274,13.353025194623022,1.8987262924,0.2234476693000002,0.6271533261,-1.4301719274000002
49,49,49.0,49.0,49.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-0.976480476,0.1756998167,-20.28031396779065,2.1221739617,0.4037056567999997,0.4037056567999997,-0.6043001833000002
50,50,50.0,50.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,1.8845825878402072,0.0,0.0767099879,2.7914326155,0.0636626353999998
51,51,51.0,51.0,51.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.0860460689,-0.7254956723,-1.3772604004978766,0.0767099879,0.0598594125,2.7147226276,0.0636626353999998
52,52,52.0,52.0,52.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.1617483656,-0.7875194157,-1.756343762997093,0.1365694004,0.0754000202,2.6548632151,0.0636626353999998
53,53,53.0,53.0,53.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-0.245186884,-0.8797152735,-1.5982607711164516,0.2119694206,0.0934422903999999,2.5794631949,0.0636626353999998
54,54,54.0,54.0,54.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,-0.3366342485,-0.9480939862,-19.98173949824752,0.305411711,0.5937414747,2.4860209045,0.0636626353999998
55,55,55.0,55.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,-0.5235173443,-2.7593848402,2.3473354126635977,0.8991531857,0.6791068965999999,1.8922794298000003,0.0636626353999998
56,56,56.0,56.0,56.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.774752604,-2.2734160393,14.67837014311836,1.5782600823,0.4149340207000001,1.2131725332000003,0.0636626353999998
57,57,57.0,57.0,57.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,-0.9200914149,-0.660240214,9.25860432513974,1.993194103,0.1413346211999999,0.7982385125000002,0.0636626353999998
58,58,58.0,58.0,58.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-0.9381338318,0.2836626354,-19.555968383781945,2.1345287242,0.3581028324000002,0.6569038913000003,0.0636626353999998
59,59,59.0,59.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,-1.0057400708,-1.604327964,13.697663219116214,2.4926315566,0.2988010589000001,0.2988010589000001,0.0636626353999998
60,60,60.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.0,3.14464585311575,0.0,0.0704021689,4.3586202656,0.2949245185999998
61,61,61.0,61.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.0799506173,-0.6055847974,-19.38209637259732,0.0704021689,0.4457968161,4.2882180967,0.2949245185999998
62,62,62.0,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.2313389224,-2.3924061295,15.179532929675416,0.516198985,0.3869960985999999,3.8424212806,0.2949245185999998
63,63,63.0,63.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-0.3855767252,-0.7202150338,-19.88547438350109,0.9031950836,0.5175267704,3.455425182,0.2949245185999998
64,64,64.0,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,-0.5503085868,-2.5440306105,12.36046050206382,1.420721854,0.4684542889,2.9378984116,0.2949245185999998
